Feat,Description,Book,Str,Con,Dex,Int,Wis,Cha,Level,Race,Race2,Class,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Initiative,Speed,Surge Value,AC,Fortitude,Reflex,Will
Light Step,"add to overland speed of group, +1 Acrobatics & Stealth",PHB,,,,,,,,Elf,Half-elf,,0,,,,,,,,,,,,,,0,,,,,,,,,
Lightning Arc,Affect 2nd target with lightning power on critical,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Reflexes,+2 Reflex,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Linguist,Learn 3 new languages,PHB,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Jumper,"Standing jump as if running, +1 Athletics",PHB,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Lost in the Crowd,+2 AC when adjacent to 2 larger enemies,PHB,,,,,,,,Halfling,,,,,,,,,,,,,,,,,,,,,,,,,,
Melora's Tide,Use C.Divinity to invoke Melora's Tide ,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mettle,no damage from missed area or close attack Fort/Will,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradin's Resolve,Use C.Divinity to invoke Moradin's Resolve ,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mounted Combat,Gain access to special abilities of mount,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nimble Blade,+1 attacks with Light Blade & combat advantage,PHB,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novice Power,Swap encounter power with one of multiclass,PHB,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pact Initiate,Multiclass Warlock,PHB,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelor's Radiance,Use C.Divinity to invoke Pelor's Radiance ,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pick Mastery,Pick critical hit with 19 or 20,PHB,21,,17,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point-Blank Shot,Ignore cover & concealment within 5,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polearm Gamble,Make opportunity attack against adjacent enemy,PHB,15,,,,15,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potent Challenge,add Con Mod damage to opportunity attacks,PHB,,15,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Power Attack,+2 damage for -2 attack,PHB,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powerful Charge,"+2 damage, +2 to bull rush on charge",PHB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precise Hunter,allies +1 to target hit by critical,PHB,,,,,15,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Press the Advantage,retain combat advantage with critical hit,PHB,,,,,,15,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Psychic Lock,Target hit by psychic power is -2 on next attack,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Draw,"draw with attack, +2 Initiative",PHB,,,13,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
Raging Storm,+1 damage with lightning/thunder power,PHB,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raven's Queen Blessing,Use C.Divinity to invoke Raven's Queen Blessing ,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resounding Thunder,Adds 1 size to thunder blast or burst,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritual Caster,Master and perform rituals,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Running Shot,No ranged penalty after running,PHB,,,,,,,11,Elf,Half-elf,,,,,,,,,,,,,,,,,,,,,,,,,
Scimitar Dance,Deal Dex Mod damage on miss,PHB,15,,17,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Implement Orb of Deception,Use Arcane Mastery with Orbs of Deception,AP,,,,,,,11,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Second Implement Orb of Imposition,Use Arcane Mastery with Orbs of Imposition,PHB,,,,,,,11,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Second Implement Staff of Defense,Use Arcane Mastery with Staff of Defense,PHB,,,,,,,11,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Second Implement Tome of Binding,Use Arcane Mastery with Tome of Binding,AP,,,,,,,11,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Second Implement Tome of Readiness,Use Arcane Mastery with Tome of Readiness,AP,,,,,,,11,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Second Implement Wand of Accuracy,Use Arcane Mastery with Wand of Accuracy,PHB,,,,,,,11,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Secret Stride,Hide or sneak at full speed,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sehanine's Reversal,Use C.Divinity to invoke Sehanine's Reversal ,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seize the Moment,Combat advantage vs foe with lower initiative,PHB,,,17,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield Proficiency (Heavy),Proficient with Heavy Shield,PHB,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield Proficiency (Light),Proficient with Light Shield,PHB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield Push,Push 1 with Combat Challenge attack,PHB,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Shield Specialization,+1 AC and Reflex when using shield,PHB,,,15,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Focus Acrobatics,+3 to chosen skill,PHB,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Skill Focus Arcana,+3 to chosen skill,PHB,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Skill Focus Athletics,+3 to chosen skill,PHB,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Skill Focus Bluff,+3 to chosen skill,PHB,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Skill Focus Diplomacy,+3 to chosen skill,PHB,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Skill Focus Dungeoneering,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Skill Focus Endurance,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Skill Focus Heal,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Skill Focus History,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Skill Focus Insight,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Skill Focus Intimidate,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Skill Focus Nature,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Skill Focus Perception,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Skill Focus Religion,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Skill Focus Stealth,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Skill Focus Streetwise,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Skill Focus Thievery,+3 to chosen skill,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Skill Training,Train in one skill,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sly Hunter,+3 bow damage vs isolated target,PHB,,,,,15,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneak of Shadows,Multiclass Rogue,PHB,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soldier of the Faith,Multiclass Paladin,PHB,13,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid Sound,"+2 defense after using thunder, force power",PHB,,13,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spear Mastery,Spear critical hit with 19 or 20,PHB,21,,17,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spear Push,+1 push with spear or polearm,PHB,15,,13,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell Accuracy,omit any squares from any area or close power,PHB,,,,,,,21,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Spell Focus,-2 to save against your wizard spells,PHB,,,,,,13,11,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Steady Shooter,+3 crossbow damage if you don't move,PHB,,15,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student of Battle,Multiclass Warlord,PHB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student of the Plague,Multiclass Spellscarred,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student of the Sword,Multiclass Fighter,PHB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sure Climber,"climb at normal speed, +1 Athletics",PHB,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Sweeping Flail,+2 flail attack vs foe with shield,PHB,15,,15,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surprise Knockdown,knock target prone with critical hit,PHB,15,,,,,,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Assault,ally gains your Int Mod to damage,PHB,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Toughness,Gain 5 HP's per tier,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumphant Attack,Target -2 to attacks & defenses after critical hit,PHB,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twofold Curse,Curse the nearest two enemies,PHB,,,,,,,11,,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Two-Weapon Defense,+1 AC/Reflex while holding weapon in each hand,PHB,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-Weapon Fighting,+1 damage melee while holding weapon in each hand,PHB,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-Weapon Flurry,Make opportunity attack with off-hand melee weapon,PHB,,,19,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncanny Dodge,Enemies denied combat advantage bonus,PHB,,,,,15,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underfoot,Move through spaces of Larger or larger creatures,PHB,,,,,,,,Halfling,,,,,,,,,,,,,,,,,,,,,,,,,,
Unfettered Stride,Ignore effects of difficult terrain on movement,PHB,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Against All Odds,+1 melee when adjacent to 3+ enemies,DRMZ,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior of the Wild,Multiclass Ranger,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Axe,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Bow,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Crossbow,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Flail,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Hammer,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Heavy blade,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Light blade,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Mace,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Pick,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Polearm,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Sling,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Spear,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Staff,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Focus Unarmed,+1 damage,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wintertouched,combat advantage to foes vulnerable to cold,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage of Cunning,Slide an enemy with virtue of cunning,PHB2,,,,,,,,,,Bard,,,,,,,,,,,,,,,,,,,,,,,,
Anger Unleashed,+2 attack for 1 round after bloodied,PHB2,,,,,,,,Half-orc,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Spellfury,+1 to attack against enemies hit by previous at-wills,PHB2,,,,,,,,,,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
Auspicious Lineage,Memory of 1000 lifetimes uses d8,PHB2,,,,,,,,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardic Knowledge,+2 to various skills,PHB2,,,,,,,,,,Bard,,0,,,,0,,,0,,,0,,0,,0,,,,,,,,
Blurring Claws,+2 dmg with CA during razorclaw shifting,PHB2,,,,,,,,"Shifter, Razorclaw",,,,,,,,,,,,,,,,,,,,,,,,,,
Combat Medic,Stabilize dying as minor.  +2 heal,PHB2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Coordinated Explosion,+1 attack on blast/burst with ally in area,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crushing Earthstrength,+0 damage with second wind,PHB2,,,,,,,,,,Warden,,,,,,,,,,,,,,,,,,,,,,,,
Deadly Rage,+1 damage when raging,PHB2,,,,,,,,,,Barbarian,,,,,,,,,,,,,,,,,,,,,,,,
Disciplined Wild Soul,Roll twice on Wild Soul damage type,PHB2,,,,,,,,,,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
Distant Advantage,Gain CA on ranged and area against flanked enemies,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echoes of Thunder,+1 damage with thunder power,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enraged Boar Form,+1 to attack and +2 to dmg in beast form,PHB2,,,,,,,,,,Druid,,,,,,,,,,,,,,,,,,,,,,,,
Expert Ritualist,+2 to ritual checks,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferocious Tiger Form,+2 dmg with CA on beast form,PHB2,,,,,,,,,,Druid,,,,,,,,,,,,,,,,,,,,,,,,
Fey Trickster,Gain mage hand and prestidigitation,PHB2,,,,,,,,Gnome,,,,,,,,,,,,,,,,,,,,,,,,,,
Goliath Greatweapon Prowess,Prof and +2 damage on simple and military two-handed melee,PHB2,,,,,,,,Goliath,,,,,,,,,,,,,,,,,,,,,,,,,,
