Weapon,Book,Group1,Group2,Proficiency Bonus,Dice,Dam,Short Range,Long Range,Property1,Property2,Category,Hands,Melee,Ranged,,,,,,,,,,,,,,,,,
Double Flail,AV,Flail,,2,1,10,,,Defensive,Off-hand,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Double Scimitar,EPG,Heavy blade,,2,1,6,,,Defensive,High crit,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Double Sword,AV,Heavy blade,Light blade,3,1,8,,,Defensive,Off-hand,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Dragon Paw,DSCS,Heavy blade,Light blade,2,1,8,,,Defensive,Stout,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Dragontooth Shield,DRMZ,Pick,Shield,2,1,6,,,High crit,Off-hand,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Drow Long Knife,EPG,Heavy blade,,3,1,6,5,10,Heavy thrown,Off-hand,Superior Melee,1,TRUE,2,,,,,,,,,,,,,,,,,
Execution Axe,AV,Axe,,2,1,12,,,Brutal 2,High crit,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Falchion,PHB,Heavy blade,,3,2,4,,,High crit,,Military Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Fighting Shield,DRMZ,Heavy blade,Shield,3,1,6,,,Off-hand,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Flail,PHB,Flail,,2,1,10,,,Versatile,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Fullblade,AV,Heavy blade,,3,1,12,,,High crit,,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Garotte,DRMZ,Garotte,,3,1,4,,,High crit,Small,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Gauntlet Axe,DSCS,Axe,,2,1,8,,,Defensive,Off-hand,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Glaive,PHB,Heavy blade,Polearm,2,2,4,,,Reach,,Military Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Gouge,DSCS,Axe,Spear,2,2,6,,,Brutal 1,,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Greataxe,PHB,Axe,,2,1,12,,,High crit,,Military Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Greatbow,AV,Bow,,2,1,12,25,50,Load free,,Superior Ranged,2,FALSE,1,,,,,,,,,,,,,,,,,
Greatclub,PHB,Mace,,2,2,4,,,,,Simple Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Greatspear,AV,Spear,Polearm,3,1,10,,,Reach,,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Greatsword,PHB,Heavy blade,,3,1,10,,,,,Military Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Gythka,DSCS,Spear,,2,1,8,5,10,Defensive,Heavy thrown,Superior Melee,2,TRUE,2,,,,,,,,,,,,,,,,,
Halberd,PHB,Axe,Polearm,2,1,10,,,Reach,,Military Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Hand Crossbow,PHB,Crossbow,,2,1,6,10,20,Load free,#REF!,Simple Ranged,1,FALSE,1,,,,,,,,,,,,,,,,,
Handaxe,PHB,Axe,#REF!,2,1,6,5,10,Off-hand,Heavy thrown,Military Melee,1,TRUE,2,,,,,,,,,,,,,,,,,
Heavy Flail,PHB,Flail,,2,2,6,,,,,Military Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Heavy War Pick,AV,Pick,,2,1,12,,,High crit,,Military Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Javelin,PHB,Spear,,2,1,6,10,20,Heavy thrown,,Simple Melee,1,TRUE,2,,,,,,,,,,,,,,,,,
Katar,PHB,Light blade,,3,1,6,,,Off-hand,High crit,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Khopesh,AV,Axe,#REF!,2,1,8,,,Brutal 1,Versatile,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Kukri,AV,Light blade,,2,1,6,,,Brutal 1,Off-hand,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Light War Pick,AV,Pick,#REF!,2,1,6,,,High crit,Off-hand,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Longbow,PHB,Bow,,2,1,10,20,40,Load free,,Military Ranged,2,FALSE,1,,,,,,,,,,,,,,,,,
Longspear,PHB,Spear,Polearm,2,1,10,,,Reach,,Military Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Longsword,PHB,Heavy blade,#REF!,3,1,8,,,Versatile,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Lotulis,DSCS,Heavy blade,,2,1,10,,,Defensive,Stout,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Mace,PHB,Mace,#REF!,2,1,8,,,Versatile,,Simple Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Maul,PHB,Hammer,,2,2,6,,,,,Military Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Mordenkrad,AV,Hammer,,2,2,6,,,Brutal 1,,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Morningstar,PHB,Mace,,2,1,10,,,,,Simple Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Net,DSCS,Flail,,2,1,6,2,5,Off-hand,Heavy thrown,Superior Melee,1,TRUE,2,,,,,,,,,,,,,,,,,
Parrying Dagger,AV,Light blade,,2,1,4,,,Defensive,Off-hand,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Puchik,DSCS,Light blade,,3,1,6,,,Off-hand,High crit,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Quarterstaff,PHB,Staff,,2,1,8,,,,,Simple Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Rapier,PHB,Light blade,,3,1,8,,,,,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Repeating Crossbow,AV,Crossbow,,2,1,8,10,20,Load free,,Simple Ranged,2,FALSE,1,,,,,,,,,,,,,,,,,
Scimitar,PHB,Heavy blade,,2,1,8,,,High crit,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Scourge,AV,Flail,,2,1,8,,,Off-hand,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Scythe,PHB,Heavy blade,,2,2,4,,,,,Simple Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Short Sword,PHB,Light blade,,3,1,6,,,Off-hand,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Shortbow,PHB,Bow,,2,1,8,15,30,Load free,Small,Military Ranged,2,FALSE,1,,,,,,,,,,,,,,,,,
Shuriken,PHB,Light blade,,3,1,4,6,12,Light thrown,,Superior Ranged,1,FALSE,1,,,,,,,,,,,,,,,,,
Sickle,PHB,Light blade,,2,1,6,,,Off-hand,,Simple Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Singing Stick,DSCS,Mace,,3,1,6,,,Defensive,Off-hand,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Sling,PHB,Sling,,2,1,6,10,20,Load free,#REF!,Simple Ranged,1,FALSE,1,,,,,,,,,,,,,,,,,
Soul Shield,DRMZ,Axe,Shield,2,1,8,,,Off-hand,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Spear,PHB,Spear,,2,1,8,,,Versatile,,Simple Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Spiked Chain,AV,Flail,,3,2,4,,,Reach,,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Spiked Gauntlet,AV,Unarmed,,2,1,6,,,Off-hand,,Simple Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Spiked Shield,AV,Light blade,Shield,2,1,6,,,Off-hand,,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Starshadow Blade,DRMZ,Heavy blade,,3,1,10,,,,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Sun Shield,DRMZ,Heavy blade,,2,1,6,,,Off-hand,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Superior Crossbow,AV,Crossbow,,3,1,10,20,40,Load minor,,Superior Ranged,2,FALSE,1,,,,,,,,,,,,,,,,,
Sword of the White Well,DRMZ,Heavy blade,,2,1,12,,,,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Talenta Boomerang,EPG,Light blade,,2,1,4,10,20,Light thrown,,Superior Ranged,1,FALSE,1,,,,,,,,,,,,,,,,,
Talenta Sharrash,EPG,Heavy blade,Polearm,3,1,8,,,High crit,Small,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Talenta Tangat,EPG,Heavy blade,,2,1,8,,,High crit,Versatile,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Talid,DSCS,Unarmed,,2,1,6,,,Off-hand,,Simple Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Throwing Hammer,PHB,Hammer,#REF!,2,1,6,5,10,Off-hand,Heavy thrown,Military Melee,1,TRUE,2,,,,,,,,,,,,,,,,,
Tortoise Blade,DSCS,Light blade,,2,1,6,,,Off-hand,,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Tratnyr,AV,Spear,,2,1,8,10,20,Heavy thrown,Versatile,Superior Melee,1,TRUE,2,,,,,,,,,,,,,,,,,
Trident,AV,Spear,,2,1,8,3,6,Heavy thrown,Versatile,Military Melee,1,TRUE,2,,,,,,,,,,,,,,,,,
Trikal,DSCS,Axe,Polearm,2,1,10,,,Reach,,Military Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Triple-Headed Flail,AV,Flail,,3,1,10,,,Versatile,,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Unarmed,PHB,Unarmed,,0,1,4,,,Off-hand,,Simple Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Unarmed (Monk),PHB3,Unarmed,,3,1,8,,,Off-hand,,Simple Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Urgrosh (Axe),AV,Axe,Spear,2,1,12,,,Defensive,Off-hand,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Urgrosh (Spear),AV,Spear,Axe,2,1,6,,,Defensive,Off-hand,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
War Pick,PHB,Pick,#REF!,2,1,8,,,High crit,Versatile,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Waraxe,AV,Axe,#REF!,2,1,12,,,Versatile,,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Warhammer,PHB,Hammer,#REF!,2,1,10,,,Versatile,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Whip,DSCS,Flail,,3,1,4,,,Off-hand,Reach,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Widow's Knife,DSCS,Light blade,,3,1,4,5,10,Off-hand,Light thrown,Simple Melee,1,TRUE,1,,,,,,,,,,,,,,,,,
Wrist Razors,DSCS,Light blade,,3,1,4,,,Off-hand,,Simple Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Xen'drik Boomerang,EPG,Light blade,,2,1,6,6,12,Light thrown,,Superior Ranged,1,FALSE,1,,,,,,,,,,,,,,,,,
Zadatl,DRMZ,Polearm,Spear,2,1,8,,,High crit,Reach,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
Zulaat,EPG,Heavy blade,Polearm,2,2,4,,,Defensive,Off-hand,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
