Power Name,Book,Class,Level,
Phantom Assault,DRMZ,Assassin,19,
Assassin's Scalpel,DRMZ,Assassin,25,
Folded Shadow,DRMZ,Assassin,25,
Reaper's Touch,DRMZ,Assassin,25,
Wall of Death,DRMZ,Assassin,25,
Doom Foretold,DRMZ,Assassin,29,
Intent to Murder,DRMZ,Assassin,29,
Shadow Puppet,DRMZ,Assassin,29,
Three Shadow Venoms,DRMZ,Assassin,29,
Argent Mantle,DP,Avenger,1,
Aspect of Might,PHB2,Avenger,1,
Celestial Fist,DP,Avenger,1,
Oath of the Final Duel,PHB2,Avenger,1,
Renewing Strike,PHB2,Avenger,1,
Steelsworn Oath,DRMZ,Avenger,1,
Strength of Many,DP,Avenger,1,
Temple of Light,PHB2,Avenger,1,
Thunder and Echo,DP,Avenger,1,
Wings of Light,DP,Avenger,1,
Bond of Foresight,PHB2,Avenger,5,
Dance of Flame,DP,Avenger,5,
Dawn Fire Sigil,PHB2,Avenger,5,
Executioner's Cloak,PHB2,Avenger,5,
Glaring Admonition,DRMZ,Avenger,5,
Light of Truth,DP,Avenger,5,
Living Death Strike,DRMZ,Avenger,5,
Menacing Presence,DP,Avenger,5,
Nine Souls of Wrath,DP,Avenger,5,
Oath of Consuming Light,PHB2,Avenger,5,
Oath of Righteous Fury,DP,Avenger,5,
Rotting Wound,DRMZ,Avenger,5,
Storm Father's Favor,DRMZ,Avenger,5,
Aspect of Speed,PHB2,Avenger,9,
Avandra's Footsteps,DRMZ,Avenger,9,
Bahamut's Wing,DRMZ,Avenger,9,
Blade of Guilt,DP,Avenger,9,
Blade of Repulsion,DRMZ,Avenger,9,
Corellon's Evasion,DRMZ,Avenger,9,
Enduring Strike,PHB2,Avenger,9,
Erathis's Coordination,DRMZ,Avenger,9,
Fated Doom,DRMZ,Avenger,9,
Glyph of Agony,DP,Avenger,9,
Holy Ardor,DP,Avenger,9,
Ioun's Irrefutable Logic,DRMZ,Avenger,9,
Kord's Storm,DRMZ,Avenger,9,
Melora's Inexorable Tide,DRMZ,Avenger,9,
Moradin's Stalwart Shield,DRMZ,Avenger,9,
Oath of Pursuit,PHB2,Avenger,9,
Pelor's Divine Fire,DRMZ,Avenger,9,
Sehanine's Misdirection,DRMZ,Avenger,9,
Shadow Tricks,DRMZ,Avenger,9,
Temple of Shadow,PHB2,Avenger,9,
The Raven Queen's Decay,DRMZ,Avenger,9,
Winds of Woe,DP,Avenger,9,
Zealot's Call,DP,Avenger,9,
Aspect of Fury,PHB2,Avenger,15,
Bond of the Sacred Duel,PHB2,Avenger,15,
Forceful Call,DP,Avenger,15,
Ghostly Chains,DP,Avenger,15,
Inescapable Justice,DP,Avenger,15,
Oath of Divine Lightning,PHB2,Avenger,15,
Oath of the Many,DRMZ,Avenger,15,
Sigil of Carceri,PHB2,Avenger,15,
Soul Lightning,DP,Avenger,15,
Temple of Brilliance,DP,Avenger,15,
Tether of Light,DP,Avenger,15,
Zealous Onslaught,DP,Avenger,15,
Aspect of Awe,PHB2,Avenger,19,
Blade of Astral Hosts,DP,Avenger,19,
Bonded by Blood,DP,Avenger,19,
Flame Unquenchable,DP,Avenger,19,
Leprous Wound,DRMZ,Avenger,19,
Oath of the Inevitable Blade,PHB2,Avenger,19,
Radiant Beckoning,DRMZ,Avenger,19,
Stroke of Doom,DP,Avenger,19,
Temple of Respite,PHB2,Avenger,19,
Vengeful Recovery,PHB2,Avenger,19,
Amber Prisons,DP,Avenger,25,
Aspect of Death,PHB2,Avenger,25,
Bond of Destiny,PHB2,Avenger,25,
Drawn by Fate,DP,Avenger,25,
Executioner's Justice,PHB2,Avenger,25,
Mantle of the Astral Champion,DP,Avenger,25,
Sigil of Damnation,PHB2,Avenger,25,
Thunderhead Smite,DP,Avenger,25,
Wings of Pursuit,DRMZ,Avenger,25,
Aspect of Terror,PHB2,Avenger,29,
Brand of the Soul,DRMZ,Avenger,29,
Cataclysmic Doom,DP,Avenger,29,
Divide and Condemn,DP,Avenger,29,
Eye of the Hurricane,DP,Avenger,29,
Fiery Vengeance,PHB2,Avenger,29,
Final Oath,PHB2,Avenger,29,
Impaling Summons,DP,Avenger,29,
March of Doom,DP,Avenger,29,
Merciless Nemesis,DP,Avenger,29,
Temple of Resolution,PHB2,Avenger,29,
Accelerating Strike,PsP,Battlemind,1,
Allies to Enemies,PHB3,Battlemind,1,
Aspect of Bitter Ice,PsP,Battlemind,1,
Aspect of Elevated Harmony,PHB3,Battlemind,1,
Corona of Floating Force,DSCS,Battlemind,1,
Living Fortress,PsP,Battlemind,1,
Psionic Anchor,PHB3,Battlemind,1,
Steel Unity Strike,PHB3,Battlemind,1,
Stolen Grace,PsP,Battlemind,1,
Aspect of Living Stone,PHB3,Battlemind,5,
Aspect of Unspeakable Horror,PsP,Battlemind,5,
Beckoning Strike,PHB3,Battlemind,5,
Empathic Feedback,PsP,Battlemind,5,
Fated Confrontation,PsP,Battlemind,5,
Inconsistent Location,PsP,Battlemind,5,
Nightmare Vortex,PHB3,Battlemind,5,
Predator to Prey,PHB3,Battlemind,5,
Wild Speed,DSCS,Battlemind,5,
Aspect of Disembodiment,PHB3,Battlemind,9,
Baleful Teleport,PsP,Battlemind,9,
Cascade of Rippling Force,DSCS,Battlemind,9,
Inexorable Death Strike,PHB3,Battlemind,9,
Intellect Hammer,PHB3,Battlemind,9,
Iron Tomb,PHB3,Battlemind,9,
Lion's Charge,PsP,Battlemind,9,
Shattered Time,PsP,Battlemind,9,
Strength of My Enemy,PsP,Battlemind,9,
Whelm,PHB3,Battlemind,9,
Aspect of Enlightening Flame,PHB3,Battlemind,15,
Aspect of the Desert Storm,DSCS,Battlemind,15,
Aspect of the Raging Tempest,PsP,Battlemind,15,
Crushing Wave Strike,PsP,Battlemind,15,
Intellect Sunder,PHB3,Battlemind,15,
Mind Blade,PHB3,Battlemind,15,
Paralyzing Fear Strike,PHB3,Battlemind,15,
Precognitive Eye,PsP,Battlemind,15,
Sonic Burst,PsP,Battlemind,15,
Aspect of Squamous Horror,PsP,Battlemind,19,
Aspect of Stolen Identity,PHB3,Battlemind,19,
Dimensional Ambush,PsP,Battlemind,19,
Focus Bind,PsP,Battlemind,19,
Indomitable Presence,DSCS,Battlemind,19,
Mind Wrack,PHB3,Battlemind,19,
Relentless Strike,PHB3,Battlemind,19,
Temporal Bind,PsP,Battlemind,19,
Vengeful Mind,PHB3,Battlemind,19,
Aspect of Luminous Thought,PHB3,Battlemind,25,
Blazing Offensive,PsP,Battlemind,25,
Corona of the Sun Sphere,DSCS,Battlemind,25,
Deadly Haste Strike,PHB3,Battlemind,25,
Psychic Hammer,PHB3,Battlemind,25,
Stolen Vigor,PsP,Battlemind,25,
Sublime Fury,PsP,Battlemind,25,
Temporal Reiteration,PsP,Battlemind,25,
Vitality Theft,PHB3,Battlemind,25,
Aspect of Annihilation,PHB3,Battlemind,29,
Darting Grace Strike,PsP,Battlemind,29,
Fatal Barrage,PHB3,Battlemind,29,
Focused Rampage,DSCS,Battlemind,29,
Killing Wind Assault,PsP,Battlemind,29,
Many Doors Curse,PsP,Battlemind,29,
Mind-Sundering Burst,PHB3,Battlemind,29,
Nova Strike,PHB3,Battlemind,29,
Omniscient Strike,PsP,Battlemind,29,
Always Falling Rage,DRMZ,Barbarian,1,
Blood Bear Rage,PP,Barbarian,1,
Bloodhunt Rage,PHB2,Barbarian,1,
Bloodseeker's Rage,DRMZ,Barbarian,1,
Life Thane Rage,PP,Barbarian,1,
Macetail's Rage,PHB2,Barbarian,1,
Rage Drake's Frenzy,PHB2,Barbarian,1,
Savage Juggernaut Rage,PP,Barbarian,1,
Skull-Taker's Rage,DRMZ,Barbarian,1,
Swift Panther Rage,PHB2,Barbarian,1,
Thunder Hooves Rage,PP,Barbarian,1,
Tyrant's Rage,PP,Barbarian,1,
Ambusher's Rage,DRMZ,Barbarian,5,
Ancient Berserker's Rage,PP,Barbarian,5,
Clawfoot Berserker Rage,MS,Barbarian,5,
Earth Grasp Rage,DRMZ,Barbarian,5,
Earthquake Dragon's Rage,DRMZ,Barbarian,5,
Frost Wolf Rage,PHB2,Barbarian,5,
Longstrike Slayer Rage,DRMZ,Barbarian,5,
Rage of the Crimson Hurricane,PP,Barbarian,5,
Razor Wind Rage,PP,Barbarian,5,
Silver Phoenix Rage,PHB2,Barbarian,5,
Thunder Hawk Rage,PHB2,Barbarian,5,
Tiger's Claw Rage,PP,Barbarian,5,
Vengeful Storm Rage,PHB2,Barbarian,5,
Black Dragon Rage,PHB2,Barbarian,9,
Carver's Raging Glory,DRMZ,Barbarian,9,
Flying Serpent Rage,PP,Barbarian,9,
Frenzied Beast Rage,MS,Barbarian,9,
Oak Hammer Rage,PHB2,Barbarian,9,
Rage of the Battle Tyrant,PP,Barbarian,9,
Rage of the Death Spirit,PP,Barbarian,9,
Rage of the Primal Banshee,PP,Barbarian,9,
Serpent Fang Rage,PP,Barbarian,9,
Stone Bear Rage,PHB2,Barbarian,9,
Stoneroot Rage,DRMZ,Barbarian,9,
White Tiger Rage,PHB2,Barbarian,9,
Ancestral War Band Rage,PP,Barbarian,15,
Flameheart Rage,PHB2,Barbarian,15,
Frost Hide Rage,PP,Barbarian,15,
Hunting Lion Rage,PHB2,Barbarian,15,
Iron Hammer Rage,PHB2,Barbarian,15,
Rage of the War Bringer,PP,Barbarian,15,
Scytheclaw Rage,PP,Barbarian,15,
Slashing Tornado Rage,DRMZ,Barbarian,15,
Thunderfury Rage,PHB2,Barbarian,15,
Tidal Rage,PP,Barbarian,15,
Whisper's Blade Rage,DRMZ,Barbarian,15,
Desert Wind Rage,PP,Barbarian,19,
Elder Tuskbrother Rage,PP,Barbarian,19,
Fortune's Ravagers Rage,DRMZ,Barbarian,19,
Ghost Viper Rage,PHB2,Barbarian,19,
Hydra Rage,PHB2,Barbarian,19,
Primal War Band Rage,PP,Barbarian,19,
Rock Tree Rage,PP,Barbarian,19,
Storm Drake Rage,PHB2,Barbarian,19,
Voracious Predator Rage,PP,Barbarian,19,
Winter Phoenix Rage,PHB2,Barbarian,19,
Ash Hammer Rage,PHB2,Barbarian,25,
Blood Hunger Rage,PHB2,Barbarian,25,
Blue Dragon Rage,PHB2,Barbarian,25,
Circle of Blood Rage,PP,Barbarian,25,
Clawed Ancestor Rage,PP,Barbarian,25,
Rage of the Unbridled Beast,PP,Barbarian,25,
Raptor's Eye Rage,PP,Barbarian,25,
Stone Tempest Rage,PHB2,Barbarian,25,
Ancient Forebears' Rage,PP,Barbarian,29,
Crimson Phoenix Rage,PHB2,Barbarian,29,
Rage of the Primal Beast,PHB2,Barbarian,29,
Rage of Retribution,PP,Barbarian,29,
Rage of the Thundering Rhino,PP,Barbarian,29,
Thunderstorm Rage,PP,Barbarian,29,
Winter Ghost Rage,PHB2,Barbarian,29,
World Serpent Rage,PHB2,Barbarian,29,
Arrow of Warning,AP,Bard,1,
Burdening Dirge,DRMZ,Bard,1,
Echoes of the Guardian,PHB2,Bard,1,
Echoing Roar,AP,Bard,1,
Malevolent Mischief,AP,Bard,1,
Saga of Rivalry,AP,Bard,1,
Satire of Fortune,AP,Bard,1,
Slayer's Song,PHB2,Bard,1,
Sprightly Rhythm,DRMZ,Bard,1,
Stirring Shout,PHB2,Bard,1,
Verse of Triumph,PHB2,Bard,1,
Arrow of Ill Omen,AP,Bard,5,
Compulsion,AP,Bard,5,
Rhyme of Fire,AP,Bard,5,
Satire of Bravery,PHB2,Bard,5,
Song of Discord,PHB2,Bard,5,
Strictures of Fortune,AP,Bard,5,
Timeless Trek in Mithrendain,DRMZ,Bard,5,
Tune of Ice and Wind,PHB2,Bard,5,
Vigorous Cadence,AP,Bard,5,
Word of Mystic Warding,PHB2,Bard,5,
Counterpoint,AP,Bard,9,
Forceful Conduit,PHB2,Bard,9,
Hideous Laughter,PHB2,Bard,9,
Hymn of the Daring Rescue,PHB2,Bard,9,
Rain of Starlight,AP,Bard,9,
Saga of Vengeance,AP,Bard,9,
Symphony of Misfortune,AP,Bard,9,
Thunder Blade,PHB2,Bard,9,
Wail of Anguish,AP,Bard,9,
Confusing Chorus,PHB2,Bard,15,
Dance of Biting Wind,PHB2,Bard,15,
Fated Vulnerability,AP,Bard,15,
Funeral Dirge,DRMZ,Bard,15,
Hole in the Mind,AP,Bard,15,
Iceshard Shot,AP,Bard,15,
Menacing Thunder,PHB2,Bard,15,
Quick Steel Dance,PHB2,Bard,15,
Satire of Evasion,AP,Bard,15,
Strike Up the Dance,DRMZ,Bard,15,
Wall of Sound,AP,Bard,15,
Whispers of the Dream King,DRMZ,Bard,15,
Wracking Radiance,AP,Bard,15,
All Soul's Ball,DRMZ,Bard,19,
Corralling Song,AP,Bard,19,
Craven Chorus,DRMZ,Bard,19,
Encircling Dance,PHB2,Bard,19,
Increasint the Tempo,PHB2,Bard,19,
Irresistible Dance,PHB2,Bard,19,
Linked Fortunes,AP,Bard,19,
Mocking Epigram,AP,Bard,19,
Saga of the Harrying Foe,AP,Bard,19,
Satire of Prowess,PHB2,Bard,19,
Spring to Action,AP,Bard,19,
Adversarial Song,PHB2,Bard,25,
Fraught with Failure,PHB2,Bard,25,
Frenzied Rhythm,PHB2,Bard,25,
Intimidating Visage,AP,Bard,25,
Leave it Dead,AP,Bard,25,
Sculpt Fate,AP,Bard,25,
Virtuoso of Misfortune,AP,Bard,25,
Vision Distortion,PHB2,Bard,25,
Arrow of Destiny,AP,Bard,29,
Hero's Beacon,PHB2,Bard,29,
Horrifying Truth,AP,Bard,29,
Saga of Foretold Doom,AP,Bard,29,
Satire of Leadership,PHB2,Bard,29,
Shockwave Strike,AP,Bard,29,
Song of the Deadly Dancer,DRMZ,Bard,29,
Spellbind,PHB2,Bard,29,
Astral Condemnation,DP,Cleric,1,
Avenging Flame,PHB,Cleric,1,
Beacon of Hope,PHB,Cleric,1,
Cascade of Light,PHB,Cleric,1,
Curse of Misfortune,DRMZ,Cleric,1,
Font of Tears,DP,Cleric,1,
Gift of Incomparable Strength,DRMZ,Cleric,1,
Guardian of Faith,PHB,Cleric,1,
Inflict Light Wounds,DRMZ,Cleric,1,
Lesser Aspect of Wrath,HFL,Cleric,1,
Levy of Judgment,HFL,Cleric,1,
Moment of Glory,DP,Cleric,1,
Nimbus of Holy Shielding,HFL,Cleric,1,
Shield of the Gods,DP,Cleric,1,
Weapon of Astral Flame,DP,Cleric,1,
Augment of War,DRMZ,Cleric,5,
Consecrated Ground,PHB,Cleric,5,
Divine Castigation,HFL,Cleric,5,
Divine Juggernaut,DRMZ,Cleric,5,
Hallowed Advance,PHB,Cleric,5,
Halo of Consequence,PHB,Cleric,5,
Hold Foe,PHB,Cleric,5,
Inspire Fervor,HFL,Cleric,5,
Iron to Glass,PHB,Cleric,5,
Revealing Light,PHB,Cleric,5,
Rune of Peace,PHB,Cleric,5,
Spiritual Weapon,PHB,Cleric,5,
Sundered Fortune,DRMZ,Cleric,5,
Weapon of the Gods,PHB,Cleric,5,
Astral Defenders,PHB,Cleric,9,
Blade Barrier,PHB,Cleric,9,
Champion of the Gods,HFL,Cleric,9,
Crucial Resurgence,DP,Cleric,9,
Dismissal,DP,Cleric,9,
Divine Fury,DP,Cleric,9,
Divine Power,PHB,Cleric,9,
Divine Punishment,HFL,Cleric,9,
Divine Surge,DRMZ,Cleric,9,
Flame Strike,PHB,Cleric,9,
Pariah's Curse,HFL,Cleric,9,
Rebuke Violence,DP,Cleric,9,
Aura of Astral Radiance,HFL,Cleric,15,
Brilliant Censure,DP,Cleric,15,
Divine Reprisal,DP,Cleric,15,
Full Eclipse,DRMZ,Cleric,15,
Holy Spark,PHB,Cleric,15,
Ivory Rampart,DP,Cleric,15,
Levy of Damnation,HFL,Cleric,15,
Manifestation of Wrath,HFL,Cleric,15,
Penance of Blood,DP,Cleric,15,
Purifying Fire,PHB,Cleric,15,
Ruinous Kismet,DRMZ,Cleric,15,
Sacred Armistice,DRMZ,Cleric,15,
Seal of Warding,PHB,Cleric,15,
Summon Black Reaper,DRMZ,Cleric,15,
Tree of Creation,DRMZ,Cleric,15,
Wrath of the Faithful,DP,Cleric,15,
Beacon of Doom,DP,Cleric,19,
Breath of the Raven Queen,DRMZ,Cleric,19,
Fire Storm,PHB,Cleric,19,
Gaze of the Sun,HFL,Cleric,19,
Greater Augment of War,DRMZ,Cleric,19,
Holy Wrath,PHB,Cleric,19,
Indomitable Spirit,PHB,Cleric,19,
Knight of Glory,PHB,Cleric,19,
Miraculous Intervention,DP,Cleric,19,
Moment of Peace,DP,Cleric,19,
Necrotic Transference,DRMZ,Cleric,19,
Realm of Battle,DP,Cleric,19,
Supernal Radiance,DP,Cleric,19,
Unconquerable Spirit,HFL,Cleric,19,
Wrathful Judgment,HFL,Cleric,19,
Divine Battle Lord,HFL,Cleric,25,
Divine Intervention,DP,Cleric,25,
Divine Reaping,DRMZ,Cleric,25,
Flames of Torment,DP,Cleric,25,
Life Lanterns,DP,Cleric,25,
Nimbus of Doom,PHB,Cleric,25,
Prayer of Victory,DP,Cleric,25,
Righteous Might,DP,Cleric,25,
Sacred Word,PHB,Cleric,25,
Seal of Binding,PHB,Cleric,25,
Seal of Protection,PHB,Cleric,25,
Soulshock Field,DRMZ,Cleric,25,
Subjugating Strike,HFL,Cleric,25,
Astral Exile,DP,Cleric,29,
Astral Storm,PHB,Cleric,29,
Breath of the Stars,DP,Cleric,29,
Chains of the Peacemaker,DP,Cleric,29,
Enforced Surrender,DP,Cleric,29,
Godstrike,PHB,Cleric,29,
Ordained Victory,HFL,Cleric,29,
Stern Judgment,DP,Cleric,29,
Visage of the Gods,HFL,Cleric,29,
Earth Roots,PP,Druid,1,
Faerie Fire,PHB2,Druid,1,
Fires of Life,PHB2,Druid,1,
Fog of Insects,PP,Druid,1,
Form of the Primeval Ape,DRMZ,Druid,1,
Form of the Primeval Bear,DRMZ,Druid,1,
Form of the Primeval Boar,DRMZ,Druid,1,
Heat Metal,HFK,Druid,1,
Lightning Arc,PP,Druid,1,
Savage Frenzy,PHB2,Druid,1,
Shillelagh,HFK,Druid,1,
Summon Fierce Boar,PP,Druid,1,
Summon Giant Toad,PP,Druid,1,
Summon Pack Wolf,PP,Druid,1,
Vexing Overgrowth,HFK,Druid,1,
Wind Prison,PHB2,Druid,1,
Clinging Drones,PP,Druid,5,
Destructive Harvest,HFK,Druid,5,
Hobbling Rend,PHB2,Druid,5,
Form of the Primeval Lizard,DRMZ,Druid,5,
Form of the Primeval Spider,DRMZ,Druid,5,
Form of the Primeval Wolf,DRMZ,Druid,5,
Hunger of the Land,HFK,Druid,5,
Life Blood Harvest,HFK,Druid,5,
Primal Spider,DRMZ,Druid,5,
Primal Wolverine,PHB2,Druid,5,
Roar of Terror,PHB2,Druid,5,
Summon Fire Beetle,PP,Druid,5,
Summon Guard Drake,PP,Druid,5,
Summon Shadow Ape,PP,Druid,5,
Summon Stalking Panther,PP,Druid,5,
Vine Serpents,PP,Druid,5,
Wall of Thorns,PHB2,Druid,5,
Death's Bounty,PP,Druid,5,
Entangle,PHB2,Druid,9,
Feral Mauling,PHB2,Druid,9,
Flurry of Stingers,PP,Druid,9,
Form of the Primeval Cat,DRMZ,Druid,9,
Form of the Primeval Raptor,DRMZ,Druid,9,
Form of the Primeval Serpent,DRMZ,Druid,9,
Pain from Perseverance,DRMZ,Druid,9,
Primal Serpent,DRMZ,Druid,9,
Primal Wolf,PHB2,Druid,9,
Reap Vitality,HFK,Druid,9,
Sudden Overgrowth,HFK,Druid,9,
Summon Crocodile,PP,Druid,9,
Summon Great Eagle,PP,Druid,9,
Summon Proud Bear,PP,Druid,9,
Sunbeam,PHB2,Druid,9,
