Implement,Level,Book,Bonus,Type,Superior Feat,SI Prop 1,SI Prop 2,Energized Type,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Speed,Initiative,Surges,Surge Val,Fortitude,Reflex,Will,AC,Strength,Dexterity,Wisdom,Ranged,Melee
Fell Beast Totem,3,AV2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feral Spirit Totem,8,PHB2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fey Flute,18,DRMZ,4,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feyrod,18,AV,4,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feyshard Wand,28,AV2,6,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feyswarm Staff,4,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fickle Twilight Totem,9,EPG,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Flame Ki Focus,3,DRMZ,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fist of Kord,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flame Wand,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flameheart Totem,10,AV2,2,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluid Ki Focus,1,PsP,1,Focus,#REF!,Mobile,Shielding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fochlucan Bandore,3,PHB2,1,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbidden Tome,1,PHB3,1,Tome,#REF!,Deadly,Unstoppable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forked Lightning Ki Focus,9,PsP,2,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force Staff,3,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force Wand,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Winds Ki Focus,3,PsP,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Tome,18,AV2,4,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Mask Ki Focus,4,DRMZ,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Strike Ki Focus,2,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gith Orb of Illithid's Bane,14,MOTP,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gossamer Tome,8,AV2,2,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Orb of Dragonkind,14,DRMZ,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenstone Orb,1,PHB3,1,Orb,#REF!,Energized,Unstoppable,Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian Staff,1,PHB3,1,Staff,#REF!,Energized,Shielding,Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvester's Staff,5,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Hawthorn Wand,9,AV2,2,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haunting Presence Ki Focus,17,PsP,4,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk's Talon Ki Focus,4,DRMZ,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearth of Boldrei,8,EPG,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellfire Staff,4,PHRT,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellfire Wand,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellrod,18,AV,4,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexer's Rod,3,AV2,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horns of Balinor,8,EPG,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungry Spirit Totem,2,PHB2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunting Panther Ki Focus,2,PsP,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurricane Strike Ki Focus,4,PsP,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icicle Totem,1,PHB3,1,Totem,#REF!,Empowered Crit,Energized,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icon of the Silver Flame,4,EPG,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impeding Ki Focus,3,PHB3,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incendiary Dagger,1,DRMZ,1,Weapon,#REF!,Energized,Unerring,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inexorable Ki Focus,1,PsP,1,Focus,#REF!,Energized,Unstoppable,Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingot Liberatis,19,DRMZ,4,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingot Liberatis,19,EPG,4,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ioun Orb,25,DRMZ,5,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ioun Stone of Divine Knowledge,25,AV2,5,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ioun-Blessed Symbol,2,AV2,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Bear Totem,8,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Body Ki Focus,5,DRMZ,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Ki Focus,1,PsP,1,Focus,#REF!,Deadly,Forceful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Wand,24,AV2,5,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ironscar Rod,3,PHRT,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keen Bite Wand,18,EPG,4,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancing Dagger,1,DRMZ,1,Weapon,#REF!,Empowered Crit,Energized,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaves of Death,3,EPG,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifesapper Rod,9,AV,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life River Totem,13,AV2,3,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyre of Supplication,29,DRMZ,6,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mac-Fuirmidh Cittern,5,PHB2,1,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mask of Melora,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Cloud of Daggers,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Dire Radiance,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Eldritch Blast,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Eyebite,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Eyes of the Vestige,4,AV2,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Hellish Rebuke,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Illusory Ambush,4,AV2,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Magic Missile,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Misdirected Mark,4,AV2,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Phantom Bolt,4,AV2,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Ray of Frost,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Scorching Burst,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Spiteful Glamour,4,AV2,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Static Shock,4,EPG,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Thundering Armor,4,EPG,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Thunderwave,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Wand of Vicious Mockery,4,AV2,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medallion of Dol Arrah,7,EPG,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurial Rod,6,AV,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesmerizing Harp,9,DRMZ,2,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Ki Focus,1,PsP,1,Focus,#REF!,Empowered Crit,Unerring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Strike Ki Focus,4,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mindwarp Staff,1,PHB3,1,Staff,#REF!,Distant,Energized,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mnemonic Staff,2,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moon Disk of Sehanine,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonsilver Staff,7,AV2,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradin's Indestructible Anvil,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mordenkainen's Tome,13,AV2,3,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Ki Focus,1,PsP,1,Focus,#REF!,Forceful,Shielding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountainfall Ki Focus,9,PsP,2,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Furies Totem,20,AV2,4,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonagon of Kol Korran,2,EPG,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oalian's Balance Totem,2,EPG,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octogram of the Sovereign Host,3,EPG,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ollamh Harp,29,PHB2,6,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onatar's Forge,2,EPG,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Accuracy,14,AV2,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Arcane Generosity,24,AV,5,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Augmented Stasis,12,AV,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Coercive Dementia,19,AV,4,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Crimson Commitment,14,AV,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Crystalline Terror,8,AV,2,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Darkest Defiling,8,DSCS,2,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Debilitating Languor,2,AV,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Distance Denial,20,AV2,4,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Draconic Majesty,14,AV,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Dragonkind,12,DRMZ,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Drastic Resolutions,13,PHB,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Entropy,28,DRMZ,6,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Far Seeing,3,AV,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Fickle Fate,4,AV,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Fiery Condemnation,5,DRMZ,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Frustrated Recovery,3,PHB3,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Ghostbane Triumph,9,PsP,2,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Harmonic Agony,4,AV,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Heightened Imposition,12,AV2,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Impenetrable Escape,6,AV,2,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Indefatigable Concentration,13,AV,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Indisputable Gravity,7,PHB,2,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Inescapable Consequences,8,AV,2,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Inevitable Continuance,3,PHB,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Inexplicable Contention,8,DRMZ,2,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Insurmountable Force,3,AV,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Invasive Fortune,20,PHB,4,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Judicious Conjuration,3,AV,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
