Name,Book,Class,Level,
Uncanny Instincts,PHB3,Any,10,
Zealous Fury,DRMZ,Any,10,
Dragonborn Zeal,PHRD,Any,12,
Improved Immutability (D),DRMZ,Any,12,
Improved Immutability,EPG,Any,12,
Deepening Gloom,PHB3,Any,16,
Diehard,PHB3,Any,16,
Elemental Countermeasures,PHB3,Any,16,
Indomitable Ally,PHB3,Any,16,
Insightful Riposte,PHB3,Any,16,
Miraculous Treatment,PHB3,Any,16,
Nightshade Drought,DRMZ,Any,16,
Practiced Mental Defense,DRMZ,Any,16,
Reflexive Dodge,PHB3,Any,16,
Warforged Fortification (D),DRMZ,Any,22,
Warforged Fortification,EPG,Any,22,
Bend Space,PHB3,Ardent,2,
Close Wounds,PsP,Ardent,2,
Dimension Swap,PHB3,Ardent,2,
Dull Pain,PsP,Ardent,2,
Healing Bond,PsP,Ardent,2,
Mind over Matter,PHB3,Ardent,2,
Psionic Charge,PsP,Ardent,2,
Psionic Conduit,PHB3,Ardent,2,
Sympathetic Agony,DRMZ,Ardent,2,
Wellspring of Vigor,PHB3,Ardent,2,
Battle Link,PHB3,Ardent,6,
Body Adjustment,PHB3,Ardent,6,
Escalating Doubt,PsP,Ardent,6,
Evade Attack,PHB3,Ardent,6,
Mend Wounds,PHB3,Ardent,6,
Opportunity Seized,PsP,Ardent,6,
Painful Revelations,DRMZ,Ardent,6,
Rapid Calculation,PsP,Ardent,6,
Shared Momentum,PsP,Ardent,6,
Thought Shield,PHB3,Ardent,6,
Force of Will,PsP,Ardent,10,
Fostered Talent,PsP,Ardent,10,
From the Brink,PHB3,Ardent,10,
Incite Bravery,PHB3,Ardent,10,
Psychic Boon,PsP,Ardent,10,
Reactive Resistance,PHB3,Ardent,10,
Tower of Iron Will,PHB3,Ardent,10,
Unshakable Bonds,DRMZ,Ardent,10,
Vital Summons,PsP,Ardent,10,
Bountiful Life,PHB3,Ardent,16,
Common Cause,PsP,Ardent,16,
Detach Mind,PsP,Ardent,16,
Disbelieve Danger,PsP,Ardent,16,
Fortunate Recovery,PHB3,Ardent,16,
Mental Rejuvenation,PHB3,Ardent,16,
Re-Form Mind,PHB3,Ardent,16,
Resilient Bond,PsP,Ardent,16,
Uncanny Awareness,PHB3,Ardent,16,
Awakened Id,PsP,Ardent,22,
Borrowed Time,PHB3,Ardent,22,
Empathic Recovery,PsP,Ardent,22,
Expedite Healing,PsP,Ardent,22,
Guided Opportunity,PHB3,Ardent,22,
Insensate Mind,PHB3,Ardent,22,
Rapid Recovery,PHB3,Ardent,22,
Sudden Reinforcements,PsP,Ardent,22,
Arcane Anchor,DRMZ,Artificer,2,
Arcane Springboard,EPG,Artificer,2,
Bolster Armor,EPG,Artificer,2,
Reinforced Minion,EPG,Artificer,2,
Restorative Infusion,EPG,Artificer,2,
Swift Mender,EPG,Artificer,2,
Use Magic Item,EPG,Artificer,2,
Animate Helper,EPG,Artificer,6,
Energy Conversion,DRMZ,Artificer,6,
Healing Reserve,EPG,Artificer,6,
Phantom Structure,EPG,Artificer,6,
Regeneration Infusion,EPG,Artificer,6,
Dancing Shield,EPG,Artificer,10,
Dragonshard Shield,DRMZ,Artificer,10,
Healing Figurine,EPG,Artificer,10,
Infused Familiar,DRMZ,Artificer,10,
Recuperative Enchantment,DRMZ,Artificer,10,
Sigil of Luck,EPG,Artificer,10,
Slick Concoction,EPG,Artificer,10,
Dimensional Mooring,DRMZ,Artificer,16,
Enlarge Familiar,DRMZ,Artificer,16,
Good Luck Charm,EPG,Artificer,16,
Iron-Hide Infusion,EPG,Artificer,16,
Protection from Elements,EPG,Artificer,16,
Siberys Unleashed,DRMZ,Artificer,16,
Vorpal Edge,EPG,Artificer,16,
Bag of the Four Winds,EPG,Artificer,22,
Cure-All Admixture,EPG,Artificer,22,
Diminutive Bodyguard,EPG,Artificer,22,
Hero's Elixir,EPG,Artificer,22,
Opportunistic Enchantment,DRMZ,Artificer,22,
Cat's Trickery,DRMZ,Assassin,2,
Cloak of Shades,DRMZ,Assassin,2,
Contrivance of Speed,DRMZ,Assassin,2,
Converging Shadow,DRMZ,Assassin,2,
Distracting Illusion,DRMZ,Assassin,2,
Lurking Shadow,DRMZ,Assassin,2,
Shadow Meld,DRMZ,Assassin,2,
Silent Stalker,DRMZ,Assassin,2,
Summon the Mists,DRMZ,Assassin,2,
Darkness,DRMZ,Assassin,6,
Darting Shadow,DRMZ,Assassin,6,
Ghost of the Rooftops,DRMZ,Assassin,6,
Shadow Adept,DRMZ,Assassin,6,
Sheltering Disk,DRMZ,Assassin,6,
Slayer's Escape,DRMZ,Assassin,6,
Slithering Shadow,DRMZ,Assassin,6,
Vanish,DRMZ,Assassin,6,
Darkening Veil,DRMZ,Assassin,10,
Death Mark,DRMZ,Assassin,10,
Eyes Unseen,DRMZ,Assassin,10,
Mist Walk,DRMZ,Assassin,10,
Promise of Retribution,DRMZ,Assassin,10,
Seeker of Shadow,DRMZ,Assassin,10,
Slayer's Endurance,DRMZ,Assassin,10,
Vaporous Step,DRMZ,Assassin,10,
Walk Through Shadow,DRMZ,Assassin,10,
Assassin's Defense,DRMZ,Assassin,16,
Gloaming Veil,DRMZ,Assassin,16,
Liquid Shadow,DRMZ,Assassin,16,
Shadow Meld,DRMZ,Assassin,16,
Thief of Names,DRMZ,Assassin,16,
Untraceable Step,DRMZ,Assassin,16,
Assassin's Eye,DRMZ,Assassin,22,
Claim the Dead,DRMZ,Assassin,22,
Fortress of Shadow,DRMZ,Assassin,22,
Gloaming Dance,DRMZ,Assassin,22,
Ignore Barriers,DRMZ,Assassin,22,
Soul of Death,DRMZ,Assassin,22,
Avenger's Resolve,DP,Avenger,2,
Blessing of Vengeance,PHB2,Avenger,2,
Distracting Flare,PHB2,Avenger,2,
Enduring Spirit,DP,Avenger,2,
Holy Blessing,DRMZ,Avenger,2,
Loyal Sanction,DP,Avenger,2,
Refocus Enmity,PHB2,Avenger,2,
Resonant Escape,PHB2,Avenger,2,
Righteous Pursuit,DP,Avenger,2,
Silver Shadow,DP,Avenger,2,
Aspect of Agility,PHB2,Avenger,6,
Aspect of Majesty,DP,Avenger,6,
Breath of Creation,DRMZ,Avenger,6,
Cloaked Steps,DRMZ,Avenger,6,
Fortifying Chant,DP,Avenger,6,
Freedom Step,DRMZ,Avenger,6,
Harsh Lesson,DP,Avenger,6,
Implacable Mountain,DRMZ,Avenger,6,
Light of Civilization,DRMZ,Avenger,6,
Oath of Enduring Wrath,PHB2,Avenger,6,
Oath of the Relentless Hunter,PHB2,Avenger,6,
Pelor's Shining Light,DRMZ,Avenger,6,
Platinum Pride,DRMZ,Avenger,6,
Prayer of Sacrifice,DRMZ,Avenger,6,
Prescient Knowledge,DRMZ,Avenger,6,
Shroud of Winter,DRMZ,Avenger,6,
Soul Seeker,DRMZ,Avenger,6,
Step of Fate,DP,Avenger,6,
Symmetric Harmony,DRMZ,Avenger,6,
Veil of the Moon,DRMZ,Avenger,6,
Wrath of the Divine,PHB2,Avenger,6,
Wrath of the Sea,DRMZ,Avenger,6,
Avenger's Readiness,PHB2,Avenger,10,
Channel Endurance,PHB2,Avenger,10,
Decaying Presence,DRMZ,Avenger,10,
Ever Onward,DP,Avenger,10,
Eye of Justice,PHB2,Avenger,10,
Leading Step,DP,Avenger,10,
River of Life,PHB2,Avenger,10,
Shielding Symbol,DP,Avenger,10,
Wings of Vengeance,DP,Avenger,10,
Astral Cloak,PHB2,Avenger,16,
Battle Blessing,DP,Avenger,16,
Bulwark of Defiance,PHB2,Avenger,16,
Pillar of Chernoggar,DP,Avenger,16,
Refire the Forge,DRMZ,Avenger,16,
Strength in Unity,DP,Avenger,16,
Summons to Duty,DP,Avenger,16,
Temple of Seclusion,DP,Avenger,16,
Vengeful Revenant,PHB2,Avenger,16,
Winds of the Astral Sea,PHB2,Avenger,16,
Ghostly Vengeance,PHB2,Avenger,22,
Indomitable Resolve,PHB2,Avenger,22,
Oath of the Final Strike,PHB2,Avenger,22,
Raven Wings,DRMZ,Avenger,22,
Refuge of Piety,DP,Avenger,22,
Seeker's Step,DP,Avenger,22,
Shield of Providence,DP,Avenger,22,
Twin Step,PHB2,Avenger,22,
Concussive Response,DSCS,Battlemind,2,
Dimension Slide,PsP,Battlemind,2,
Evade Explosion,PsP,Battlemind,2,
Feather Step,PHB3,Battlemind,2,
Oaken Resilience,PsP,Battlemind,2,
Psionic Vigor,PHB3,Battlemind,2,
Telepathic Challenge,PHB3,Battlemind,2,
Wild Savagery,PsP,Battlemind,2,
Energy Transformation,PsP,Battlemind,6,
Ghost Jaunt,DRMZ,Battlemind,6,
Mental Triumph,PsP,Battlemind,6,
Psionic Ambush,PHB3,Battlemind,6,
Relentless Hostility,PsP,Battlemind,6,
Sense Minds,PHB3,Battlemind,6,
Stag's Leap,PHB3,Battlemind,6,
Surging Durability,DSCS,Battlemind,6,
Warning Premonition,PsP,Battlemind,6,
Winged Weapon,PHB3,Battlemind,6,
Battle Aspect,PHB3,Battlemind,10,
Guardian's Speed,PHB3,Battlemind,10,
Hands of the Titan,DSCS,Battlemind,10,
Hone Weapon,PsP,Battlemind,10,
Iron Warding,PHB3,Battlemind,10,
Shadow Ally,PHB3,Battlemind,10,
Subjective Gravity,PsP,Battlemind,10,
Ubiquitous Vision,PsP,Battlemind,10,
Uncanny Senses,PsP,Battlemind,10,
Extend the Mind's Eye,PHB3,Battlemind,16,
Inertial Barrier,PsP,Battlemind,16,
Instant Move,PsP,Battlemind,16,
Mind of Endurance,PHB3,Battlemind,16,
Resolute Recovery,PsP,Battlemind,16,
Savage Intent,DSCS,Battlemind,16,
Shield of the Iron Mind,PHB3,Battlemind,16,
Sudden Rush,PHB3,Battlemind,16,
Teleport Trigger,PsP,Battlemind,16,
Deaden Blow,PsP,Battlemind,22,
Fearless Mindset,PsP,Battlemind,22,
Immortal Endurance,PHB3,Battlemind,22,
Indomitable Maneuver,PHB3,Battlemind,22,
Mental Haven,PsP,Battlemind,22,
Perfect Eye,PHB3,Battlemind,22,
Psychic Feast,DSCS,Battlemind,22,
Tactical Supremacy,PHB3,Battlemind,22,
Wings of Elevated Thought,PsP,Battlemind,22,
Bounding Stride,PP,Barbarian,2,
Combat Sprint,PHB2,Barbarian,2,
Feral Rejuvenation,PP,Barbarian,2,
Laugh It Off,MS,Barbarian,2,
Primal Vitality,PHB2,Barbarian,2,
Savage Comeback,PP,Barbarian,2,
Savage Growl,PP,Barbarian,2,
Shrug It Off,PP,Barbarian,2,
Stonebreaker,PHB2,Barbarian,2,
Tiger's Leap,PHB2,Barbarian,2,
Climber's Claws,PP,Barbarian,2,
Combat Surge,PHB2,Barbarian,6,
Indomitable Shift,PHB2,Barbarian,6,
Instinctive Charge,PHB2,Barbarian,6,
Loss of Will,PHB2,Barbarian,6,
Primal Charge,PP,Barbarian,6,
Relentless Surge,PP,Barbarian,6,
Run Rampant,PP,Barbarian,6,
Snarling Defiance,PP,Barbarian,6,
Barbaric Instinct,PP,Barbarian,10,
Barbaric Offering,PP,Barbarian,10,
Deny Death,PHB2,Barbarian,10,
Enraged Surge,PP,Barbarian,10,
Heart Strike,PHB2,Barbarian,10,
Howl of the Alpha Wolf,PP,Barbarian,10,
Mountain Roots,PHB2,Barbarian,10,
Totemic Scarification,PP,Barbarian,10,
Wellspring of Renewal,PHB2,Barbarian,10,
Battle Lust,PP,Barbarian,16,
Bounding Advance,PP,Barbarian,16,
Fuel the Fire,PHB2,Barbarian,16,
Great Stomp,PHB2,Barbarian,16,
Primal Resistance,PHB2,Barbarian,16,
Rampant Malice,PP,Barbarian,16,
Rampant Reach,DRMZ,Barbarian,16,
Scent of Blood,PP,Barbarian,16,
Spur the Cycle,PHB2,Barbarian,16,
Strength of Enduring Pain,PP,Barbarian,16,
Bloodseeker's Pursuit,PP,Barbarian,22,
Brutal Payback,PP,Barbarian,22,
Emboldening Courage,PP,Barbarian,22,
Last Stand,PHB2,Barbarian,22,
Primal Instict,PHB2,Barbarian,22,
Primal Vigor,PHB2,Barbarian,22,
Raging Resurgence,PP,Barbarian,22,
Unexpected Clarity,PP,Barbarian,22,
Untouched,PHB2,Barbarian,22,
Beguiling Ballad,DRMZ,Bard,2,
Canon of Avoidance,AP,Bard,2,
Clockwork Precision,AP,Bard,2,
Concerted Effort,AP,Bard,2,
Hunter's Tune,PHB2,Bard,2,
Inspire Competence,PHB2,Bard,2,
Moment of Escape,AP,Bard,2,
Song of Courage,PHB2,Bard,2,
Song of Defense,PHB2,Bard,2,
Words of Protective Fate,AP,Bard,2,
Allegro,PHB2,Bard,6,
Chord of Resilience,AP,Bard,6,
Dramatic Shift,AP,Bard,6,
Echoing Steps,DRMZ,Bard,6,
Glimpse the Future,AP,Bard,6,
Ode to Sacrifice,PHB2,Bard,6,
Song of Conquest,PHB2,Bard,6,
Song of Speed,AP,Bard,6,
Synchronicity,AP,Bard,6,
Trickster's Healing,PHB2,Bard,6,
Break Enchantment,AP,Bard,10,
Chant of Accuracy,AP,Bard,10,
Idyll of Calm,AP,Bard,10,
Illuminating Stars,AP,Bard,10,
Illusory Erasure,PHB2,Bard,10,
Mantle of Unity,AP,Bard,10,
Perfect Pitch,DRMZ,Bard,10,
Savior's Song,AP,Bard,10,
Song of Recovery,PHB2,Bard,10,
Veil,PHB2,Bard,10,
Word of Life,PHB2,Bard,10,
Allied Rhythm,AP,Bard,16,
Blink Zone,PHB2,Bard,16,
Chorus of Recovery,PHB2,Bard,16,
Chorus of Vitality,AP,Bard,16,
Elegy of the Undefeated,PHB2,Bard,16,
Haste,AP,Bard,16,
Heroic Interjection,AP,Bard,16,
Musical Chairs,DRMZ,Bard,16,
Song of Sublime Snowfall,PHB2,Bard,16,
Song of the Soul Harvest,DRMZ,Bard,16,
Assured Recovery,AP,Bard,22,
Cherub's Song,DRMZ,Bard,22,
Climactic Chord,AP,Bard,22,
Elegy Unwritten,PHB2,Bard,22,
Invisible Troupe,PHB2,Bard,22,
Mirrored Entourage,PHB2,Bard,22,
Note of Aggression,AP,Bard,22,
Ode to the Daring,AP,Bard,22,
Song of Transition,PHB2,Bard,22,
Angelic Witnesses,DRMZ,Cleric,2,
Armor of Faith,DP,Cleric,2,
Bless,PHB,Cleric,2,
Cure Light Wounds,PHB,Cleric,2,
Divine Aid,PHB,Cleric,2,
Divine Skill,DP,Cleric,2,
Holy Vestments,DP,Cleric,2,
Life Transference,DP,Cleric,2,
Resurgent Strength,HFL,Cleric,2,
Return from Death's Door,DP,Cleric,2,
Sacrificial Aegis,DRMZ,Cleric,2,
Sanctuary,PHB,Cleric,2,
Shield of Faith,PHB,Cleric,2,
Bastion of Health,PHB,Cleric,6,
Blades of Holy Fire,DP,Cleric,6,
Cure Serious Wounds,PHB,Cleric,6,
Divine Favor,DP,Cleric,6,
Divine Vigor,PHB,Cleric,6,
Gift of Good Fortune,DRMZ,Cleric,6,
Holy Celerity,DP,Cleric,6,
Holy Lantern,PHB,Cleric,6,
Light of Revelation,HFL,Cleric,6,
Mark of Victory,HFL,Cleric,6,
Seized Destiny,DRMZ,Cleric,6,
Spirit of Healing,DP,Cleric,6,
Stream of Life,DP,Cleric,6,
Walk Among the Wounded,MS,Cleric,6,
Astral Refuge,PHB,Cleric,10,
Battle Surge,HFL,Cleric,10,
Godsight,DP,Cleric,10,
Healer's Balm,DP,Cleric,10,
Knights of Unyielding Valor,PHB,Cleric,10,
Mass Cure Light Wounds,PHB,Cleric,10,
Prophetic Protection,DRMZ,Cleric,10,
Radiant Armor,HFL,Cleric,10,
Recall Ally,DP,Cleric,10,
Reverent Mettle,DRMZ,Cleric,10,
Sacred Beneficience,DP,Cleric,10,
Shielding Word,PHB,Cleric,10,
Transcendent Advisor,DRMZ,Cleric,10,
Wall of Shields,HFL,Cleric,10,
Word of Vigor,DP,Cleric,10,
Air Walk,DP,Cleric,16,
Astral Shield,PHB,Cleric,16,
Chosen Servant,HFL,Cleric,16,
Cloak of Courage,DP,Cleric,16,
Cloak of Peace,PHB,Cleric,16,
Cure Critical Wounds,DP,Cleric,16,
Divine Armor,PHB,Cleric,16,
Eternal Barrier,DRMZ,Cleric,16,
Hallowed Ground,PHB,Cleric,16,
Healing Circle,MS,Cleric,16,
Radiant Beams,DP,Cleric,16,
Unexpected Return,DP,Cleric,16,
Adjure the Chosen,DP,Cleric,22,
Angel of the Eleven Winds,PHB,Cleric,22,
Clarion Call of the Astral Sea,PHB,Cleric,22,
Cloud Chariot,PHB,Cleric,22,
Death for Death,DRMZ,Cleric,22,
Heal,DP,Cleric,22,
Mass Cure Serious Wounds,DP,Cleric,22,
Prayer Made Real,DRMZ,Cleric,22,
Prophetic Fervor,DRMZ,Cleric,22,
Purify,PHB,Cleric,22,
Ramparts of Light,DP,Cleric,22,
Revive,DP,Cleric,22,
Sealing Death's Door,DRMZ,Cleric,22,
Spirit of Health,PHB,Cleric,22,
All-Encompassing Nature,DRMZ,Druid,2,
Barkskin,PHB2,Druid,2,
Bear's Strength,HFK,Druid,2,
Cat's Grace,HFK,Druid,2,
Elk's Fortitude,HFK,Druid,2,
Ferocious Transformation,PP,Druid,2,
Fleet Pursuit,PHB2,Druid,2,
Obscuring Mist,PHB2,Druid,2,
Resist Energy,PP,Druid,2,
Seed of Healing,HFK,Druid,2,
Skittering Sneak,PHB2,Druid,2,
Sudden Bite,PP,Druid,2,
Verdant Bounty,PP,Druid,2,
Warding Wind,PP,Druid,2,
Black Harbinger,PHB2,Druid,6,
Blood Frenzy Howl,DRMZ,Druid,6,
Camouflage Cloak,PHB2,Druid,6,
Chant of Sustenance,PHB2,Druid,6,
Creeping Vines,PP,Druid,6,
Eagle's Splendor,HFK,Druid,6,
Leaf Wall,HFK,Druid,6,
Owl's Wisdom,HFK,Druid,6,
Rebuking Thorns,PP,Druid,6,
Rodent's Agility,PP,Druid,6,
Serpent's Cunning,HFK,Druid,6,
Stalker's Eyes,PHB2,Druid,6,
Swarm Dispersal,PP,Druid,6,
Treetop Lurker,DRMZ,Druid,6,
Animal Clan,PP,Druid,10,
Animal Shapes,PP,Druid,10,
Armor of the Wild,PHB2,Druid,10,
Bountiful Vigor,HFK,Druid,10,
Cleansing Rain,PP,Druid,10,
Clear the Chaff,HFK,Druid,10,
Diving Fin,DRMZ,Druid,10,
Feywild Sojourn,PHB2,Druid,10,
Goodberry,PP,Druid,10,
Roots of Rescue,PHB2,Druid,10,
Swarm Swap,PP,Druid,10,
Winter Storm,PHB2,Druid,10,
Darting Viper,PP,Druid,16,
Dryad's Trees,PP,Druid,16,
Elusive Wind,PP,Druid,16,
Falcon's Flight,HFK,Druid,16,
Feral Recovery,PP,Druid,16,
Howl of the Wild,PHB2,Druid,16,
Insect Plague,PHB2,Druid,16,
Nature's Armor,HFK,Druid,16,
Phantom Beast,PP,Druid,16,
Primal Restoration,PHB2,Druid,16,
Wall of Stone,PHB2,Druid,16,
Elemental Passage,DRMZ,Druid,22,
Fey Circles,PP,Druid,22,
Phantom Beast,PHB2,Druid,22,
Primal Beast Apotheosis,DRMZ,Druid,22,
Protective Whirlwind,PP,Druid,22,
Sky Talon,PHB2,Druid,22,
Stonebones,PP,Druid,22,
Tortoise Shell,PP,Druid,22,
Touch of Renewal,HFK,Druid,22,
Tree of Life,PP,Druid,22,
Unseen Beast,PHB2,Druid,22,
Unyielding Roots,PHB2,Druid,22,
Battle Fury Stance,DRMZ,Fighter,2,
Battle Leader,HFL,Fighter,2,
Boundless Endurance,PHB,Fighter,2,
Close the Gap,MS,Fighter,2,
Create Opening,MP,Fighter,2,
Crowd Fighting,HFL,Fighter,2,
Defensive Stance,MP,Fighter,2,
Forceful Drag,MP2,Fighter,2,
Full Extension,MP2,Fighter,2,
Get Over Here,PHB,Fighter,2,
Glowering Threat,HFL,Fighter,2,
Mighty Leap,MP2,Fighter,2,
Minor Resurgence,HFL,Fighter,2,
No Opening,PHB,Fighter,2,
Pass Forward,MP,Fighter,2,
Push Forward,HFL,Fighter,2,
Quick Escape,MP2,Fighter,2,
Shielded Sides,MP,Fighter,2,
Shielding Shove,DRMZ,Fighter,2,
Shrewd Repositioning,MP,Fighter,2,
Sidestep Maneuver,DSCS,Fighter,2,
Single Out,HFL,Fighter,2,
Snagging Grip,MP2,Fighter,2,
Sudeen Sprint,HFL,Fighter,2,
Who's Next,DRMZ,Fighter,2,
Unstoppable,PHB,Fighter,2,
Agile Approach,MP,Fighter,6,
Battle Awareness,PHB,Fighter,6,
Bodyguard's Stance,DRMZ,Fighter,6,
Daring Shot,MS,Fighter,6,
Dauntless Endurance,HFL,Fighter,6,
Defensive Training,PHB,Fighter,6,
Get Up!,HFL,Fighter,6,
Helping Hands,HFL,Fighter,6,
Ignore Weakness,HFL,Fighter,6,
Intimidating Reminder,DRMZ,Fighter,6,
Kirre's Roar,DSCS,Fighter,6,
Knight's Challenge,HFL,Fighter,6,
Line Breaker,HFL,Fighter,6,
Line in the Sand,DRMZ,Fighter,6,
Makeshift Shield,MP2,Fighter,6,
Rapid Advance,HFL,Fighter,6,
Ready to Retaliate,MP2,Fighter,6,
Rejoin the Fray,MP2,Fighter,6,
Rock Steady,MP,Fighter,6,
Settling the Score,MP,Fighter,6,
Strong Focus,MP,Fighter,6,
Unbalancing Dodge,MP2,Fighter,6,
Unbreakable,PHB,Fighter,6,
Veteran Gambit,HFL,Fighter,6,
Vigilant Protector,MP,Fighter,6,
Another Day,DSCS,Fighter,10,
Battlefield Healing,HFL,Fighter,10,
Body Shield,MP2,Fighter,10,
Clearheaded,HFL,Fighter,10,
Defensive Advance,HFL,Fighter,10,
