Magic Armor,Level,Bonus,Book,Any,Cloth,Leather,Hide,Chain,Scale,Plate,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,
Armor of Starlight,13,3,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Armor of Sudden Recovery,3,1,AV2,,1,1,,,,,,,,,,,,,,,,,,,,,,
Armor of Transport,10,2,PHB3,,,,,1,1,,,,,,,,,,,,,,,,,,,
Assassinbane,15,3,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Astral Fire,2,1,PHB2,,,,,1,,,,,,,,,,,,,,,,,,,,
Awakening,2,1,PHB3,,,,1,1,,,,,,,,,,,,,,,,,,,,
Barkskin,5,1,PHB,,,,1,,1,,,,,,,,,,,,,,,,,,,
Bastion,7,2,AV2,,,,,,1,1,,,,,,,,,,,,,,,,,,
Battle Harness,4,1,DRMZ,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Battleforged,5,1,PHB,,,,,,,1,,,,,,,,,,,,,,,,,,
Bear Spirit,4,1,PHB2,,,1,,,,,,,,,,,,,,,,,,,,,,
Beastlord,8,2,AV,,,1,1,,,,,,,,,,,,,,,,,,,,,
Benefactor,9,2,DRMZ,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Bestial,3,1,AV,,,1,1,,,,,,,,,,,,,,,,,,,,,
Blackflock Robe,12,3,AV2,,1,,,,,,,,,,,,,,,,,,,,,,,
Black Iron,4,1,PHB,,,,,,1,1,,,,,,,,,,,,,,,,,,
Blink Shirt,8,2,PsP,,1,,,,,,,,,,,,,,,,,,,,,,,
Bloodcut,4,1,PHB,,,1,1,,,,,,,,,,,,,,,,,,,,,
Bloodfire,13,3,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Bloodiron,8,2,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Bloodtheft,19,4,AV,,,1,,,,,,,,,,,,,,,,,,,,,,
Bloodthread,5,1,PHB,,1,,,,,,,,,,,,,,,,,,,,,,,
Bloodvine,15,3,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Bold Victor,4,1,PHB2,,,1,,1,,,,,,,,,,,,,,,,,,,,
Bolstering,25,5,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Bonegrim,14,3,AV,,,,,,,1,,,,,,,,,,,2,,,,,,,
Breaching,3,1,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Briartwine,8,2,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Champion's,9,2,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Champion's Hauberk,13,3,AV2,,,,,1,1,,,,,,,,,,,,,,,,,,,
Chaos Weave,14,3,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Coral,13,3,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Coruscating,2,1,AV2,,,,,,1,1,,,,,,,,,,,,,,,,,,
Counterstrike,10,2,AV2,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Crystal,4,1,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Crystalline Breastplate,15,3,AV2,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Curseforged,3,1,PHB,,,,,1,1,,,,,,,,,,,,,,,,,,,
Darkforged,12,3,PHB,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Darkstrike,12,3,AV2,,,1,1,,,,,,,,,,,,,,,,,,,,,
Darkleaf,4,1,PHB,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Dazzling,4,1,AV2,,,,,,,1,,,,,,,,,,,,,,,,,,
Deathcut,5,1,PHB,,,1,1,,,,,,,,,,,,,,,,,,,,,
Death's Brink,7,2,AV2,,,,,,1,1,,,,,,,,,,,,,,,,,,
Defensive,3,1,PHB3,1,,,,,,,,,,,,,,,,,,,,,,,,
Deflection,22,5,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Delver's,3,1,PHB,1,,,,,,,,,,,,,,,,,,,,,,,,
Demonscale,9,2,AV2,,,,,,1,,,,,,,,,,,,,,,,,,,
Demonwrought,23,5,MOTP,,,,,,,1,,,,,,,,,,,,,,,,,,
Desperate Resolve,13,3,PHB2,,1,,,,,,,,,,,,,,,,,,,,,,,
Displacer,14,3,AV,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Divine Retribution,3,1,PHB2,,,,,1,,,,,,,,,,,,,,,,,,,,
Dragonclaw,4,1,DRMZ,,,1,1,,,,,,,,,,,,,,,,,,,,,
Dragonrider,11,3,DRMZ,,,,,,1,,,,,,,,,,,,,,,,,,,
"Dragonscale, Black",18,4,AV,,,,,,1,,,,,,,,,,,,,,,,,,,
"Dragonscale, Blue",19,4,AV,,,,,,1,,,,,,,,,,,,,,,,,,,
"Dragonscale, Green",19,4,AV,,,,,,1,,,,,,,,,,,,,,,,,,,
"Dragonscale, Red",20,4,AV,,,,,,1,,,,,,,,,,,,,,,,,,,
"Dragonscale, White",18,4,AV,,,,,,1,,,,,,,,,,,,,,,,,,,
Driftmetal,18,4,MOTP,,,,,1,1,,,,,,,,,,,,,,,,,,,
Dwarven,2,1,PHB,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Ectoplasmic,4,1,PHB3,,,1,1,,,,,,,,,,,,,,,,,,,,,
Eladrin,3,1,PHB,,,,,1,,,,,,,,,,,,,,,,,,,,
Eldritch Serpent,4,1,DRMZ,,,,,,1,,,,,,,,,,,,,,,,,,,
Elukian,13,3,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Elusive,2,1,PHB3,,1,1,,,,,,,,,,,,,,,,,,,,,,
Elven battle,8,2,PHB,,,1,1,,,,,,,,,,,,,,,,,,,,,
Empyreal Breastplate,19,4,DRMZ,,,,,,,1,,,,,,,,,,,,,,,,,,
Enduring Beast,5,1,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Enduring Spirit,2,1,PHB2,,1,,,,,,,,,,,,,,,,,,,,,,,
Exalted,5,1,PHB,,,,,1,,,,,,,,,,,,,,,,,,,,
Feedback,4,1,PHB3,,1,1,,,,,,,,,,,,,,,,,,,,,,
Feral,7,2,DRMZ,,,,1,,,,,,,,,,,,,,,,,,,,,
Feymind,14,3,AV,,1,1,,,,,,,,,,,,,,,,,,,,,,
Feytouched,12,3,MOTP,,,1,1,,,,,,,,,,,,,,,,,,,,,
Fireburst,3,1,PHB,,1,,,,,,,,,,,,,,,,,,,,,,,
Flamedrinker,14,3,PHB,,,,,,,1,,,,,,,,,,,,,,,,,,
Flickersight,12,3,AV,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Flowform,4,1,PHB3,,1,1,,,,,,,,,,,,,,,,,,,,,,
Formidible,14,3,AV2,,,,1,1,,,,,,,,,,,,,,,,,,,,
Fortification,4,1,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Fortified,9,2,DRMZ,,,,,,,1,,,,,,,,,,,,,,,,,,
Frostburn,14,3,AV,,,,,,,1,,,,,,,,,,,,,,,,,,
Frozen,4,1,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Gallant,27,6,AV2,,,,,,,1,,,,,,,,,,,,,,,,,,
Gambit,13,3,AV2,,1,1,,,,,,,,,,,,,,,,,,,,,,
Gambler's Suit,6,2,AV2,,,1,,,,,,,,,,,,,,,,,,,,,,
Genasi Soul,4,1,AV2,,,1,1,,,,,,,,,,,,,,,,,,,,,
Ghostphase,9,2,PHB,,1,,,,,,,,,,,,,,,,,,,,,,,
Giantdodger,13,3,AV,,,1,,,,,,,,,,,,,,,,,,,,,,
Gleaming,2,1,PHB3,,,,,1,1,,,,,,,,,,,,,,,,,,,
Great Cat,4,1,AV2,,,,1,,,,,,,,,,,,,,,,,,,,,
Guardian's,15,3,PsP,,,,,,1,1,,,,,,,,,,,,,,,,,,
Healer's,5,1,AV2,,,,1,1,,,,,,,,,,,,,,,,,,,,
Heartening,3,1,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Hero's,2,1,AV2,,,,,1,,,,,,,,,,,,,,,,,,,,
Holy Adversary's,3,1,AV2,,1,,,,,,,,,,,,,,,,,,,,,,,
Holy Radiance,15,3,AV2,,,,,1,,,,,,,,,,,,,,,,,,,,
Horn Tusk,2,1,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Hunting Beast,2,1,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Hydra,13,3,PHB,,,,,,1,,,,,,,,,,,,,,,,,,,
Illithid Robes,15,3,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Immolating,7,2,DRMZ,,,,,1,1,,,,,,,,,,,,,,,,,,,
Immunizing,2,1,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Imposter's,6,2,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Indomitable Resolve,2,1,PHB2,,1,,,,,,,,,,,,,,,,,,,,,,,
Inner Warmth,9,2,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Ironclad,3,1,PHB3,,,,,,1,1,,,,,,,,,,,,,,,,,,
Irrefutable,7,2,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Joyous,4,1,PHB3,,,,,1,1,,,,,,,,,,,,,,,,,,,
Kemstone,8,2,AV2,,,,,,1,1,,,,,,,,,,,,,,,,,,
Laughing Death,9,2,AV,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Legendmaker,14,3,PHB2,,,1,,1,,,,,,,,,,,,,,,,,,,,
Life Vine,3,1,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Lifeblood,10,2,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Lifefont,4,1,AV2,,,,1,,,,,,,,,,,,,,,,,,,,,
Lifegiving,3,1,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Loamweave,9,2,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Luring Withdrawal,2,1,PHB2,,,1,,1,,,,,,,,,,,,,,,,,,,,
Magnetic,9,2,AV2,,,,,,1,1,,,,,,,,,,,,,,,,,,
Marauder's,7,2,AV2,,,1,1,,,,,,,,,,,,,,,,,,,,,
Mantle of the 7th Wind,23,5,PHB,,1,,,,,,,,,,,,,,,,,,,,,,,
Martyr's,2,1,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Meliorating,3,1,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Mind,23,5,AV2,,,,,,1,1,,,,,,,,,,,,,,,,,,
Mind Hunter's,2,1,PsP,,,,,,1,1,,,,,,,,,,,,,,,,,,
Mirrored,13,3,AV2,,,,,,,1,,,,,,,,,,,,,,,,,,
Mirrorsheen,9,2,AV,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Mithral,4,1,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Mithral Plating,2,1,EPG,,,,,,,1,,,,,,,,,,,,,,,,,,
Moon,3,1,AV2,,,,,1,,,,,,,,,,,,,,,,,,,,
Mooncloth Robes,17,4,AV2,,1,,,,,,,,,,,,,,,,,,,,,,,
Mountain,8,2,PHB,,,,,,,1,,,,,,,,,,,,,,,,,,
Nightmare Ward,3,1,AV2,,,1,1,,,,,,,,,,,,,,,,,,,,,
Panther Spirit,5,1,PHB2,,,1,,,,,,,,,,,,,,,,,,,,,,
Parchment,4,1,AV2,,1,1,,,,,,,,,,,,,,,,,,,,,,
Pelaurum,4,1,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Penance,15,3,PHB2,,,,,1,,,,,,,,,,,,,,,,,,,,
Perpetual Resolve,20,4,PHB2,,1,,,,,,,,,,,,,,,,,,,,,,,
Phrenic,4,1,PsP,,,,,1,1,,,,,,,,,,,,,,,,,,,
Piecemeal,5,1,DRMZ,,,,,1,1,,,,,,,,,,,,,,,,,,,
Pouncing,4,1,DRMZ,,,1,1,,,,,,,,,,,,,,,,,,,,,
Pouncing Beast,4,1,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Predator,3,1,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Predator's Hide,3,1,AV2,,,,1,,,,,,,,,,,,,,,,,,,,,
Prismatic Robe,19,4,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Quicksilver,5,1,PHB3,,,,,1,,,,,,,,,,,,,,,,,,,,
Radiant Temple Uniform,7,2,AV2,,1,,,,,,,,,,,,,,,,,,,,,,,
Rageblood,13,3,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Rat Form,8,2,AV,,,1,,,,,,,,,,,,,,,,,,,,,,
Rat Killer's Coat,2,1,AV2,,1,1,,,,,,,,,,,,,,,,,,,,,,
Razor,2,1,PHB,,,,,,1,,,,,,,,,,,,,,,,,,,
Rebuking,4,1,PHB2,,,,,1,,,,,,,,,,,,,,,,,,,,
Reflexive,9,2,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Reinforcing,4,1,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Repulsion,2,1,AV,,1,1,,,,,,,,,,,,,,,,,,,,,,
Resolute,8,2,DRMZ,,,,,,,1,,,,,,,,,,,,,,,,,,
Righteous,9,2,AV,,,,,,,1,,,,,,,,,,,,,,,,,,
Rimewrought,12,3,DRMZ,,,,,,1,1,,,,,,,,,,,,,,,,,,
Robe of Avoidance,3,1,AV2,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of Bloodwalking,17,4,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of Contingency,4,1,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of Defying Flames,13,3,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of Defying Frost,13,3,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of Defying Storms,14,3,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of Eyes,2,1,AV,,1,,,,,,,,,,,,,,,,,,0,,,,,
Robe of Forbearance,24,5,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of Quills,3,1,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of Sapping,17,4,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of Scintillation,2,1,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of Stars,13,3,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Robe of the Archfiend,20,4,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Roc,18,4,PHB2,,,,1,,,,,,,,,,,,,,,,,,,,,
Runic,3,1,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,
Salubrious,4,1,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Sanguine Vestments,3,1,AV2,,1,,,,,,,,,,,,,,,,,,,,,,,
Savage,2,1,DRMZ,,,,,,1,1,,,,,,,,,,,,,,,,,,
Scale of the Serpent,4,1,AV2,,,,,,,,,,,,,,,,,,,,,,,,,
Scintillating,8,2,MOTP,,1,,,,,,,,,,,,,,,,,,,,,,,
Scorpion Carapace,4,1,DSCS,,,,,,1,1,,,,,,,,,,,,,,,,,,
Screaming,2,1,AV,,,,1,,1,1,,,,,,,,,,,0,,,,,,,
Serpentskin,3,1,AV,,,1,1,,,,,,,,,,,,,,,,,,,,,
Serpentine,4,1,AV2,,,,,,,1,,,,,,,,,,,,,,,,,,
Shadowflow,13,3,PHB,,1,1,,,,,,,,,,,,,,,,,,,0,,,
Shadow Hound,7,2,AV2,,,,1,,,,,,,,,,,,,,,,,,,,,
Shadow Hunter,2,1,AV2,,,,1,,,,,,,,,,,,,,,,,,,,,
Shadow Warlock,10,2,AV2,,,1,,,,,,,,,,,,,,,,,,,,,,
Shadow-Shroud,5,1,DRMZ,,,,,1,1,,,,,,,,,,,,,,,,,,,
Shaper's,3,1,PsP,,1,1,,,,,,,,,,,,,,,,,,,,,,
Shared Suffering,5,1,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Shared Valor,8,2,PHB2,,,1,,1,,,,,,,,,,,,,,,,,,,,
Shipboard,7,2,AV2,,,1,,,,,,,,,,,,,,,,,,,,,,
Shimmering,4,1,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Shocking,27,6,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Shockweave,5,1,AV2,,1,1,,,,,,,,,,,,,,,,,,,,,,
Skald's,3,1,PHB2,,,1,,1,,,,,,2,2,,,,,,,,,,,,,
Skeletal,19,4,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Skin of Agonies,13,3,AV,,,1,1,,,,,,,,,,,,,,,,,,,,,
Skybound,5,1,AV,,1,1,,,,,,,,,,,,,,,,,,,,,,
Slick,2,1,AV,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Slime,8,2,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Snakefang,8,2,AV,,,1,1,,,,,,,,,,,,,,,,,,,,,
Snaketongue Robe,13,3,AV2,,1,,,,,,,,,,,,,,,,,,,,,,,
Snake's Lair,7,2,DRMZ,,,1,1,,,,,,,,,,,,,,,,,,,,,
Solar,9,2,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Soulforged,19,4,PHB,,,,,,,1,,,,,,,,,,,,,,,,,,
Soulwarding,24,5,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Spectral Plate,20,4,AV2,,,,,,,1,,,,,,,,,,,,,,,,,,
Spiderweb Robes,8,2,AV2,,1,,,,,,,,,,,,,,,,,,,,,,,
Spiked Jacket,3,1,AV2,,,1,1,,,,,,,,,,,,,,,,,,,,,
Spirit,14,3,AV2,,,,,1,,,,,,,,,,,,,,,,,,,,
Spirit Shield,13,3,PHB2,,,1,,,,,,,,,,,,,,,,,,,,,,
Spiritlink,15,3,AV,,,,,1,,,,,,,,,,,,,,,,,,,,
Stalker's,18,4,AV,,,1,1,,,,,,,,,,,,,,,,,,,,,
Stanching,3,1,DRMZ,,1,1,,,,,,,,,,,,,,,,,,,,,,
Stoneborn,3,1,AV,,,,,,,1,,,,,,,,,,,,,,,,,,
Stonemeld,8,2,DRMZ,,1,1,,,,,,,,,,,,,,,,,,,,,,
Stoneskin,3,1,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
Stormlord,15,3,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Sudden Escape,28,6,PHB2,,,,,1,,,,,,,,,,,,,,,,,,,,
Summoned,6,2,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Sunleaf,7,2,PHB,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Supporting,5,1,AV2,,,,,,1,1,,,,,,,,,,,,,,,,,,
Surge,13,3,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Survivor's,9,2,AV,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Sylvan,3,1,PHB,,1,1,1,,,,,,0,,,,,,,,,,,,0,,,
Tactician's,5,1,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Teleporting,12,3,AV2,,,,,,1,1,,,,,,,,,,,,,,,,,,
Temporal,20,4,PHB3,,1,,,,,,,,,,,,,,,,,,,,,,,
Thought-Eater,3,1,PHB3,,,1,1,,,,,,,,,,,,,,,,,,2,,,
Thunderhead,9,2,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Time Link,4,1,AV2,,,,,1,,,,,,,,,,,,,,,,,,,,
Tinkersuit,23,5,AV2,,,1,,,,,,,,,,,,,,,,,,,,,,
Tombforged,14,3,PHB,,,,,1,,,,,,,,,,,,,,,,,,,,
Translocation,14,3,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,
Trollskin,15,3,PHB,,,,1,,1,,,,,,,,,,,,,,,,,,,
Vaporform,19,4,AV,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Versatile,3,1,AV,,,,,1,,1,,,,,,,,,,,,,,,,,,
Verve,4,1,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Veteran's,2,1,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Vigorous Resolve,2,1,PHB2,,1,,,,,,,,,,,,,,,,,,,,,,,
Vitality,7,2,DRMZ,,,,,,1,1,,,,,,,,,,,,,,,,,,
Voidcrystal,14,3,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Wall,3,1,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,
Warding Light,13,3,PHB2,,,,,1,,,,,,,,,,,,,,,,,,,,
Warding Spirit,2,1,PHB2,,,1,,,,,,,,,,,,,,,,,,,,,,
Warmage's Uniform,3,1,AV2,,1,1,,,,,,,,,,,,,,,,,,,,,,
Warsheath,10,2,AV,,,,,,,1,,,,,,,,,,,,,,,,,,
Whiteflame,3,1,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Wildleaf,17,4,AV,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Winged,13,3,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,
Zealot's,15,3,AV,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
