Magic Weapon,Level,Book,Bonus,Any,Melee,Ranged,Thrown,Axe,Bow,Crossbow,Flail,Hammer,Heavy blade,Light blade,Mace,Pick,Polearm,Sling,Spear,Staff,Hand crossbow,Dagger,Greatsword,Longsword,Sickle,Spiked gauntlet,Scourge,Triple-Headed Flail,Whip
Dragontooth,14,AV2,3,,,,,,,,,,1,,,,,,,,,,,,,,,,
Dread,8,AV,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Dreamstone,12,DUMZ,3,,,,,,,,,1,,,,,,,,,,,,,,,,,
Duelist's Blade,3,PHB,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
Duelist's Bow,2,AV2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Dwarven Thrower,2,DRMZ,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,
Dynamic,6,AV,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Eager,3,PsP,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,
Earthbreaker,8,AV,2,,,,,1,,,1,1,,,1,1,,1,,,,,,,,,,,
Earth-Wrought,1,AV2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
Echoing Songblade,4,AV2,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Elementalbane,9,MOTP,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Twist,10,PHB2,2,,,,,,,,,,,,,,,,,,,1,,,,,,,
Elukian Clay,12,AV,3,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Entrapping,2,AV2,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Exsiccating,4,DSCS,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Farbond Spellblade,2,AV2,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Farslayer,13,AV,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
Feyslaughter,9,AV,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Fey Strike,5,DRMZ,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Final Word,5,DRMZ,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,
Flameburst,3,PHB,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Flaming,5,PHB,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Flanking,8,AV,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Flensing,5,DRMZ,1,,,,,,,,,,1,1,,,,,1,,,,,,,,,,
Flesh Grinder,3,AV2,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,
Flesh Seeker,2,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Foe Maker,3,DRMZ,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Foe-Seeking,3,DRMZ,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Footpad's Friend,10,AV,2,,,,,,,,,,,1,,,,,,,,,,,,,,,
Forbidding,14,AV,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Force,8,AV,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Forceful,16,AV,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
Forester's,2,DRMZ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Frightful,2,PHRD,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Frost,3,PHB,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Frost Fury Waraxe,3,AV2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Gambler's,2,AV,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
General's,13,AV2,3,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ghost Chain,25,AV,5,,,1,,,,,,,,,,,,,,,,,,,,,,,
Ghost Dance,3,DRMZ,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Githyanki Silver,9,MOTP,2,,,,,,,,,,1,,,,,,,,,,,,,,,,
Goblin Totem,7,DRMZ,2,,,,,,,,,,,,,,,,,,,1,,,,,,,
Graceful,8,AV,2,,,,,,,,1,,1,1,,,,,1,,,,,,,,,,
Grasping,6,AV,2,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Great Hunger,3,AV2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Guardian's Brand,3,AV2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Guardian's Call,2,AV2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Guarding,10,PHB3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Gutting,2,PHRD,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
Harmonic Songblade,2,AV2,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Harmony,4,AV2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
Harsh Songblade,3,PHB2,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Healing,14,AV,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
Hellthorn,10,DUMZ,2,,,,,,,,1,,1,,,,,,1,1,,,,,,,,,
Hestavar Dueling Blade,18,DRMZ,4,,,,,,,,,,,1,,,,,,,,,,,,,,,
Hidden,3,DSCS,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Hideous,8,AV2,2,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
Holy Avenger,25,PHB,5,,,,,1,,,,1,1,,,,,,,,,,,,,,,,
Holy Healer's,2,AV,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,
Homing,7,DRMZ,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Howling Songbow,1,DRMZ,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Hungry,2,AV2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
Impaler's ,4,AV2,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
Impaling,18,AV,4,,,1,,,,,,,,,,,,,,,,,,,,,,,
Impaling,4,DRMZ,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,
Incisive,9,AV2,2,,,,,,,,,,,,,,,,,,,1,,,,,,,
Inertial,3,PHB3,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
Inescapable,3,AV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Inevitable,12,DRMZ,3,,,,,,1,,,,,,,,,,,,,,,,,,,,
Infectious Flame,3,PHRT,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Infighting,7,AV2,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,
Inspiring,3,AV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Intensifying,4,AV2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ironscar Rod,3,PHRT,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
Jagged,12,AV,3,,,,,1,,,,,1,1,,,,,,,,,,,,,,,
Jarring,20,AV,4,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
Jolting Guard,8,DSCS,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Kamesti,9,AV2,2,,,,,,,1,,,,,,,,,,,,,,,,,,,
Ki,3,PHB3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Knockback,4,PHRD,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Kordium,9,DRMZ,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Learning,5,DRMZ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Legendary,25,AV,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lifebane,15,DRMZ,3,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,
Lifedrinker,5,PHB,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Lightning,5,PHB,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Strike,10,DRMZ,2,,,,,,1,,,,,,,,,,,,,,,,,,,,
Lilting Songblade,20,PHB2,4,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Lion's Heart,17,AV2,4,,,,,,,,,1,,,,,,,,,,,,,,,,,
Longsword of Summer,15,DUMZ,3,,,,,,,,,,1,,,,,,,,,,,,,,,,
Luckblade,3,AV,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Lucklender,20,AV,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Halfling's,9,DRMZ,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lullaby,4,AV,1,,,,,,,,1,1,,,1,,,,,1,,,,,,,,,
Mace of Healing,8,AV,2,,,,,,,,,,,,1,,,,,,,,,,,,,,
Mage's,2,AV,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Magma,4,DUMZ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
Manifester,2,PHB3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Master's,4,AV2,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Mauling,8,AV,2,,,,,,,,,1,1,,1,,,,,,,,,,,,,,
Maw of the Guardian,4,AV2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Medic's,4,AV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Melgaunt's Darkblade,12,DUMZ,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Mindiron,14,AV,3,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Mindcrusher,5,PHB3,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Mind-Rending,13,DRMZ,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Mithrendain Steel,8,DRMZ,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Moonbow,13,DRMZ,3,,,,,,1,,,,,,,,,,,,,,,,,,,,
Moonclaw,9,DUMZ,2,,,,,,,,,,,,,,,,,,,,,1,,,,,
Moradin's,19,AV,4,,,,,,,,,1,,,,,,,,,,,,,,,,,
Necroshard,5,DUMZ,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Necrotic,13,AV,3,,,,,1,,,,,1,1,,,,,,,,,,,,,,,
Nightstalker's Poniard,14,DUMZ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Oathblade,4,AV,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
of Arcane Bonds,4,AV2,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
of Cruel Persuasion,14,AV2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
of Evil Undone,10,AV2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
of Great Opportunity,5,AV2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
of Myrdroon's Shard,4,DRMZ,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
of Shared Wrath,2,PHB3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
of Sundering,2,DRMZ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
of the Conqueror,15,PHRD,3,,,,,1,,,,,1,,,,,,,,,,,,,,,,
of the Eldritch Knight,15,AV2,3,,,,,,,,,,1,,,,,,,,,,,,,,,,
of the Skylord,11,DRMZ,3,,,,,,,,,,,,,,,,1,,,,,,,,,,
of the Stalking Predator,14,DRMZ,3,,,,,,,,,,,,,,,,,,,,,,1,,,,
of True Arrows,5,DRMZ,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
of Vengeance,8,AV2,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,
of Victory,4,DRMZ,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
of Winds,3,DRMZ,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
Opportunistic,4,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Overreaching,25,AV,5,,,,,,,,,,,,,,1,,,,,,,,,,,,
Pact Blade,3,PHB,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
Pact Bow,2,DRMZ,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Pact Hammer,2,AV,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
Pact Sword,2,AV,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
Paired,3,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Paralyzing,13,AV,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
Parrying,2,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Perfect Hunter's,30,PHB,6,,,1,,,,,,,,,,,,,,,,,,,,,,,
Performer's,8,DRMZ,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Phasing,14,PHB,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
Piercing,7,AV,2,,,,,,,,,,,,,,,,1,,,,,,,,,,
Piercing Songblade,13,PHB2,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Pinning,2,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Planesplitter,19,MOTP,4,,,,,1,,,,,1,,,,,,,,,,,,,,,,
Point Blank,3,AV,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Poisoned,5,AV,1,,,,,,1,1,,,,1,,1,,,1,,,,,,,,,,
Predatory,13,AV,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Prime Shot,2,AV,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Psychokinetic,2,PHB3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Quenchquiver,7,DRMZ,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Quick,3,AV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Quicksilver,2,AV2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
Radiant,15,AV,3,1,,,,,,,,,1,,,,,,,,,,,,,,,,
Raider's,5,DRMZ,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Ravenclaw Warblade,8,AV2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Razortail,12,DRMZ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper's,15,AV2,3,,,,,1,,,,,,,,,,,,,,,,,,,,,
Rebounding,2,AV2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Reckless,3,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Relentless,2,DRMZ,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
Rending,4,AV,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Reproachful,2,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Resounding,2,PHB,1,,,,,,,,1,1,,,1,,,1,,1,,,,,,,,,
Retribution,7,AV,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Retributive,4,PHB3,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,
Rhythm,3,AV2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
Ricochet,11,AV,3,,,,,,,,,,,,,,,1,,,,,,,,,,,
Righteous,10,AV,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Rousing,5,AV2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
Rovikar's,8,AV2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Rubicant,8,DRMZ,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Runic,5,AV2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sacrificial,6,AV,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Sandstorm,8,DSCS,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Savage,13,DRMZ,3,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
Scalebane,3,AV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion Tail,13,AV2,3,,,,,,,,,,,1,,,,,,,,,,,,,,,
Scout's,8,DRMZ,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Screaming,4,AV2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Severing,8,PsP,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,
Serpent's Kiss,18,AV2,4,,,,,,1,,,,,,,,,,,,,,,,,,,,
Shadowrift,12,AV2,3,,,,,,,,,,,1,,,,,,,,,,,,,,,
Shadowstrike,13,MOTP,3,,,,,,,,,,,1,,,,,1,,,,,,,,,,
Shadow Spike,22,AV,5,,,,,,,,,,,1,,,,,,,,,,,,,,,
Shapechanger's Sorrow,9,AV,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Shepherd's Arms,13,AV2,3,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Shielding,4,DRMZ,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Shoulderbow,9,DRMZ,2,,,,,,,,,,,,,,,,,,1,,,,,,,,
Shrieking Songbow,13,AV2,3,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Singing,9,DRMZ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Skewering,3,AV,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,
Skinsplitter,5,DRMZ,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Skyrender,9,AV,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
Sniper's,13,AV,3,,,,,,,1,,,,,,,,,,,,,,,,,,,
Songbow of Lullabies,9,AV2,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Songbow of Summoning,15,AV2,3,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Songbow of Vanishment,3,AV2,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Soul Drinker,14,AV2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
Space-Bending,19,AV2,4,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Spiderkissed,7,DRMZ,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Splitting,7,AV,2,,,,,,,,1,,,,,,,,,,,,,,,,,,
Staggering,2,AV,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,
Stormbiter Warblade,4,AV2,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Stormbolt,14,AV,3,,,,,,,,,1,,,,,,,1,,,,,,,,,,
Stout,8,AV,2,,,,,1,,,,1,,,1,1,,,,1,,,,,,,,,
Strongheart,3,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Subtle,3,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Sunblade,4,AV,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
Suppression,4,PHB3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Supreme Skirmisher's,10,AV2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,
Supremely Vicious,2,AV2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftshot,3,AV,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Sword of Black Ice,27,DUMZ,6,,,,,,,,,,,,,,,,,,,,,1,,,,,
Sword of Melancholy,14,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Targeting,3,AV2,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Temblor,4,DRMZ,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Tenacious,19,AV,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
Terror,4,PHB,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,
Thane Blood,5,AV2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Thieving,5,AV,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
Thoughtspike,5,PHB3,1,,,,,,,,,,1,1,,,,,1,,,,,,,,,,
Thoughtstealer,9,AV,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
Thunderbolt,13,AV,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
Thunderburst,4,PHB,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Thundering,3,PHB,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Tigerclaw Gauntlets,8,AV,2,,,,,,,,,,,,,,,,,,,,,,,1,,,
Tooth of Chaos,4,PHB2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
Totemic Spear,2,AV2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
Totemic Warclub,2,AV2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
Transference,7,AV,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Transposing,14,AV,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Tresspasser's Bane,25,AV,5,,1,,,,,,,,,,,,,,,,,,,,,,,,
Tuning Songblade,4,DRMZ,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Tyrant's,8,AV,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Unbroken Lance,12,AV2,3,,,,,,,,,,,,,,,,1,,,,,,,,,,
Unforgettable Cudgel,8,AV2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,
Unraveling,4,PHB3,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,
Vampiric,9,AV,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Vanguard,3,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Venemous Songblade,3,DRMZ,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Venemous Songbow,3,DRMZ,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Vengeful,5,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Verdant Silence,7,DRMZ,2,,,,,,,,,,1,,,,,,,,,,,,,,,,
