Power Name,Book,Class,Level,Versus,WepMult,Dice,WepMult21,DamType1,DamType2,Extra,Melee,,,,
Karmic Bond,PsP,Ardent,1,AC,1,w,1,,,,TRUE,,,,
Part the Fog,PsP,Ardent,1,AC,1,w,1,,,,TRUE,,,,
Psionic Shield,PHB3,Ardent,1,AC,1,w,1,,,,TRUE,,,,
Wave of Fatigue,PsP,Ardent,1,AC,1,w,1,,,,TRUE,,,,
Cloud Mind,PsP,Ardent,3,AC,1,w,1,,,,TRUE,,,,
Distracting Strike,PHB3,Ardent,3,AC,1,w,1,,,,TRUE,,,,
Guarded Prison,PsP,Ardent,3,AC,1,w,1,,,,TRUE,,,,
Impatient Strike,PHB3,Ardent,3,AC,1,w,1,,,,TRUE,,,,
Prescient Strike,PHB3,Ardent,3,AC,1,w,1,,,,TRUE,,,,
Unnerving Strike,PHB3,Ardent,3,FORT,1,w,1,,,,TRUE,,,,
Unsteadying Rebuke,PsP,Ardent,3,AC,1,w,1,,,,TRUE,,,,
Withered Technique,PsP,Ardent,3,AC,1,w,1,,,,TRUE,,,,
Accelerated Maneuvers,PsP,Ardent,7,AC,1,w,1,,,,TRUE,,,,
Clarifying Impacy,DRMZ,Ardent,7,AC,1,w,1,,,,TRUE,,,,
Courageous Strike,PHB3,Ardent,7,AC,1,w,1,,,,TRUE,,,,
Fatal Attraction,PsP,Ardent,7,AC,1,w,1,,,,TRUE,,,,
Forward-Thinking Cut,PHB3,Ardent,7,AC,1,w,1,,,,TRUE,,,,
Mindlink Strike,PHB3,Ardent,7,AC,0,w,0,,,Ally attack,FALSE,,,,
Rewarding Strike,PHB3,Ardent,7,AC,1,w,1,,,,TRUE,,,,
Stolen Strength,PsP,Ardent,7,AC,1,w,1,,,,TRUE,,,,
Trailblazing Assault,PsP,Ardent,7,AC,1,w,1,,,,TRUE,,,,
Unhinging Strike,PHB3,Ardent,7,WILL,0,w,0,Psychic,,,TRUE,,,,
Conflicted Emotions,PsP,Ardent,13,AC,1,w,1,Psychic,,,TRUE,,,,
Confusing Strike,PHB3,Ardent,13,AC,1,w,1,,,,TRUE,,,,
Essence Conduit,PsP,Ardent,13,AC,1,w,1,,,,TRUE,,,,
Field of Alacrity,PHB3,Ardent,13,AC,1,w,1,,,,TRUE,,,,
Hope's Audacity,PHB3,Ardent,13,AC,1,w,1,,,,TRUE,,,,
Invert Defeat,PsP,Ardent,13,AC,1,w,1,,,,TRUE,,,,
Revelatory Strike,PHB3,Ardent,13,AC,1,w,1,,,,TRUE,,,,
Stack the Odds,PsP,Ardent,13,AC,1,w,1,,,,TRUE,,,,
Victorious Urging,PHB3,Ardent,13,AC,1,w,1,,,,TRUE,,,,
Blinding Clarity,PsP,Ardent,17,AC,1,w,1,,,,TRUE,,,,
Diamond Defense Assault,PHB3,Ardent,17,AC,1,w,1,Psychic,,,TRUE,,,,
Emotional Flood,PsP,Ardent,17,AC,1,w,1,Force,,,TRUE,,,,
Illuminating Strike,PHB3,Ardent,17,AC,1,w,1,Radiant,,,TRUE,,,,
Probability Flux,PsP,Ardent,17,AC,1,w,1,,,,TRUE,,,,
Temporal Strike,PHB3,Ardent,17,AC,1,w,1,,,,TRUE,,,,
Terrifying Deluge,PHB3,Ardent,17,AC,1,w,1,,,,TRUE,,,,
Violent Upsurge,PsP,Ardent,17,AC,1,w,1,,,,TRUE,,,,
Concerted Strike,PsP,Ardent,23,AC,1,w,1,,,,TRUE,,,,
Flood of Madness,PHB3,Ardent,23,WILL,1,w,1,Psychic,,,TRUE,,,,
Perception Shift,PHB3,Ardent,23,WILL,1,w,1,,,,TRUE,,,,
Restorative Smash,PsP,Ardent,23,AC,1,w,1,,,,TRUE,,,,
Revealing Strike,PHB3,Ardent,23,AC,1,w,1,,,,TRUE,,,,
Revelatory Slash,PHB3,Ardent,23,,0,w,0,,,Ally attack,FALSE,,,,
Ruinous Scream,PsP,Ardent,23,AC,1,w,1,Thunder,,,TRUE,,,,
Dismissive Strike,PHB3,Ardent,27,AC,1,w,1,,,,TRUE,,,,
Exhilarating Strike,PHB3,Ardent,27,,0,w,0,,,Ally attack,FALSE,,,,
Falling Sky,PsP,Ardent,27,AC,1,w,1,,,,TRUE,,,,
Restorative Bastion,PHB3,Ardent,27,FORT,1,w,1,,,,TRUE,,,,
Tactical Failure,PsP,Ardent,27,AC,1,w,1,Psychic,,,TRUE,,,,
Unconscious Assault,PsP,Ardent,27,,0,w,0,,,Enemy attack,FALSE,,,,
Unnerving Disruption,PHB3,Ardent,27,AC,1,w,1,Psychic,,,TRUE,,,,
Aggravating Force,EPG,Artificer,1,AC,1,w,2,Force,,,TRUE,,,,
Ethereal Chill,DRMZ,Artificer,1,REF,1,8,2,Cold,,,FALSE,,,,
Magic Weapon,EPG,Artificer,1,AC,1,w,2,,,,TRUE,,,,
Static Shock,EPG,Artificer,1,REF,1,8,2,Lightning,,,TRUE,,,,
Thundering Armor,EPG,Artificer,1,FORT,1,8,2,Thunder,,,FALSE,,,,
Unbalancing Force,MS,Artificer,1,FORT,1,8,2,Force,,,FALSE,,,,
Bola Takedown,DRMZ,Assassin,1,REF,1,w,2,,,,,,,,
Executioner's Noose,DRMZ,Assassin,1,FORT,1,6,2,,,,FALSE,,,,
Garrote Strangle,DRMZ,Assassin,1,REF,2,w,4,,,,,,,,
Inescapable Blade,DRMZ,Assassin,1,AC,1,w,2,,,,TRUE,,,,
Leaping Shade,DRMZ,Assassin,1,AC,1,w,2,,,,TRUE,,,,
Poisoned Dagger,DRMZ,Assassin,1,AC,1,w,2,,,,,,,,
Precision Dart,DRMZ,Assassin,1,REF,1,w,2,,,,,,,,
Quick Lunge,DRMZ,Assassin,1,AC,1,w,2,,,,,,,,
Quick Shot,DRMZ,Assassin,1,AC,1,w,2,,,,,,,,
Shadow Storm,DRMZ,Assassin,1,AC,1,w,2,,,1 per adj.,TRUE,,,,
Avenging Shackles,DRMZ,Avenger,1,WILL,1,8,2,Radiant,,,FALSE,,,,
Bond of Censure,DP,Avenger,1,WILL,1,10,2,Radiant,,,FALSE,,,,
Bond of Pursuit,PHB2,Avenger,1,AC,1,w,2,,,,TRUE,,,,
Bond of Retribution,PHB2,Avenger,1,AC,1,w,2,Radiant,,,TRUE,,,,
Focused Fury,MS,Avenger,1,AC,1,w,2,,,,TRUE,,,,
Leading Strike,DP,Avenger,1,AC,1,w,2,,,,TRUE,,,,
Overwhelming Strike,PHB2,Avenger,1,AC,1,w,2,,,,TRUE,,,,
Radiant Vengeance,PHB2,Avenger,1,REF,1,8,2,Radiant,,,FALSE,,,,
Devastating Strike,PHB2,Barbarian,1,AC,1,w,2,,,1d8,TRUE,,,,
Foe to Foe,MS,Barbarian,1,AC,1,w,2,,,,TRUE,,,,
Howl of Fury,PP,Barbarian,1,AC,1,w,2,Thunder,,,TRUE,,,,
Howling Strike,PHB2,Barbarian,1,AC,1,w,2,,,1d6,TRUE,,,,
Pressing Strike,PHB2,Barbarian,1,AC,1,w,2,,,,TRUE,,,,
Savage Reach,DRMZ,Barbarian,1,AC,1,w,2,,,,TRUE,,,,
Recuperating Strike,PHB2,Barbarian,1,AC,1,w,2,,,,TRUE,,,,
Whirling Rend,PP,Barbarian,1,AC,1,w,2,,,,TRUE,,,,
Cutting Words,MS,Bard,1,WILL,1,8,2,Psychic,,,FALSE,,,,
Misdirected Mark,PHB2,Bard,1,REF,1,8,2,,,,FALSE,,,,
Guiding Strike,PHB2,Bard,1,AC,1,w,2,,,,TRUE,,,,
Jinx Shot,AP,Bard,1,AC,1,w,2,,,,FALSE,,,,
Staggering Note,DRMZ,Bard,1,WILL,0,0,0,Thunder,,,FALSE,,,,
Vicious Mockery,PHB2,Bard,1,WILL,1,6,2,Psychic,,,FALSE,,,,
War Song Strike,PHB2,Bard,1,AC,1,w,2,,,,TRUE,,,,
Bull's Strength,PHB3,Battlemind,1,AC,1,w,1,,,,TRUE,,,,
Concussive Spike,DSCS,Battlemind,1,AC,1,w,1,Force,,,FALSE,,,,
Conductive Defense,PsP,Battlemind,1,REF,1,w,1,Lightning,,,TRUE,,,,
Demon Dance,PHB3,Battlemind,1,AC,1,w,1,Psychic,,,TRUE,,,,
Iron Fist,PHB3,Battlemind,1,AC,1,w,1,,,,TRUE,,,,
Renewed Focus,PsP,Battlemind,1,AC,1,w,1,,,,TRUE,,,,
Twisted Eye,PHB3,Battlemind,1,AC,1,w,1,,,,TRUE,,,,
Vicious Cobra Strike,PsP,Battlemind,1,AC,0,w,0,Psychic,,,TRUE,,,,
Whirling Defense,PHB3,Battlemind,1,AC,1,w,1,,,,TRUE,,,,
World-Slipping Advance,PsP,Battlemind,1,AC,1,w,1,,,,TRUE,,,,
Cast the Net,PsP,Battlemind,3,AC,1,w,1,,,,TRUE,,,,
Harrier's Dance,PsP,Battlemind,3,AC,1,w,1,,,,TRUE,,,,
Lodestone Lure,PsP,Battlemind,3,WILL,0,w,0,,,,TRUE,,,,
Mind Snare,PHB3,Battlemind,3,AC,1,w,1,,,,TRUE,,,,
Mist Weapon,PHB3,Battlemind,3,REF,1,w,1,,,,TRUE,,,,
Momentum Swing,PsP,Battlemind,3,AC,1,w,1,,,,TRUE,,,,
Shade Strike,DRMZ,Battlemind,3,AC,1,w,1,,,,TRUE,,,,
Spectral Legion,PHB3,Battlemind,3,AC,1,w,1,,,,TRUE,,,,
Visions of Terror,PHB3,Battlemind,3,AC,1,w,1,,,,TRUE,,,,
Wrenching Claw,PsP,Battlemind,3,AC,1,w,1,Force,,,TRUE,,,,
Body Double,PsP,Battlemind,7,AC,1,w,1,,,,TRUE,,,,
Ego Crush,PHB3,Battlemind,7,AC,1,w,1,,,,TRUE,,,,
Flowing Weapon,PsP,Battlemind,7,AC,1,w,1,,,,TRUE,,,,
Forceful Reversal,PsP,Battlemind,7,AC,1,w,1,Force,,,TRUE,,,,
Ghost in the Steel,PHB3,Battlemind,7,AC,1,w,1,Psychic,,,TRUE,,,,
Give Chase,PsP,Battlemind,7,AC,1,w,1,,,,TRUE,,,,
Lightning Rush,PHB3,Battlemind,7,AC,1,w,1,,,,TRUE,,,,
Psionic Speed,PHB3,Battlemind,7,AC,1,w,1,,,,TRUE,,,,
Stone Squire,PHB3,Battlemind,7,FORT,0,w,0,,,,TRUE,,,,
Violent Ubiquity,PsP,Battlemind,7,AC,1,w,1,,,,TRUE,,,,
Brutal Barrage,PHB3,Battlemind,13,AC,0,w,0,,,,TRUE,,,,
Dizzying Strike,PHB3,Battlemind,13,AC,1,w,1,,,,TRUE,,,,
Intellect Snap,PsP,Battlemind,13,WILL,0,w,0,Psychic,,,TRUE,,,,
Kinetic Fist,PsP,Battlemind,13,AC,1,w,1,Force,,,TRUE,,,,
Kinetic Shield,PsP,Battlemind,13,FORT,1,w,1,Force,,,TRUE,,,,
Luring Steel,PHB3,Battlemind,13,AC,1,w,1,Psychic,,,TRUE,,,,
Overwhelming Lunge,PHB3,Battlemind,13,AC,1,w,1,,,,TRUE,,,,
Parting Shot,PsP,Battlemind,13,AC,1,w,1,,,,TRUE,,,,
Unwavering Concentration,PsP,Battlemind,13,AC,1,w,1,,,,TRUE,,,,
Web of Betrayal,PHB3,Battlemind,13,AC,1,w,1,Psychic,,,TRUE,,,,
Battle Vortex,PHB3,Battlemind,17,AC,1,w,1,Psychic,,,TRUE,,,,
Cloud of Dancing Blades,PsP,Battlemind,17,AC,1,w,1,,,,TRUE,,,,
Dancing Strike,PsP,Battlemind,17,AC,1,w,1,,,,TRUE,,,,
Dazzling Assault,PHB3,Battlemind,17,AC,1,w,1,,,,TRUE,,,,
Entangling Weapon,PHB3,Battlemind,17,AC,1,w,1,,,,TRUE,,,,
Festering Wound,PHB3,Battlemind,17,AC,1,w,1,Psychic,,,TRUE,,,,
Gravity Well,PsP,Battlemind,17,AC,1,w,1,,,,TRUE,,,,
Open the Way,PsP,Battlemind,17,AC,1,w,1,,,,TRUE,,,,
Ruinous Grasp,PsP,Battlemind,17,AC,1,w,1,,,,TRUE,,,,
Step of the Pursuer,PHB3,Battlemind,17,AC,1,w,1,,,,TRUE,,,,
Armor of Blades,PHB3,Battlemind,23,AC,1,w,1,,,,TRUE,,,,
Blade Tremor,PsP,Battlemind,23,AC,1,w,1,,,,TRUE,,,,
Crushing Vortex,PsP,Battlemind,23,AC,1,w,1,Force,,,TRUE,,,,
Double Vision,PsP,Battlemind,23,AC,1,w,1,,,,TRUE,,,,
Iron Presence,PsP,Battlemind,23,AC,1,w,1,,,,TRUE,,,,
Might of the Ogre,PHB3,Battlemind,23,AC,1,w,1,,,,TRUE,,,,
Press of Battle,PHB3,Battlemind,23,AC,1,w,1,,,,TRUE,,,,
Reality Shuffle,PsP,Battlemind,23,AC,1,w,1,,,,TRUE,,,,
Spring Assault,PHB3,Battlemind,23,AC,1,w,1,,,,TRUE,,,,
Veil of the Mind's Eye,PHB3,Battlemind,23,AC,1,w,1,,,,TRUE,,,,
Brandished Promise,PsP,Battlemind,27,WILL,0,w,0,,,,FALSE,,,,
Brilliant Recovery,PHB3,Battlemind,27,AC,1,w,1,,,,TRUE,,,,
Cage of Cowardice,PHB3,Battlemind,27,AC,1,w,1,,,,TRUE,,,,
Elusive Ghost,PsP,Battlemind,27,AC,1,w,1,,,,TRUE,,,,
Imprisoned Mind,PsP,Battlemind,27,AC,1,w,1,,,,TRUE,,,,
Mind of Mirrors,PHB3,Battlemind,27,AC,1,w,1,,,,TRUE,,,,
Obsidian Shield,PsP,Battlemind,27,FORT,1,w,1,Necrotic,Psychic,,FALSE,,,,
Psionic Storm,PHB3,Battlemind,27,AC,1,w,1,,,,TRUE,,,,
Astral Seal,DP,Cleric,1,REF,0,0,0,,,,FALSE,,,,
Blessing of Battle,HFL,Cleric,1,AC,1,w,2,,,,TRUE,,,,
Blessing of Wrath,HFL,Cleric,1,AC,1,w,2,,,,TRUE,,,,
Brand of the Sun,HFL,Cleric,1,AC,1,w,2,Radiant,,,TRUE,,,,
Burden of Earth,DRMZ,Cleric,1,AC,1,w,2,,,,TRUE,,,,
Earth's Endurance,DRMZ,Cleric,1,AC,1,w,2,,,,TRUE,,,,
Gaze of Defiance,MS,Cleric,1,WILL,1,8,2,Psychic,,,FALSE,,,,
Invigorating Assault,MS,Cleric,1,AC,1,w,2,,,,TRUE,,,,
Lance of Faith,PHB,Cleric,1,REF,1,8,2,Radiant,,,FALSE,,,,
Priest's Shield,PHB,Cleric,1,AC,1,w,2,,,,TRUE,,,,
Recovery Strike,DP,Cleric,1,AC,1,w,2,,,,TRUE,,,,
Righteous Brand,PHB,Cleric,1,AC,1,w,2,,,,TRUE,,,,
Sacred Flame,PHB,Cleric,1,REF,1,6,2,Radiant,,,FALSE,,,,
Silvery Arrow,DRMZ,Cleric,1,AC,1,w,1,Radiant,,,FALSE,,,,
Sonnlinor's Hammer,DRMZ,Cleric,1,AC,1,w,2,,,,TRUE,,,,
Storm Hammer,HFL,Cleric,1,FORT,1,w,2,Lightning,Thunder,,TRUE,,,,
Call of the Beast,PHB2,Druid,1,WILL,0,0,0,Psychic,,,FALSE,,,,
Chill Wind,PHB2,Druid,1,FORT,1,6,2,Cold,,,FALSE,,,,
Dynamic Assault,HFK,Druid,1,AC,1,w,2,,,,TRUE,,,,
Fire Hawk,PP,Druid,1,REF,1,8,2,Fire,,,FALSE,,,,
Flame Seed,PHB2,Druid,1,REF,1,6,2,Fire,,,FALSE,,,,
Grasping Claws,PHB2,Druid,1,REF,1,8,2,,,,TRUE,,,,
Grasping Tide,MS,Druid,1,FORT,1,6,2,,,,FALSE,,,,
Pounce,PHB2,Druid,1,REF,1,8,2,,,,TRUE,,,,
Reap the Harvest,HFK,Druid,1,AC,1,w,2,,,,TRUE,,,,
Savage Rend,PHB2,Druid,1,REF,1,8,2,,,,TRUE,,,,
Spirit Briar,DRMZ,Druid,1,WILL,1,8,2,Poison,,,FALSE,,,,
Storm Spike,PHB2,Druid,1,REF,1,8,2,Lightning,,,FALSE,,,,
Swarming Locusts,PP,Druid,1,REF,1,8,2,,,,FALSE,,,,
Tending Strike,HFK,Druid,1,AC,1,w,2,,,,TRUE,,,,
Thorn Whip,PHB2,Druid,1,FORT,1,8,2,,,,FALSE,,,,
Battle Wrath,HFL,Fighter,1,,,,,,,stance,FALSE,,,,
Berserker's Charge,HFL,Fighter,1,,,,,,,stance,FALSE,,,,
Brash Strike,MP,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Cleave,PHB,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Cleaving Assault,HFL,Fighter,1,,,,,,,stance,FALSE,,,,
Crushing Surge,MP,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Defend the Line,HFL,Fighter,1,,,,,,,stance,FALSE,,,,
Dual Strike,MP,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Duelist's Assault,HFL,Fighter,1,,,,,,,stance,FALSE,,,,
Feywild Guardian,DRMZ,Fighter,1,,,,,,,teleport,TRUE,,,,
Footwork Lure,MP,Fighter,1,AC,1,w,1,,,,TRUE,,,,
Glimmering Blade,DRMZ,Fighter,1,,,,,,,stance,FALSE,,,,
Grappling Strike,MP2,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Hammer Hands,HFL,Fighter,1,,,,,,,stance,FALSE,,,,
Knockdown Assault,MS,Fighter,1,FORT,0,0,0,,,,TRUE,,,,
Measured Cut,HFL,Fighter,1,,,,,,,stance,FALSE,,,,
Mobile Blade,HFL,Fighter,1,,,,,,,stance,FALSE,,,,
Poised Assault,HFL,Fighter,1,,,,,,,stance,FALSE,,,,
Reaping Strike,PHB,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Resolute Shield,DRMZ,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Shield Feint,DRMZ,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Slash and Grab,MP2,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Sure Strike,PHB,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Threatening Rush,MP2,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Tide of Iron,PHB,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Unfettered Fury,HFL,Fighter,1,,,,,,,stance,FALSE,,,,
Vicious Offensive,DSCS,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Weapon Master's Strike,DRMZ,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Wicked Strike,DRMZ,Fighter,1,AC,1,w,2,,,,TRUE,,,,
Astral Wind,MS,Invoker,1,FORT,1,6,2,,,,FALSE,,,,
Avenging Light,PHB2,Invoker,1,FORT,1,10,2,Radiant,,,FALSE,,,,
Divine Bolts,PHB2,Invoker,1,REF,1,6,2,Lightning,,,FALSE,,,,
Grasping Shards,PHB2,Invoker,1,FORT,0,0,2,Radiant,,,FALSE,,,,
Hand of Radiance,DP,Invoker,1,REF,1,4,1,Radiant,,,FALSE,,,,
Mantle of the Infidel,DP,Invoker,1,WILL,1,6,2,Radiant,,,FALSE,,,,
Sun Strike,PHB2,Invoker,1,REF,1,8,2,Radiant,,,FALSE,,,,
Vanguard's Lightning,PHB2,Invoker,1,REF,1,6,2,Lightning,,,FALSE,,,,
Visions of Blood,DP,Invoker,1,WILL,1,6,2,Radiant,,,FALSE,,,,
Crane's Wings,PHB3,Monk,1,FORT,1,10,2,,,,TRUE,,,,
Dancing Cobra,PHB3,Monk,1,REF,1,10,2,,,,TRUE,,,,
Dragon's Tail,PHB3,Monk,1,FORT,1,6,2,,,,TRUE,,,,
Fallen Needle,DRMZ,Monk,1,REF,1,10,1,,,,TRUE,,,,
Five Storms,PHB3,Monk,1,REF,1,8,2,,,,FALSE,,,,
Lion's Den,PsP,Monk,1,REF,1,6,2,,,,TRUE,,,,
Steel Wind,PsP,Monk,1,REF,1,8,2,,,,FALSE,,,,
Ardent Strike,DP,Paladin,1,AC,1,w,2,,,,TRUE,,,,
Bolstering Strike,PHB,Paladin,1,AC,1,w,2,,,,TRUE,,,,
Challenging Strike,MS,Paladin,1,AC,1,w,2,,,,TRUE,,,,
Enfeebling Strike,PHB,Paladin,1,AC,1,w,2,,,,TRUE,,,,
Forbidding Strike,MS,Paladin,1,AC,1,w,1,,,,TRUE,,,,
Holy Strike,PHB,Paladin,1,AC,1,w,2,Radiant,,,TRUE,,,,
Strike of Hope,HFK,Paladin,1,AC,1,w,2,Radiant,,,TRUE,,,,
Valiant Strike,PHB,Paladin,1,AC,1,w,2,,,,TRUE,,,,
Vengeful Strike,HFK,Paladin,1,AC,1,w,2,Radiant,,,TRUE,,,,
Virtuous Strike,DP,Paladin,1,AC,1,w,2,Radiant,,,TRUE,,,,
Dimensional Scramble,PsP,Psion,1,FORT,1,6,1,,,,FALSE,,,,
Dishearten,PHB3,Psion,1,WILL,1,6,1,Psychic,,,FALSE,,,,
Force Punch,PHB3,Psion,1,FORT,1,8,1,Force,,,TRUE,,,,
Force Shard,PsP,Psion,1,REF,1,8,1,Force,,,FALSE,,,,
Kinetic Trawl,PHB3,Psion,1,REF,1,8,1,Force,,,FALSE,,,,
Memory Hole,PHB3,Psion,1,WILL,1,6,1,Psychic,,,FALSE,,,,
Mind Lock,PsP,Psion,1,WILL,1,8,1,Psychic,,,FALSE,,,,
Mind Thrust,PHB3,Psion,1,WILL,1,10,1,Psychic,,,FALSE,,,,
Static Mote,PsP,Psion,1,REF,1,6,1,Lightning,,,FALSE,,,,
Betrayal,PHB3,Psion,3,WILL,0,0,0,,,,FALSE,,,,
Burning Flux,PHB3,Psion,3,REF,1,6,1,Fire,,,FALSE,,,,
Crushing Turmoil,PsP,Psion,3,WILL,1,8,1,Psychic,,,FALSE,,,,
Force Hammer,PHB3,Psion,3,FORT,1,6,1,Force,,,FALSE,,,,
Fuse Form,PsP,Psion,3,FORT,1,8,1,,,,FALSE,,,,
Id Insinuation,PHB3,Psion,3,WILL,1,6,1,Psychic,,,FALSE,,,,
Kinetic Trip,PsP,Psion,3,REF,1,8,1,Force,,,FALSE,,,,
Psychic Anomaly,PsP,Psion,3,WILL,1,6,1,Psychic,,,FALSE,,,,
Cranial Disturbance,PHB3,Psion,7,FORT,1,8,1,Force,,,FALSE,,,,
Dread Spiral,PHB3,Psion,7,FORT,1,10,1,Force,,,FALSE,,,,
Ectoplasmic Servant,PsP,Psion,7,FORT,1,6,1,Acid,,,FALSE,,,,
Ego Whip,PsP,Psion,7,WILL,0,0,0,Psychic,,,FALSE,,,,
Force Grasp,PHB3,Psion,7,FORT,1,8,1,Force,,,FALSE,,,,
Insidious Doubt,DRMZ,Psion,7,WILL,1,8,1,Psychic,,,FALSE,,,,
Kinetic Buffer,PsP,Psion,7,FORT,1,6,1,Force,,,FALSE,,,,
Matter Dissipation,PsP,Psion,7,FORT,1,8,1,,,,FALSE,,,,
Mind Break,PHB3,Psion,7,WILL,1,8,1,Psychic,,,FALSE,,,,
Brilliant Thought,PsP,Psion,13,FORT,1,8,1,Radiant,,,FALSE,,,,
Concussion Burst,PHB3,Psion,13,REF,0,0,0,Force,,,FALSE,,,,
Dual Hallucination,PHB3,Psion,13,WILL,1,8,1,Psychic,,,FALSE,,,,
Inexplicable Attraction,PsP,Psion,13,WILL,1,8,1,Psychic,,,FALSE,,,,
Kinetic Wave,PsP,Psion,13,FORT,1,6,1,Force,,,FALSE,,,,
Mind Wipe,PHB3,Psion,13,WILL,1,8,1,Psychic,,,FALSE,,,,
Thunder Tether,PHB3,Psion,13,REF,1,8,1,Thunder,,,FALSE,,,,
Void Shard,PsP,Psion,13,FORT,1,8,1,Force,,,FALSE,,,,
Cerulean Cage,PsP,Psion,17,REF,1,6,1,Force,,,FALSE,,,,
Crystalline Bonds,PHB3,Psion,17,FORT,0,0,0,,,,FALSE,,,,
Forced Opportunity,PHB3,Psion,17,WILL,0,0,0,,,ally basic,FALSE,,,,
Manifested Horror,PsP,Psion,17,WILL,1,8,1,Psychic,,,FALSE,,,,
Psychic Brand,PHB3,Psion,17,WILL,1,10,1,Psychic,,,FALSE,,,,
Shield Crack,PHB3,Psion,17,REF,1,8,1,Lightning,,,FALSE,,,,
Telekinetic Haze,PsP,Psion,17,REF,1,8,1,,,,FALSE,,,,
Thought Guardian,PsP,Psion,17,WILL,1,8,1,Psychic,,,FALSE,,,,
Cruel Crush,PHB3,Psion,23,REF,1,8,1,Force,,,FALSE,,,,
Daggers of Pain,PHB3,Psion,23,WILL,1,8,1,Psychic,,,FALSE,,,,
Mind Trap,PsP,Psion,23,WILL,1,10,1,Psychic,,,FALSE,,,,
Mindfire Explosion,PsP,Psion,23,WILL,1,8,1,Fire,,,FALSE,,,,
Phantom Burden,PsP,Psion,23,FORT,1,6,1,Force,,,FALSE,,,,
Prismatic Swarms,PsP,Psion,23,REF,1,8,1,Force,,,FALSE,,,,
Space Vortex,PHB3,Psion,23,REF,0,0,0,Force,,,FALSE,,,,
Sudden Control,PHB3,Psion,23,WILL,1,0,1,Psychic,,,FALSE,,,,
Claws of Force,PHB3,Psion,27,REF,1,8,1,Force,,,FALSE,,,,
Concussive Detonation,PHB3,Psion,27,REF,1,8,1,Force,,,FALSE,,,,
Decerebrate,PsP,Psion,27,WILL,1,10,1,Psychic,,,FALSE,,,,
Hail of Crystals,PsP,Psion,27,FORT,1,6,1,,,,FALSE,,,,
Intrusive Spear,PHB3,Psion,27,REF,1,8,1,Force,,,FALSE,,,,
Kinetic Detonation,PsP,Psion,27,FORT,0,0,0,Force,,,FALSE,,,,
Psionic Veil,PHB3,Psion,27,WILL,1,8,1,Psychic,,,FALSE,,,,
Reality Meltdown,PsP,Psion,27,FORT,0,0,0,Fire,,,FALSE,,,,
Careful Attack,PHB,Ranger,1,AC,1,w,2,,,,TRUE,,,,
