Name,Type,Class,Level,kind,,,,,,,
Nimble Strike,At-Will,Ranger,1,attack,,,,,,,
Overwhelming Strike,At-Will,Avenger,1,attack,,,,,,,
Piercing Strike,At-Will,Rogue,1,attack,,,,,,,
Pounce,At-Will,Druid,1,attack,,,,,,,
Pressing strike,At-Will,Barbarian,1,attack,,,,,,,
Priest's Shield,At-Will,Cleric,1,attack,,,,,,,
Protecting Strike,At-Will,Shaman,1,attack,,,,,,,
Radiant Vengeance,At-Will,Avenger,1,attack,,,,,,,
Ray of Frost,At-Will,Wizard,1,attack,,,,,,,
Reaping Strike,At-Will,Fighter,1,attack,,,,,,,
Recuperating strike,At-Will,Barbarian,1,attack,,,,,,,
Righteous Brand,At-Will,Cleric,1,attack,,,,,,,
Riposte Strike,At-Will,Rogue,1,attack,,,,,,,
Sacred Flame,At-Will,Cleric,1,attack,,,,,,,
Savage Rend,At-Will,Druid,1,attack,,,,,,,
Scorching Burst,At-Will,Wizard,1,attack,,,,,,,
Sea Stride,At-Will,Warden,6,utility,,,,,,,
Shadow Stride,At-Will,Rogue,10,utility,,,,,,,
Sly Flourish,At-Will,Rogue,1,attack,,,,,,,
Spiteful Glamor,At-Will,Warlock,1,attack,,,,,,,
Stalker's Strike,At-Will,Shaman,1,attack,,,,,,,
Storm Spike,At-Will,Druid,1,attack,,,,,,,
Storm Walk,At-Will,Sorcerer,1,attack,,,,,,,
Strength of Stone,At-Will,Warden,1,attack,,,,,,,
Sun Strike,At-Will,Invoker,1,attack,,,,,,,
Sure Strike,At-Will,Fighter,1,attack,,,,,,,
Sword Burst,At-Will,Spellsword,1,attack,,,,,,,
Thorn Strike,At-Will,Warden,1,attack,,,,,,,
Thorn Whip,At-Will,Druid,1,attack,,,,,,,
Thundering Armor,At-Will,Artificer,1,attack,,,,,,,
Thunderwave,At-Will,Wizard,1,attack,,,,,,,
Tide of Iron,At-Will,Fighter,1,attack,,,,,,,
Twin Strike,At-Will,Ranger,1,attack,,,,,,,
Valiant Strike,At-Will,Paladin,1,attack,,,,,,,
Vanguard's Lightning,At-Will,Invoker,1,attack,,,,,,,
Vicious Mockery,At-Will,Bard,1,attack,,,,,,,
Viper's Strike,At-Will,Warlord,1,attack,,,,,,,
War song strike,At-Will,Bard,1,attack,,,,,,,
Watcher's Srike,At-Will,Shaman,1,attack,,,,,,,
Weight of Earth,At-Will,Warden,1,attack,,,,,,,
Wolf Pack Tactics,At-Will,Warlord,1,attack,,,,,,,
Wrath of Winter,At-Will,Shaman,1,attack,,,,,,,
Acid Arrow,Daily,Wizard,1,attack,,,,,,,
Acid Wave,Daily,Wizard,19,attack,,,,,,,
Acidic Implantation,Daily,Sorcerer,5,attack,,,,,,,
Act of Desperation,Daily,Fighter,22,utility,,,,,,,
Adamantine Echo,Daily,Sorcerer,9,attack,,,,,,,
Adversarial Song,Daily,Bard,25,attack,,,,,,,
All-Consuming Missile,Daily,Artificer,25,attack,,,,,,,
Allegro,Daily,Bard,6,utility,,,,,,,
Ambassador Imp,Daily,Warlock,10,utility,,,,,,,
Ancient Warlord's Inspiration,Daily,Shaman,9,attack,,,,,,,
Angel of the Eleven Winds,Daily,Cleric,22,utility,,,,,,,
Angelic Echelon,Daily,Invoker,1,attack,,,,,,,
Angelic Intercession,Daily,Paladin,16,utility,,,,,,,
Angelic Rescue,Daily,Paladin,22,utility,,,,,,,
Anthem of the First Dawn,Daily,Invoker,25,attack,,,,,,,
Arcane Empowerment,Daily,Sorcerer,6,utility,,,,,,,
Arcane Gate,Daily,Wizard,10,utility,,,,,,,
Arcane Springboard,Daily,Artificer,2,utility,,,,,,,
Armor of Agathys,Daily,Warlock,1,attack,,,,,,,
Armor of the Wild,Daily,Druid,10,utility,,,,,,,
Ash Hammer Rage,Daily,Barbarian,25,attack,,,,,,,
Aspect of Awe,Daily,Avenger,19,attack,,,,,,,
Aspect of Death,Daily,Avenger,25,attack,,,,,,,
Aspect of Fury,Daily,Avenger,15,attack,,,,,,,
Aspect of Might,Daily,Avenger,1,attack,,,,,,,
Aspect of Speed,Daily,Avenger,9,attack,,,,,,,
Aspect of Terror,Daily,Avenger,29,attack,,,,,,,
Assassin's Point,Daily,Rogue,29,attack,,,,,,,
Astral Defenders,Daily,Cleric,9,attack,,,,,,,
Astral Refuge,Daily,Cleric,10,utility,,,,,,,
Astral Speech,Daily,Paladin,2,utility,,,,,,,
Astral Step,Daily,Invoker,6,utility,,,,,,,
Astral Storm,Daily,Cleric,29,attack,,,,,,,
Astral Tempest,Daily,Invoker,19,attack,,,,,,,
Attacks on the Run,Daily,Ranger,9,attack,,,,,,,
Avenger's Readiness,Daily,Avenger,10,utility,,,,,,,
Avenging Flame,Daily,Cleric,1,attack,,,,,,,
Avernian Eruption,Daily,Warlock,5,attack,,,,,,,
Baleful Gaze of the Basilisk,Daily,Sorcerer,19,attack,,,,,,,
Baleful Polymorph,Daily,Druid,15,attack,,,,,,,
Bastion of Defense,Daily,Warlord,1,attack,,,,,,,
Battle Awareness,Daily,Fighter,6,utility,,,,,,,
Beacon of Hope,Daily,Cleric,1,attack,,,,,,,
Bear's Endurance,Daily,Warden,6,utility,,,,,,,
Bigby's Grasping Hand,Daily,Wizard,15,attack,,,,,,,
Bigby's Icy Grasp,Daily,Wizard,5,attack,,,,,,,
Binding Invocation of Chains,Daily,Invoker,1,attack,,,,,,,
Biting Assault,Daily,Rogue,25,attack,,,,,,,
Bitterfrost Bolt,Daily,Artificer,29,attack,,,,,,,
Black Dragon Rage,Daily,Barbarian,9,attack,,,,,,,
Black Harbinger,Daily,Druid,6,utility,,,,,,,
Blackfire Serpent,Daily,Sorcerer,19,attack,,,,,,,
Blade Barrier,Daily,Cleric,9,attack,,,,,,,
Blade Cascade,Daily,Ranger,15,attack,,,,,,,
Blade of Vengeance,Daily,Invoker,5,attack,,,,,,,
Blast of Cold,Daily,Wizard,15,attack,,,,,,,
Bleeding Wounds,Daily,Ranger,15,attack,,,,,,,
Bless,Daily,Cleric,2,utility,,,,,,,
Blessing of the Iron Tree,Daily,Shaman,6,utility,,,,,,,
Blessing of the Seven Winds,Daily,Shaman,1,attack,,,,,,,
Blessing of Vengeance,Daily,Avenger,2,utility,,,,,,,
Blinding Barrage,Daily,Rogue,1,attack,,,,,,,
Blinding Blizzard,Daily,Druid,29,attack,,,,,,,
Blink Zone,Daily,Bard,16,utility,,,,,,,
Blizzard Strike,Daily,Warden,19,attack,,,,,,,
Blood Hunger Rage,Daily,Barbarian,25,attack,,,,,,,
Bloodhunt Rage,Daily,Barbarian,1,attack,,,,,,,
Bloodied Retribution,Daily,Paladin,15,attack,,,,,,,
Bloodstorm,Daily,Ranger,25,attack,,,,,,,
Bloody Path,Daily,Rogue,15,attack,,,,,,,
Blue Dragon Rage,Daily,Barbarian,25,attack,,,,,,,
Blur,Daily,Wizard,10,utility,,,,,,,
Bond of Destiny,Daily,Avenger,25,attack,,,,,,,
Bond of Foresight,Daily,Avenger,5,attack,,,,,,,
Bond of the Sacred Duel,Daily,Avenger,15,attack,,,,,,,
Boundless Endurance,Daily,Fighter,2,utility,,,,,,,
Bounty of Life,Daily,Shaman,22,utility,,,,,,,
Break the Tempo,Daily,Warlord,19,attack,,,,,,,
Break the Wall,Daily,Paladin,15,attack,,,,,,,
Brittleskin Infusion,Daily,Artificer,9,attack,,,,,,,
Brute Strike,Daily,Fighter,1,attack,,,,,,,
Burning Blade,Daily,Swordmage,1,attack,,,,,,,
Burrowing Projectile,Daily,Artificer,19,attack,,,,,,,
Call Lightning Storm,Daily,Druid,15,attack,,,,,,,
Call the Dead,Daily,Shaman,22,utility,,,,,,,
Cascade of Light,Daily,Cleric,1,attack,,,,,,,
Caustic Rampart,Daily,Artificer,1,attack,,,,,,,
Certain Freedom,Daily,Rogue,10,utility,,,,,,,
Cerulean Flames,Daily,Invoker,9,attack,,,,,,,
Chant of Sustenance,Daily,Druid,6,utility,,,,,,,
Chaos Echoes,Daily,Sorcerer,16,utility,,,,,,,
Chaos Link,Daily,Sorcerer,10,utility,,,,,,,
Chorus of Recovery,Daily,Bard,16,utility,,,,,,,
Chromatic Orb,Daily,Sorcerer,1,attack,,,,,,,
Clarion Call of the Astral Sea,Daily,Cleric,22,utility,,,,,,,
Cleansing Burst,Daily,Paladin,22,utility,,,,,,,
Cleansing Wind of the North,Daily,Shaman,1,attack,,,,,,,
Clever Riposte,Daily,Rogue,5,attack,,,,,,,
Clever Trickster Spirit,Daily,Shaman,9,attack,,,,,,,
Cloak of Peace,Daily,Cleric,16,utility,,,,,,,
Close Quarters,Daily,Rogue,10,utility,,,,,,,
Close Quarters Shot,Daily,Ranger,9,attack,,,,,,,
Cloud Chariot,Daily,Cleric,22,utility,,,,,,,
Cloudkill,Daily,Wizard,19,attack,,,,,,,
Combat Surge,Daily,Barbarian,6,utility,,,,,,,
Comeback Strike,Daily,Fighter,1,attack,,,,,,,
Comrades' Mantle,Daily,Sorcerer,16,utility,,,,,,,
Confounding Arrows,Daily,Ranger,15,attack,,,,,,,
Confusing Chorus,Daily,Bard,15,attack,,,,,,,
Consecrated Ground,Daily,Cleric,5,attack,,,,,,,
Contagious Curse,Daily,Sorcerer,9,attack,,,,,,,
Corona of Blinding Radiance,Daily,Paladin,19,attack,,,,,,,
Covenant of Endurance,Daily,Invoker,10,utility,,,,,,,
Covenant of Life,Daily,Invoker,16,utility,,,,,,,
Covenant of Vengeance,Daily,Invoker,22,utility,,,,,,,
Crack the Shell,Daily,Fighter,5,attack,,,,,,,
Crimson Edge,Daily,Rogue,9,attack,,,,,,,
Crimson Phoenix Rage,Daily,Barbarian,29,attack,,,,,,,
Crown of Glory,Daily,Paladin,9,attack,,,,,,,
Crown of Madness,Daily,Warlock,5,attack,,,,,,,
Cruel Cage of Steel,Daily,Ranger,19,attack,,,,,,,
Crusader's Boon,Daily,Paladin,19,attack,,,,,,,
Cure Light Wounds,Daily,Cleric,2,utility,,,,,,,
Cure Serious Wounds,Daily,Cleric,6,utility,,,,,,,
Curse of the Black Forest,Daily,Warlock,9,attack,,,,,,,
Curse of the Bloody Fangs,Daily,Warlock,5,attack,,,,,,,
Curse of the Dark Delirium,Daily,Warlock,29,attack,,,,,,,
Curse of the Dark Dream,Daily,Warlock,1,attack,,,,,,,
Curse of the Golden Mist,Daily,Warlock,15,attack,,,,,,,
Curse of the Twin Princes,Daily,Warlock,25,attack,,,,,,,
Dance of Biting Wind,Daily,Bard,15,attack,,,,,,,
Dancing Weapon,Daily,Artificer,5,attack,,,,,,,
Dark One's Own Luck,Daily,Warlock,6,utility,,,,,,,
Davastation's Wake,Daily,Fighter,19,attack,,,,,,,
Dawn Fire Sigil,Daily,Avenger,5,attack,,,,,,,
Dazzling Ray,Daily,Sorcerer,1,attack,,,,,,,
Deadly Positioning,Daily,Rogue,9,attack,,,,,,,
Death Spirit,Daily,Shaman,29,attack,,,,,,,
Death Ward,Daily,Paladin,16,utility,,,,,,,
Deep Cut,Daily,Rogue,5,attack,,,,,,,
Defensive Rally,Daily,Warlord,10,utility,,,,,,,
Defensive Training,Daily,Fighter,6,utility,,,,,,,
Defy Death,Daily,Warlord,29,attack,,,,,,,
Delusions of Loyalty,Daily,Warlock,19,attack,,,,,,,
Deny Death,Daily,Barbarian,10,utility,,,,,,,
Devour Magic,Daily,Sorcerer,10,utility,,,,,,,
Devouring Ice,Daily,Druid,15,attack,,,,,,,
Dimension Door,Daily,Wizard,6,utility,,,,,,,
Dire Beast Assault,Daily,Warden,19,attack,,,,,,,
Disguise Self,Daily,Wizard,6,utility,,,,,,,
Disintegrate,Daily,Wizard,19,attack,,,,,,,
Dispel Magic,Daily,Wizard,6,utility,,,,,,,
Distracting Flare,Daily,Avenger,2,utility,,,,,,,
Divine Armor,Daily,Cleric,16,utility,,,,,,,
Divine Bodyguard,Daily,Paladin,6,utility,,,,,,,
Divine Power,Daily,Cleric,9,attack,,,,,,,
Divine Renewal,Daily,Invoker,10,utility,,,,,,,
Divine Vigor,Daily,Cleric,6,utility,,,,,,,
Dizzying Blow,Daily,Fighter,5,attack,,,,,,,
Doom of Delban,Daily,Warlock,29,attack,,,,,,,
Doorway to the Spirit World,Daily,Shaman,22,utility,,,,,,,
Draconic Incarnation,Daily,Sorcerer,25,attack,,,,,,,
Dragonfang Bolt,Daily,Sorcerer,1,attack,,,,,,,
Dragon's Fangs,Daily,Fighter,15,attack,,,,,,,
Dread Star,Daily,Warlock,1,attack,,,,,,,
Eagle's Wings,Daily,Warden,22,utility,,,,,,,
Earthguard,Daily,Warden,6,utility,,,,,,,
Earthrage Spirit,Daily,Shaman,5,attack,,,,,,,
Ease Suffering,Daily,Warlord,10,utility,,,,,,,
Easy Target,Daily,Rogue,1,attack,,,,,,,
Echoes of the Guardian,Daily,Bard,1,attack,,,,,,,
Eldritch Speed,Daily,Swordmage,2,utility,,,,,,,
Elegy of the Undefeated,Daily,Bard,16,utility,,,,,,,
Elegy Unwritten,Daily,Bard,22,utility,,,,,,,
Elemental Maw,Daily,Wizard,25,attack,,,,,,,
Elemental Shift,Daily,Sorcerer,2,utility,,,,,,,
Emissary of the Gods,Daily,Invoker,2,utility,,,,,,,
Encircling Dance,Daily,Bard,19,attack,,,,,,,
Endless Acid,Daily,Sorcerer,29,attack,,,,,,,
Enduring Strike,Daily,Avenger,9,attack,,,,,,,
Energetic Flight,Daily,Sorcerer,6,utility,,,,,,,
Entangle,Daily,Druid,9,attack,,,,,,,
Entangling Thorns,Daily,Druid,19,attack,,,,,,,
Entropic Whirlwind,Daily,Sorcerer,29,attack,,,,,,,
Evade Ambush,Daily,Ranger,6,utility,,,,,,,
Evade the Blow,Daily,Ranger,16,utility,,,,,,,
Evard's Black Tentacles,Daily,Wizard,19,attack,,,,,,,
Even Hand of Justice,Daily,Paladin,29,attack,,,,,,,
Exalted Retribution,Daily,paladin,25,attack,,,,,,,
Excruciating Shot,Daily,Ranger,5,attack,,,,,,,
Executioner's Cloak,Daily,Avenger,5,attack,,,,,,,
Executioner's Justice,Daily,Avenger,25,attack,,,,,,,
Expeditious Retreat,Daily,Wizard,2,utility,,,,,,,
Eye of the Warlock,Daily,warlock,16,utility,,,,,,,
Faerie Fire,Daily,Druid,1,attack,,,,,,,
Feather Fall,Daily,Wizard,2,utility,,,,,,,
Feinting Flurry,Daily,Rogue,19,attack,,,,,,,
Feral Mauling,Daily,Druid,9,attack,,,,,,,
Ferocious Maul,Daily,Druid,25,attack,,,,,,,
Fey Lure,Daily,Druid,25,attack,,,,,,,
Fiery Vengeance,Daily,Avenger,29,attack,,,,,,,
Final Oath,Daily,Avenger,29,attack,,,,,,,
Findish Resilience,Daily,Warlock,2,utility,,,,,,,
Fire Storm,Daily,Cleric,19,attack,,,,,,,
Fireball,Daily,Wizard,5,attack,,,,,,,
Fires of Life,Daily,Druid,1,attack,,,,,,,
Fires of the Silver Gates,Daily,Invoker,29,attack,,,,,,,
Fireswarm,Daily,Warlock,15,attack,,,,,,,
Flame Strike,Daily,Cleric,9,attack,,,,,,,
Flameheart Rage,Daily,Barbarian,15,attack,,,,,,,
Flames of Phlegethos,Daily,Warlock,1,attack,,,,,,,
Flaming Sphere,Daily,Wizard,1,attack,,,,,,,
Fleet Pursuit,Daily,Druid,2,utility,,,,,,,
Fly,Daily,Wizard,16,utility,,,,,,,
Flying Foe,Daily,Rogue,19,attack,,,,,,,
Foil the Lock,Daily,Rogue,16,utility,,,,,,,
Followup Blow,Daily,Ranger,29,attack,,,,,,,
Force of Battle,Daily,Fighter,29,attack,,,,,,,
Force Storm,Daily,Sorcerer,25,attack,,,,,,,
Forceful Conduit,Daily,Bard,9,attack,,,,,,,
Forest Ghost,Daily,Ranger,22,utility,,,,,,,
Forge the Chains of Life,Daily,Shaman,16,utility,,,,,,,
Form of Charging Boar,Daily,Warden,15,attack,,,,,,,
Form of Spirit Renewal,Daily,Warden,29,attack,,,,,,,
Form of Summer Fire,Daily,Warden,15,attack,,,,,,,
Form of the Autumn Reaper,Daily,Warden,25,attack,,,,,,,
Form of the Blood Wolf,Daily,Warden,25,attack,,,,,,,
Form of the Chimera,Daily,Warden,29,attack,,,,,,,
Form of the Displacer Beast,Daily,Warden,25,attack,,,,,,,
Form of the Fearsome Ram,Daily,Warden,1,attack,,,,,,,
Form of the Frenzied Wolverine,Daily,Warden,9,attack,,,,,,,
Form of the Jungle Lord,Daily,Warden,25,attack,,,,,,,
Form of the Oak Sentinel,Daily,Warden,9,attack,,,,,,,
Form of the Relentless Panther,Daily,Warden,1,attack,,,,,,,
Form of the Rowan Sentinel,Daily,Warden,15,attack,,,,,,,
Form of the Soul Serpent,Daily,Warden,29,attack,,,,,,,
Form of the Starmetal Warrior,Daily,Warden,29,attack,,,,,,,
Form of the Stone Sentinel,Daily,Warden,9,attack,,,,,,,
Form of the Stonecrusher,Daily,Warden,15,attack,,,,,,,
Form of the Storm Eagle,Daily,Warden,9,attack,,,,,,,
Form of the Willow Sentinel,Daily,Warden,1,attack,,,,,,,
Form of Winter's Herald,Daily,Warden,1,attack,,,,,,,
Fourfold Invocation of Doom,Daily,Invoker,9,attack,,,,,,,
Fraught with Failure,Daily,Bard,25,attack,,,,,,,
Freezing Cloud,Daily,Wizard,1,attack,,,,,,,
Frenzied Rhythm,Daily,Bard,25,attack,,,,,,,
Frenzied Skirmish,Daily,Ranger,5,attack,,,,,,,
Frost Backlash,Daily,Swordmage,1,attack,,,,,,,
Frost Eddies,Daily,Sorcerer,15,attack,,,,,,,
Frost Wolf Rage,Daily,Barbarian,5,attack,,,,,,,
Garrote Grip,Daily,Rogue,15,attack,,,,,,,
Gaze of the Beast,Daily,Druid,29,attack,,,,,,,
Ghost on the Wind,Daily,Rogue,25,attack,,,,,,,
Ghost Viper Rage,Daily,Barbarian,19,attack,,,,,,,
Ghostly Vengeance,Daily,Avenger,22,utility,,,,,,,
Gift of Life,Daily,Paladin,22,utility,,,,,,,
God Hammer,Daily,Invoker,15,attack,,,,,,,
Godstrike,Daily,Cleric,29,attack,,,,,,,
Good Luck Charm,Daily,Artificer,16,utility,,,,,,,
Grasping Chains of the Justiciar,Daily,Invoker,5,attack,,,,,,,
Great Bear Guardian,Daily,Shaman,19,attack,,,,,,,
Great Ram Arrow,Daily,Ranger,19,attack,,,,,,,
Great Stomp,Daily,Barbarian,16,utility,,,,,,,
Greater Ice Storm,Daily,Wizard,29,attack,,,,,,,
Greater Invisibility,Daily,Wizard,16,utility,,,,,,,
Guardian of Faith,Daily,Cleric,1,attack,,,,,,,
Guardian of the Primal Copse,Daily,Shaman,15,attack,,,,,,,
Hail of Thorns,Daily,Warden,5,attack,,,,,,,
Hallowed Circle,Daily,Paladin,5,attack,,,,,,,
Hallowed Ground,Daily,Cleric,16,utility,,,,,,,
Hamstring,Daily,Rogue,25,attack,,,,,,,
Healing Figurine,Daily,Artificer,10,utility,,,,,,,
Heart of the Titan,Daily,Warlord,22,utility,,,,,,,
Heart Strike,Daily,Barbarian,10,utility,,,,,,,
Heroic Surge,Daily,Warlord,22,utility,,,,,,,
Hero's Beacon,Daily,Bard,29,attack,,,,,,,
Hero's Defiance,Daily,Warlord,16,utility,,,,,,,
Hero's Elixir,Daily,Artificer,22,utility,,,,,,,
Hide from the Light,Daily,Rogue,22,utility,,,,,,,
Hideous Laughter,Daily,Bard,9,attack,,,,,,,
Hit the Dirt,Daily,Ranger,22,utility,,,,,,,
Hobbling Rend,Daily,Druid,5,attack,,,,,,,
Holy Spark,Daily,Cleric,15,attack,,,,,,,
Holy Wrath,Daily,Cleric,19,attack,,,,,,,
Hornet Shot,Daily,Artificer,15,attack,,,,,,,
Horns of the Undefeated Khan,Daily,Shaman,19,attack,,,,,,,
Hostility Charm,Daily,Sorcerer,15,attack,,,,,,,
Howl of the Wild,Daily,Druid,16,utility,,,,,,,
Hunger of Hadar,Daily,Warlock,5,attack,,,,,,,
Hunter's Bear Trap,Daily,Ranger,1,attack,,,,,,,
Hunter's Tune,Daily,Bard,2,utility,,,,,,,
Hunting Lion Rage,Daily,Barbarian,15,attack,,,,,,,
Hurl through Hell,Daily,Warlock,29,attack,,,,,,,
Hydra Rage,Daily,Barbarian,19,attack,,,,,,,
Hymn of the Daring Rescue,Daily,Bard,9,attack,,,,,,,
Ice Storm,Daily,Wizard,9,attack,,,,,,,
Icon of Life,Daily,Invoker,16,utility,,,,,,,
Icon of Terror,Daily,Invoker,5,attack,,,,,,,
Illusory Wall,Daily,Wizard,10,utility,,,,,,,
Immobilizing Strike,Daily,Rogue,29,attack,,,,,,,
Increasint the Tempo,Daily,Bard,19,attack,,,,,,,
Indomitable Resolve,Daily,Avenger,22,utility,,,,,,,
Indomitable Shift,Daily,Barbarian,6,utility,,,,,,,
Indomitable Spirit,Daily,Cleric,19,attack,,,,,,,
Insect Plague,Daily,Druid,16,utility,,,,,,,
Instinctive Charge,Daily,Barbarian,6,utility,,,,,,,
Invert Resistance,Daily,Sorcerer,10,utility,,,,,,,
Invisibility,Daily,Wizard,6,utility,,,,,,,
Invoke Angelic Form,Daily,Invoker,22,utility,,,,,,,
Invoke Heroism,Daily,Invoker,22,utility,,,,,,,
Invoke the Absolute Dark,Daily,Invoker,29,attack,,,,,,,
Invoke the Fallen,Daily,Invoker,25,attack,,,,,,,
Iron Dragon Charge,Daily,Warlord,9,attack,,,,,,,
Iron Hammer Rage,Daily,Barbarian,15,attack,,,,,,,
Iron Spike of Dis,Daily,Warlock,9,attack,,,,,,,
Iron Warrior,Daily,Fighter,16,utility,,,,,,,
Ironborn Spirit,Daily,Shaman,25,attack,,,,,,,
Irresistible Dance,Daily,Bard,19,attack,,,,,,,
Jaws of the Wolf,Daily,Ranger,1,attack,,,,,,,
Knight of Glory,Daily,Cleric,19,attack,,,,,,,
Knights of Unyielding Valor,Daily,Cleric,10,utility,,,,,,,
Knock Them Down,Daily,Warlord,9,attack,,,,,,,
Knockout,Daily,Rogue,9,attack,,,,,,,
Last Ditch Evasion,Daily,Fighter,10,utility,,,,,,,
Last Stand,Daily,Barbarian,22,utility,,,,,,,
Lead the Attack,Daily,Warlord,1,attack,,,,,,,
Legion's Hold,Daily,Wizard,29,attack,,,,,,,
Levitate,Daily,Wizard,6,utility,,,,,,,
Lifeleech Thorns,Daily,Druid,29,attack,,,,,,,
Lifetap,Daily,Artificer,1,attack,,,,,,,
Lighting Motes,Daily,Artificer,9,attack,,,,,,,
Lightning Barrage,Daily,Warden,19,attack,,,,,,,
Lightning Breath,Daily,Sorcerer,1,attack,,,,,,,
Lightning Matrix,Daily,Artificer,15,attack,,,,,,,
Lightning Serpent,Daily,Wizard,9,attack,,,,,,,
Longstrider,Daily,Ranger,16,utility,,,,,,,
Lunge and Vanish,Daily,Druid,19,attack,,,,,,,
Macetail's Rage,Daily,Barbarian,1,attack,,,,,,,
Make Them Bleed,Daily,Warlord,15,attack,,,,,,,
Maledition of Gartak,Daily,Invoker,19,attack,,,,,,,
Mark of Anathema,Daily,Invoker,15,attack,,,,,,,
Martyr's Blessing,Daily,Paladin,2,utility,,,,,,,
Martyr's Retribution,Daily,Paladin,5,attack,,,,,,,
Martyr's Ward,Daily,Invoker,10,utility,,,,,,,
Mass Cure Light Wounds,Daily,Cleric,10,utility,,,,,,,
Mass Fly,Daily,Wizard,22,utility,,,,,,,
Master of the Hunt,Daily,Ranger,22,utility,,,,,,,
Maze,Daily,Wizard,25,attack,,,,,,,
Menacing Thunder,Daily,Bard,15,attack,,,,,,,
Meteor Swarm,Daily,Wizard,29,attack,,,,,,,
Minions of Malbolge,Daily,Warlock,19,attack,,,,,,,
Mirror Image,Daily,Wizard,10,utility,,,,,,,
Mirrored Entourage,Daily,Bard,22,utility,,,,,,,
Momentary Respite,Daily,Ranger,16,utility,,,,,,,
Mordenkainen's Mansion,Daily,Wizard,22,utility,,,,,,,
Mordenkainen's Sword,Daily,Wizard,9,attack,,,,,,,
Mountain Roots,Daily,Barbarian,10,utility,,,,,,,
Moving Target,Daily,Rogue,29,attack,,,,,,,
Nature's Abundance,Daily,Warden,2,utility,,,,,,,
Necrotic Web,Daily,Wizard,25,attack,,,,,,,
Nimbus of Doom,Daily,Cleric,25,attack,,,,,,,
No Mercy,Daily,Fighter,29,attack,,,,,,,
No Surrender,Daily,Fighter,22,utility,,,,,,,
Noble Shield,Daily,Paladin,10,utility,,,,,,,
Oak Hammer Rage,Daily,Barbarian,9,attack,,,,,,,
Oath of Consuming Light,Daily,Avenger,5,attack,,,,,,,
Oath of Divine Lightning,Daily,Avenger,15,attack,,,,,,,
Oath of Enduring Wrath,Daily,Avenger,6,utility,,,,,,,
Oath of Pursuit,Daily,Avenger,9,attack,,,,,,,
Oath of the Final Duel,Daily,Avenger,1,attack,,,,,,,
Oath of the Final Strike,Daily,Avenger,22,utility,,,,,,,
Oath of the Inevitable Blade,Daily,Avenger,19,attack,,,,,,,
Oath of the Relentless Hunter,Daily,Avenger,6,utility,,,,,,,
Obscuring Mist,Daily,Druid,2,utility,,,,,,,
