Slot,Item,Level,Book,Enh,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Speed,Initiative,Surges,Surge Val,Fortitude,Reflex,Will,AC,Strength,Dexterity,Wisdom,Ranged,Melee,Weapon
Feet,Boots of Withdrawal,16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Branchrunners,10,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Butterfly Sandals,12,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Cat Tabi (H),8,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Cat Tabi (P),18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Cat Tabi (E),28,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Catstep Boots,3,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Clearing Cleats,26,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Dancer's Slippers,7,PsP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Defiant Boots,18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Dimensional Stride Boots,18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Dragonborn Greaves,12,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Dwarfstride Boots,18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Dwarven Boots,12,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Dwarven Greaves,7,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Earthreaver Stompers (P),17,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Earthreaver Stompers (E),27,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Earthstriders,14,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Earthwalker's Boots,23,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Eladrin Boots,16,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Elven Boots,11,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Feyleaf Sandals,2,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Feystep Lacings,12,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Feystride Boots,11,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Fey Warrior's Boots,24,AV2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Feet,Fireburst Boots,14,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Flanker's Boots,15,AV,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Fleetrunner Boots,5,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Floorfighter Straps,15,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Foe Chaser Boots,6,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Ghoststride Boots,6,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Goblin Stompers,6,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Greaves of Fortunate Falling,8,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Greaves of Maldeen,12,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Jester Shoes,2,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Lightstep Slippers,21,AV,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Feet,Nimble Shoes,12,PsP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Oceanstrider Boots,14,AV,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Feet,Panther Slippers,5,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Phantom Chaussures,18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Planar Stasis Boots,18,MOTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Planestrider Boots,18,MOTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Propellant Boots,24,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Pursuer's Boots,17,AV2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Feet,Quickling Boots,8,AV,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Quickstride Boots,12,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Resplendent Boots,6,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Riding Boots,4,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Rushing Cleats,7,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Sandals of Arcane Transposition,18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Sandals of Avandra,25,AV,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Feet,Sandals of Precise Stepping (H),6,AV,,2,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Feet,Sandals of Precise Stepping (P),16,AV,,3,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Feet,Sandals of Precise Stepping (E),26,AV,,4,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Feet,Sandals of the Temporal Step,16,DRMZ,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,
Feet,Sandwalker Boots,14,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Shadowdancer's Boots,12,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Shadowsteppers,18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Silt Sandals,5,DSCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Silt Striders,12,DSCS,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Feet,Skaivani's Anklets,10,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Skating Boots,18,PsP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Skygliders,21,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Spark Slippers,16,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Spiked Soles,5,EPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Steadfast Boots,8,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Steady Boots of the Ram,11,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Surefoot Boots,5,AV,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Surfsurge Shoes,8,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Survivor's Boots,16,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Swiftpad Boots,3,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Swiftstrike Shoes,20,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Swift-Step Boots,14,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Thornwalker Slippers,12,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Time-Jumping Boots,27,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Tumbler's Shoes,11,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Wavestrider Boots,4,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Wildrunners,4,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Winged Boots,13,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Alchemical Atomizer,8,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Alchemy Gloves,6,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Antipathy Gloves,10,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Blackleaf Gloves,4,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Breaching Gauntlets (H),6,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Breaching Gauntlets (P),16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Breaching Gauntlets (E),26,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Burglar's Gloves,1,PHB,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Hands,Burning Gauntlets (H),6,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Burning Gauntlets (P),16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Burning Gauntlets (E),26,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Cat Paws (H),5,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Cat Paws (P),15,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Cat Paws (E),25,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Caustic Gauntlets (H),6,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Caustic Gauntlets (P),16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Caustic Gauntlets (E),26,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Claw Gloves,4,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Climbing Claws,4,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Darkfire Gloves,9,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Dimensional Gauntlets,20,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Dual-Threat Gauntlets,7,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Dwarven Throwers,10,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Far Hand Gloves,22,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Feinting Gloves,7,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Flaying Gloves (H),4,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Flaying Gloves (P),14,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Flaying Gloves (E),24,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Foe Caller Gauntlets,22,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Forgemaster's Gloves,6,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Frost Gauntlets (H),7,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Frost Gauntlets (P),17,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Frost Gauntlets (E),27,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gauntlets of Arcane Might,3,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gauntlets of Blinding Strikes,11,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gauntlets of Blood,4,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gauntlets of Brilliance,10,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gauntlets of Brutality,17,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gauntlets of Destruction,18,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gauntlets of Discontinuity,13,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gauntlets of Magical Interchange,22,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gauntlets of Ogre Power,5,PHB,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Hands,Gauntlets of the Blood War,16,MOTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gauntlets of the Ram,8,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Giant Gloves,13,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Giantkind Gloves,4,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Accuracy,16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Agility,5,AV,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
Hands,Gloves of Camaraderie,21,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Dimensional Grasp,16,AV2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Hands,Gloves of Dimensional Repulsion,14,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Eldritch Admixture (H),8,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Eldritch Admixture (P),18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Eldritch Admixture (E),28,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Grace,5,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Ice,11,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Missile Avoidance,11,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Missile Deflection,13,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Piercing,3,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Storing,9,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of the Bounty Hunter,8,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of the Healer (P),12,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of the Healer (E),22,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of the Wandering Star,19,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Recovery,5,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Transference,14,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gloves of Venom,8,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Gorilla Gloves,6,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Great Hero's Gauntlets,27,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Greatreach Gauntlets,18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Green Thumbs,9,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Grizzly Gauntlets,8,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Guildmaster's Gloves,23,PHB,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Hands,Hands of Hadar,26,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Hedge Wizard's Gloves,4,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Hero's Gauntlets,17,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Holy Gauntlets (H),8,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Holy Gauntlets (P),18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Holy Gauntlets (E),28,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Hrothmar's Gauntlets,18,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Illusionist's Gloves,9,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Knifethrower's Gloves,6,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Lancing Gloves,7,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Lightning Reflex Gloves,19,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Longshot Gloves (P),11,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Longshot Gloves (E),21,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Luckbender Gloves (H),6,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Luckbender Gloves (P),16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Many-Fingered Gloves,20,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Parry Gauntlets,5,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Poison Gloves,4,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Rampaging Slayer's Gloves,6,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Reperation Apparatus,6,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Resplendent Gloves,5,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Restorative Gauntlets,16,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,River of Life Gloves,7,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Rogue's Gloves,12,PHB,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Hands,Shadowdancer's Gloves,11,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Shadowfell Gloves (H),6,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Shadowfell Gloves (P),16,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Shadowfell Gloves (E),26,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Spell Anchors,9,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Stern Handler's Wraps,4,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Storm Gauntlets (H),10,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Storm Gauntlets (P),20,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Storm Gauntlets (E),30,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Strikebacks,10,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Sure Shot gloves,9,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Twice-Clawed Gauntlets,4,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Vampiric Gauntlets,16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Venom Gloves (H),6,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Venom Gloves (E),26,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Wrestler's Gloves,2,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hands,Zehir's Gloves,30,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Alluring Veil,7,DSCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Arcanist's Glasses,3,AV,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Basilisk Helm,18,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Bear Headdress,9,AV2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Head,Beryl of Catastrophe Avoidance (H),2,DRMZ,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Head,Beryl of Catastrophe Avoidance (P),12,DRMZ,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,
Head,Blasting Circlet,16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Blood Jewel,8,DUMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Boar Tusk Helm,7,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Bronze Serpent,30,AV,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,
Head,Cannith Goggles,1,DRMZ,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Head,Cap of Water Breathing,10,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Carcanet of Psychic Schism,15,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Casque of Tactics (H),4,AV,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Head,Casque of Tactics (P),14,AV,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Head,Casque of Tactics (E),24,AV,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Head,Cat's-Eye Headband,6,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Charger's Headdress,12,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Chimera Headdress,16,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Circlet of Arcane Extension,5,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Circlet of Arkhosia,14,PHRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Circlet of Authority,7,PHB,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,
