,,,
Power Name,Book,Class,Level
Fearsome Command,DSCS,Any,23
Fever Poison,DSCS,Any,23
Repel the Siege,DRMZ,Any,23
Savage Sweep,DSCS,Any,23
Stalking the Prey,DSCS,Any,23
Wildfire Bolt,DSCS,Any,23
Armor of Living Dunes,DSCS,Any,27
Astonishing Wound,DRMZ,Any,27
Crystal Spider Poison,DSCS,Any,27
Elemental Justice,DSCS,Any,27
Fettering Glare,DSCS,Any,27
Flensing Wind Strike,DSCS,Any,27
Mind Clash,DSCS,Any,27
Murderous Rampage,DSCS,Any,27
Sandman's Veil,DSCS,Any,27
Sly Gambit,DSCS,Any,27
Burning Weapons,EPG,Artificer,1
Drain Speed,DRMZ,Artificer,1
Halo of Thorns,DRMZ,Artificer,1
Scouring Weapon,EPG,Artificer,1
Shielding Cube,EPG,Artificer,1
Spike Wire,EPG,Artificer,1
Altered Luck,EPG,Artificer,3
Force Infusion,EPG,Artificer,3
Hypnotic Distraction,DRMZ,Artificer,3
Lightning Sphere,EPG,Artificer,3
Phantasmal Henchman,DRMZ,Artificer,3
Repulsion Strike,EPG,Artificer,3
Shocking Feedback,DRMZ,Artificer,3
Debilitating Intercession,DRMZ,Artificer,7
Gale-Force Infusion,EPG,Artificer,7
Icy Weapons,EPG,Artificer,7
Runic Resistance,EPG,Artificer,7
Sphere of Reality,DRMZ,Artificer,7
Vampiric Weapons,EPG,Artificer,7
Barbed Automaton,EPG,Artificer,13
Bond of Transference,DRMZ,Artificer,13
Energy Shroud,EPG,Artificer,13
Forceful Weapon,EPG,Artificer,13
Positive Energy Infusion,EPG,Artificer,13
Wind of Swirling Flames,DRMZ,Artificer,13
Addling Pattern,DRMZ,Artificer,17
Arsenal Transference,DRMZ,Artificer,17
Earth's Embrace,EPG,Artificer,17
Radiant Burst,EPG,Artificer,17
Skipping Shot,EPG,Artificer,17
Unstable Infusion,EPG,Artificer,17
Armor of Acid,EPG,Artificer,23
Beetle of Force,EPG,Artificer,23
Chaos Weapon,EPG,Artificer,23
Mental Beacon,DRMZ,Artificer,23
Prismatic Strike,EPG,Artificer,23
Rejuvenating Intercession,DRMZ,Artificer,23
Grave-Dust Cloud,EPG,Artificer,27
Life-Stealing Shroud,EPG,Artificer,27
Living Caltrop Swarm,EPG,Artificer,27
Retribution Magnet,DRMZ,Artificer,27
Thunder-Shock Weapon,EPG,Artificer,27
Vitality Siphon,DRMZ,Artificer,27
Gloom Thief,DRMZ,Assassin,1
Nightmare Shades,DRMZ,Assassin,1
Shadow Darts,DRMZ,Assassin,1
Smothering Shadow,DRMZ,Assassin,1
Army of the Night,DRMZ,Assassin,3
Cloaking Mist,DRMZ,Assassin,3
Inescapable Shadow,DRMZ,Assassin,3
Nightshade's Kiss,DRMZ,Assassin,3
Captured Shadow,DRMZ,Assassin,7
Echoing Threat,DRMZ,Assassin,7
Shadow Jack,DRMZ,Assassin,7
Shadow Link,DRMZ,Assassin,7
Dark Step Ambush,DRMZ,Assassin,13
Flurry of Talons,DRMZ,Assassin,13
Slayer in the Dark,DRMZ,Assassin,13
Spectral Assailants,DRMZ,Assassin,13
Well of Shades,DRMZ,Assassin,13
Mob of Shadows,DRMZ,Assassin,17
Shadow Fire,DRMZ,Assassin,17
Shadow Knives,DRMZ,Assassin,17
Shadowed Deception,DRMZ,Assassin,17
Traitorous Shadow,DRMZ,Assassin,17
Cruel Shadows,DRMZ,Assassin,23
Obsidian Spiders,DRMZ,Assassin,23
Shadow Swap,DRMZ,Assassin,23
Wraith's Assault,DRMZ,Assassin,23
Ambush from Thin Air,DRMZ,Assassin,27
Last Word,DRMZ,Assassin,27
Reaper in Black,DRMZ,Assassin,27
Shadows of Doom,DRMZ,Assassin,27
Angelic Alacrity,PHB2,Avenger,1
Avenging Echo,PHB2,Avenger,1
Compelling Blade,DP,Avenger,1
Day's First Light,DP,Avenger,1
Pass at Arms,DP,Avenger,1
Raging Tempest,DRMZ,Avenger,1
Relentless Attack,DP,Avenger,1
Rictus Grin,DRMZ,Avenger,1
Seeking Brand,DRMZ,Avenger,1
Shared Madness,PHB2,Avenger,1
Shielded by Faith,DP,Avenger,1
Speed and Stillness,DP,Avenger,1
Whirlwind Charge,PHB2,Avenger,1
Alacritous Assault,DRMZ,Avenger,3
Bound by Fate,DP,Avenger,3
Chill of Winter's Bite,DRMZ,Avenger,3
Deadly Stride,DP,Avenger,3
Deflecting Thunder,PHB2,Avenger,3
Enlightened Strike,DRMZ,Avenger,3
Enmity's Reach,PHB2,Avenger,3
Fury's Advance,DP,Avenger,3
Halo of Fire,PHB2,Avenger,3
Intervening Blades,DP,Avenger,3
Lunar Strike,DRMZ,Avenger,3
Mind-Rending Assault,DRMZ,Avenger,3
Relentless Stride,DRMZ,Avenger,3
Seal of Scales,DRMZ,Avenger,3
Sequestering Strike,PHB2,Avenger,3
Strike from the Mountaintop,DRMZ,Avenger,3
Strike of Perfect Beauty,DRMZ,Avenger,3
Strike of the Forgehammer,DRMZ,Avenger,3
Sparking Wounds,DP,Avenger,3
Sun of the Heavens Strike,DRMZ,Avenger,3
Tidal Shift,DRMZ,Avenger,3
Avenging Winds,PHB2,Avenger,7
Blade Step,PHB2,Avenger,7
Celestia Endures,DP,Avenger,7
Chains of Censure,DP,Avenger,7
Dark Moon Strike,DRMZ,Avenger,7
Dismiss the Unworthy,DP,Avenger,7
Excoriating Call,DP,Avenger,7
Inexorable Pursuit,PHB2,Avenger,7
Inexorable Summons,DP,Avenger,7
Light and Darkness,DRMZ,Avenger,7
No Respite,DRMZ,Avenger,7
Peal of Thunder,DRMZ,Avenger,7
Splinter the Formation,PHB2,Avenger,7
Avenger's Demand,DP,Avenger,13
Cloud of Souls,PHB2,Avenger,13
Crimson Stride,DP,Avenger,13
Dervish Strike,DP,Avenger,13
Lifedrinking Covenant,DRMZ,Avenger,13
Light of the Avenging Sun,PHB2,Avenger,13
Sequestering Word,PHB2,Avenger,13
Wages of Sin,DP,Avenger,13
Weaving Blades,DP,Avenger,13
Whirling Blades,PHB2,Avenger,13
Accept No Defeat,DP,Avenger,17
Astral Fury,PHB2,Avenger,17
Chains of Letherna,DRMZ,Avenger,17
Haunting Step,DRMZ,Avenger,17
Lethal Intercession,DP,Avenger,17
Punishing Blow,DP,Avenger,17
Ready the Final Blow,PHB2,Avenger,17
Soulforge Hammering,DRMZ,Avenger,17
Spectral Charge,PHB2,Avenger,17
Warding Blade,PHB2,Avenger,17
Wrathful Charge,DP,Avenger,17
Avenger's Shield,PHB2,Avenger,23
Bond of Justice,PHB2,Avenger,23
Chains of Fate,DP,Avenger,23
Excoriating Challenge,DP,Avenger,23
Fearsome Fury,DP,Avenger,23
Phase Duel,PHB2,Avenger,23
Sacred Arena,DRMZ,Avenger,23
Threatening Strike,DP,Avenger,23
Vengeful Apparition,DP,Avenger,23
Victory Hymn,DP,Avenger,23
Anvil of Faith,DP,Avenger,27
Astral Charge,PHB2,Avenger,27
Brilliant Halo,DP,Avenger,27
Covenant of Repentance,DRMZ,Avenger,27
Death Stroke,PHB2,Avenger,27
Hand of Silver,DP,Avenger,27
Inevitable End,PHB2,Avenger,27
Scatter to the Astral Winds,PHB2,Avenger,27
Spark of Hatred,DP,Avenger,27
Avalanche Strike,PHB2,Barbarian,1
Bloodletting,PHB2,Barbarian,1
Desperate Fury,PP,Barbarian,1
Escalating Violence,PP,Barbarian,1
Great Cleave,PHB2,Barbarian,1
Rending Strike,DRMZ,Barbarian,1
Resurgent Strike,PP,Barbarian,1
Room for Carnage,DRMZ,Barbarian,1
Shout of Terror,PP,Barbarian,1
Vault the Fallen,PHB2,Barbarian,1
Whirling Frenzy,PP,Barbarian,1
Blade Sweep,PHB2,Barbarian,3
Blood Strike,PHB2,Barbarian,3
Brutal Slam,PP,Barbarian,3
Daring Charge,PHB2,Barbarian,3
Hammer Fall,PHB2,Barbarian,3
Longstrike Charge,DRMZ,Barbarian,3
Reckless Rampage,PP,Barbarian,3
Rippling Blades,PP,Barbarian,3
Roaring Challenge,DRMZ,Barbarian,3
Shatterbone Strike,PHB2,Barbarian,3
Thundering Howl,PP,Barbarian,3
Whirling Step,PP,Barbarian,3
Blood Sacrifice,PP,Barbarian,7
Curtain of Steel,PHB2,Barbarian,7
Devastating Leverage,DRMZ,Barbarian,7
Fearsome Smash,PP,Barbarian,7
Feast of Violence,PHB2,Barbarian,7
Great Shout,PHB2,Barbarian,7
Harbinger of Doom,PP,Barbarian,7
Looming Threat,PP,Barbarian,7
Slash and Slash Again,PP,Barbarian,7
Tide of Blood,PHB2,Barbarian,7
Wheat to the Scythe,DRMZ,Barbarian,7
Ancient Clan Strike,PP,Barbarian,13
Blade Whirlwind,PHB2,Barbarian,13
Blood-Frenzy Strike,PP,Barbarian,13
Crack the Skull,PHB2,Barbarian,13
Fortune's Favor,PP,Barbarian,13
Iron Breaker's Shout,PP,Barbarian,13
Rolling Boulder,PP,Barbarian,13
Ruinous Strike,DRMZ,Barbarian,13
Shattering Reach,DRMZ,Barbarian,13
Storm of Blades,PHB2,Barbarian,13
Terror's Cry,PHB2,Barbarian,13
Thunderfall,PHB2,Barbarian,13
Blood-Spattered Frenzy,PP,Barbarian,17
Bloody Roar,DRMZ,Barbarian,17
Devastating Blow,PHB2,Barbarian,17
Frightening Strike,PP,Barbarian,17
Lines of Rage,PP,Barbarian,17
Mountain Grasp,PHB2,Barbarian,17
Shoulder Slam,PHB2,Barbarian,17
Stone-Splitting Roar,PP,Barbarian,17
Threatening Fury,PHB2,Barbarian,17
Vigorous Strike,PHB2,Barbarian,17
Whirling Skirmish,PP,Barbarian,17
Arcing Throw,PHB2,Barbarian,23
Berserker's Flurry,PP,Barbarian,23
Berserker's Shout,PHB2,Barbarian,23
Crater Fall,PHB2,Barbarian,23
Cutting the Path,PP,Barbarian,23
Fatal Strike,PHB2,Barbarian,23
Feral Scythe,PHB2,Barbarian,23
Leaves Before the Wind,PP,Barbarian,23
Mammoth Leverage,DRMZ,Barbarian,23
Rapid Beast,PP,Barbarian,23
Staggering Strike,PHB2,Barbarian,23
This One is Mine!,PP,Barbarian,23
Throw Back the Horde,DRMZ,Barbarian,23
Blood Wrath,PHB2,Barbarian,27
Bonebreaker,PHB2,Barbarian,27
Butcher's Feast,PHB2,Barbarian,27
Crippling Assault,PP,Barbarian,27
Frenized Scramble,PP,Barbarian,27
Hurricane of Blades,PHB2,Barbarian,27
Menacing Blow,PP,Barbarian,27
Nowhere to Run,DRMZ,Barbarian,27
Rampaging Dragon Strike,PHB2,Barbarian,27
Savage Ancestors Strike,PP,Barbarian,27
Terrifying Howl,PP,Barbarian,27
Blunder,PHB2,Bard,1
Disorienting Ditty,DRMZ,Bard,1
Fast Friends,PHB2,Bard,1
Firemetal Shot,AP,Bard,1
Focused Sound,AP,Bard,1
Inspiring Refrain,PHB2,Bard,1
Prophesied Strike,AP,Bard,1
Prophetic Action,AP,Bard,1
Shout of Triumph,PHB2,Bard,1
Thunder's Calling,AP,Bard,1
Victim of the Feywild,DRMZ,Bard,1
Charger's Call,PHB2,Bard,3
Cruel Fate,AP,Bard,3
Cunning Ferocity,PHB2,Bard,3
Dissonant Strain,PHB2,Bard,3
Entangling Opening,AP,Bard,3
Impelling Force,PHB2,Bard,3
Rally the Spectral Host,DRMZ,Bard,3
Recitation of Foreknowledge,AP,Bard,3
Rhyme of the Blood-Seeking Blade,AP,Bard,3
Song of the New Dawn,AP,Bard,3
Unicorn's Charge,DRMZ,Bard,3
At Your Expense,DRMZ,Bard,7
Chillsong Stroke,AP,Bard,7
Deflect Attention,PHB2,Bard,7
Distracting Shout,PHB2,Bard,7
Drums of the Wild Hunt,DRMZ,Bard,7
Insightful Shot,AP,Bard,7
Rewrite the Future,AP,Bard,7
Scorpion's Claw Strike,PHB2,Bard,7
Song of Duplicitous Allure,AP,Bard,7
Theft of Life,AP,Bard,7
Timely Distraction,AP,Bard,7
Unluck,PHB2,Bard,7
Wrath of Wolfstone,DRMZ,Bard,7
Couplet of Deceptive Weakness,AP,Bard,13
Earthquake Strike,PHB2,Bard,13
Enduring Struggle,AP,Bard,13
Foolhardy Fighting,PHB2,Bard,13
Harmony of the Two,PHB2,Bard,13
Insult of Passivity,AP,Bard,13
Sharp Retort,AP,Bard,13
Slippery Feet,AP,Bard,13
Song of Storms,PHB2,Bard,13
Balance of Fortune,AP,Bard,17
Dissonant Imbuement,DRMZ,Bard,17
Inescapable Fate,AP,Bard,17
Masks of Menace,PHB2,Bard,17
Resounding War Cry,AP,Bard,17
Shout of Evasion,PHB2,Bard,17
Song of Summons,PHB2,Bard,17
Spectral Vanguard,DRMZ,Bard,17
Strings of Fate,AP,Bard,17
Turning the Tide,AP,Bard,17
Word of Vulnerability,PHB2,Bard,17
Chant of Bad Fortune,AP,Bard,23
Echoes in Time,PHB2,Bard,23
Mind Game,AP,Bard,23
Reverberating Song,AP,Bard,23
Rhythm of Disorientation,PHB2,Bard,23
Song of Liberation,PHB2,Bard,23
Sound Strike,AP,Bard,23
Transference Tune,DRMZ,Bard,23
Weal and Woe,PHB2,Bard,23
White Wolves,DRMZ,Bard,23
Blinding Rhyme,AP,Bard,27
Bond of Malediction,PHB2,Bard,27
Crescendo of Victory,AP,Bard,27
Kaleidoscopic Burst,PHB2,Bard,27
Pounding Rhythm,AP,Bard,27
Second Chances,AP,Bard,27
Strike from Legend,AP,Bard,27
Surge of Valor,PHB2,Bard,27
Bane,DP,Cleric,1
Cause Fear,PHB,Cleric,1
Divine Glow,PHB,Cleric,1
Earthen Hail,DRMZ,Cleric,1
Exacting Utterance,DP,Cleric,1
Healing Strike,PHB,Cleric,1
Mighty Hew,DRMZ,Cleric,1
Numinous Shield,DP,Cleric,1
Prophetic Guidance,DRMZ,Cleric,1
Shield Bearer,DP,Cleric,1
Sun Burst,HFL,Cleric,1
Thundering Steel,HFL,Cleric,1
Vengeful Flare,DRMZ,Cleric,1
War Priest's Strike,DP,Cleric,1
Wrathful Thunder,PHB,Cleric,1
Astral Flare,DP,Cleric,3
Blazing Beacon,PHB,Cleric,3
Command,PHB,Cleric,3
Daunting Light,PHB,Cleric,3
Destined Duel,DRMZ,Cleric,3
Focus of Cascading Power,DRMZ,Cleric,3
Granite Shield,DRMZ,Cleric,3
Hammer of the Gods,DP,Cleric,3
Hammering Wind,HFL,Cleric,3
Hymn of Resurgence,DP,Cleric,3
Light of Arvandor,DP,Cleric,3
Lost Love,DRMZ,Cleric,3
Resurgent Sun,HFL,Cleric,3
Sacred Shielding,DP,Cleric,3
Split the Sky,PHB,Cleric,3
Awe Strike,PHB,Cleric,7
Blessing of Dust,DRMZ,Cleric,7
Bolts of Warding,DP,Cleric,7
Break the Spirit,PHB,Cleric,7
Denunciation,DP,Cleric,7
Forgemaster's Flare,DRMZ,Cleric,7
Price of Violence,DP,Cleric,7
Searing Brand,HFL,Cleric,7
Searing Light,PHB,Cleric,7
Strengthen the Faithful,PHB,Cleric,7
Strike of Judgment,DP,Cleric,7
Wrathful Lightning,HFL,Cleric,7
Zealous Sanction,DP,Cleric,7
Angel's Rescue,DP,Cleric,13
Arc of the Righteous,PHB,Cleric,13
Awakening Sun,HFL,Cleric,13
Chains of Blazing Light,DRMZ,Cleric,13
Crown of Light,DP,Cleric,13
Deadly Lure,DP,Cleric,13
Earthen Vanguard,DRMZ,Cleric,13
Invocation of War,DRMZ,Cleric,13
Inspiring Strike,PHB,Cleric,13
Mantle of Glory,PHB,Cleric,13
Ominous Portent,DRMZ,Cleric,13
Plague of Doom,PHB,Cleric,13
Promise of Victory,DP,Cleric,13
Remorse,DP,Cleric,13
Roar of Thunder,HFL,Cleric,13
Union of Three Fates,DRMZ,Cleric,13
Blinding Light,PHB,Cleric,17
Divine Phalanx,DP,Cleric,17
Enthrall,PHB,Cleric,17
Halo of Peace,DP,Cleric,17
Life-Stealing Light,DRMZ,Cleric,17
Malediction,DP,Cleric,17
Obsidian Shield,DRMZ,Cleric,17
Prescient Boon,DRMZ,Cleric,17
Sentinel Strike,PHB,Cleric,17
Sever the Source,DP,Cleric,17
Starry Snare,DP,Cleric,17
Strength of the Sun,HFL,Cleric,17
Thunderous Word,PHB,Cleric,17
Winds of Fury,HFL,Cleric,17
Astral Blades of Death,PHB,Cleric,23
Divine Censure,PHB,Cleric,23
Divine Fervor,DP,Cleric,23
Earthen Chains,DRMZ,Cleric,23
Haunting Strike,PHB,Cleric,23
Healing Torch,PHB,Cleric,23
Mortal Terror,DP,Cleric,23
Overwhelming Light,HFL,Cleric,23
Rebuke the Wrathful,DP,Cleric,23
Spirit Flame,DP,Cleric,23
Word of Deterrence,DP,Cleric,23
Auspicious Foresight,DRMZ,Cleric,27
Brutal Grace,DRMZ,Cleric,27
Divine Contempt,DP,Cleric,27
Earthen Fortress,DRMZ,Cleric,27
Healer's Reproof,DP,Cleric,27
Light of the First Dawn,HFL,Cleric,27
Punishing Strike,PHB,Cleric,27
Sacrificial Healing,PHB,Cleric,27
Scourge of the Unworldly,PHB,Cleric,27
Scouring Smite,DP,Cleric,27
Stroke of Ruin,DP,Cleric,27
Sublime Light,DP,Cleric,27
Sunburst,PHB,Cleric,27
Thunder of the Dawn War,HFL,Cleric,27
Call Forth the Spirit Pack,PP,Druid,1
Close to the Kill,PP,Druid,1
Cull the Herd,PHB2,Druid,1
Darting Bite,PHB2,Druid,1
Frost Flash,PHB2,Druid,1
Scattered Form,PP,Druid,1
Stinging Cloud,PP,Druid,1
Thorn Spray,PP,Druid,1
Twisting Vines,PHB2,Druid,1
Battering Claws,PHB2,Druid,3
Call Lightning,PHB2,Druid,3
Feral Harrier,PP,Druid,3
Flowing Swarm,PP,Druid,3
Ironbreaker's Claws,PP,Druid,3
Predator's Flurry,PHB2,Druid,3
Roar of the Unbowed Beast,PP,Druid,3
Thorn Castle,PP,Druid,3
Tundra Wind,PHB2,Druid,3
Blood-Spray Bite,PP,Druid,7
Feast of Fury,PHB2,Druid,7
Latch On,PHB2,Druid,7
Plague of Locusts,PP,Druid,7
Poison Sting,PP,Druid,7
Serpent's Hold,DRMZ,Druid,7
Swirling Winds,PHB2,Druid,7
Tremor,PHB2,Druid,7
Claws of Retribution,PHB2,Druid,13
Expose Weakness,PHB2,Druid,13
Floating Death,PP,Druid,13
Oak Skewer,PP,Druid,13
Rending Claws,PP,Druid,13
Thunder Crash,PHB2,Druid,13
Tidal Surge,PHB2,Druid,13
Twin-Horned Bolt,PP,Druid,13
Cloud of Sparrows,PP,Druid,17
Devouring Swarm,PP,Druid,17
Hungry for the Kill,PP,Druid,17
Inexorable Smash,PP,Druid,17
Infiltrating Drone,DRMZ,Druid,17
Lightning Cascade,PHB2,Druid,17
Scavenger's Price,PHB2,Druid,17
Shifting Rake,PHB2,Druid,17
Slashing Dash,DRMZ,Druid,17
Torrential Storm,PP,Druid,17
Windstorm,PHB2,Druid,17
Blinding Swarm,PP,Druid,23
Fearsome Fangs,PP,Druid,23
Fungal Eruption,DRMZ,Druid,23
Grasping Earth,PHB2,Druid,23
Primal Roar,PHB2,Druid,23
Rain of Fire Needles,PP,Druid,23
Razor Snare,PP,Druid,23
Stormbust,PHB2,Druid,23
Strength of the Hunt,PHB2,Druid,23
Behemoth Stampede,PP,Druid,27
Death Fangs,PP,Druid,27
Disorienting Drone,PP,Druid,27
Explosive Wind,PHB2,Druid,27
Feral Whirlwind,PHB2,Druid,27
Howling Doom,PP,Druid,27
Leaping Rake,PHB2,Druid,27
Polar Blast,PHB2,Druid,27
Thunder Claw,PP,Druid,27
Bash and Pinion,MP2,Fighter,1
Bell Ringer,MP,Fighter,1
Covering Attack,PHB,Fighter,1
Distracting Spate,MP,Fighter,1
Funneling Flurry,MP,Fighter,1
Goading Maneuver,DSCS,Fighter,1
Hack and Hew,MP2,Fighter,1
Insightful Strike,MP,Fighter,1
Lunging Strike,MP,Fighter,1
Passing Attack,PHB,Fighter,1
Punishing Charge,DRMZ,Fighter,1
Serpent's Coil,MP2,Fighter,1
Shield Bash,MP,Fighter,1
Shield Riposte,DRMZ,Fighter,1
Spinning Sweep,PHB,Fighter,1
Steel Serpent Strike,PHB,Fighter,1
Surprising Stab,MP2,Fighter,1
Takedown Attack,MP2,Fighter,1
Advance Lunge,MP,Fighter,3
Armor-Piercing Thrust,PHB,Fighter,3
Blinding Smash,MP,Fighter,3
Bull Charge,MP2,Fighter,3
Crushing Blow,PHB,Fighter,3
Dance of Steel,PHB,Fighter,3
Daunting Onslaught,DSCS,Fighter,3
Deflecting Shield,DRMZ,Fighter,3
Hesitation Slash,DRMZ,Fighter,3
Immediate Vengeance,DRMZ,Fighter,3
Parry and Riposte,MP,Fighter,3
Precise Strike,PHB,Fighter,3
Probing Attack,MP,Fighter,3
Rain of Blows,PHB,Fighter,3
Reaver's Hook,MP2,Fighter,3
Restoring Strike,DRMZ,Fighter,3
Rhino Attack,MP,Fighter,3
Shield Edge Block,MP2,Fighter,3
Shield Slam,MP,Fighter,3
Slamming Rush,MP2,Fighter,3
Sweeping Blow,PHB,Fighter,3
Sweeping Slash,MP2,Fighter,3
Armored Assault,DRMZ,Fighter,7
Bloody the Field,MP2,Fighter,7
Bludgeoning Vise,MP2,Fighter,7
Come and Get It,PHB,Fighter,7
Echoing Assault,MP2,Fighter,7
Griffon's Wrath,PHB,Fighter,7
Hampering Flurry,MP,Fighter,7
Hydra Charge,MP2,Fighter,7
Inertia Strike,DRMZ,Fighter,7
Iron Bulwark,PHB,Fighter,7
Menacing Strike,DSCS,Fighter,7
Not So Fast,MP,Fighter,7
Opportunist's Rend,MP2,Fighter,7
Reckless Strike,PHB,Fighter,7
Savage Parry,MP,Fighter,7
Stay Down,MP,Fighter,7
Sudden Surge,PHB,Fighter,7
Trip Up,MP,Fighter,7
Twofold Torment,MP,Fighter,7
Weapon Master's Gambit,DRMZ,Fighter,7
Anvil of Doom,PHB,Fighter,13
Appalling Crunch,MP,Fighter,13
Assured Strike,MP,Fighter,13
Bash and Pummel,MP2,Fighter,13
Battle Jump,MP2,Fighter,13
Blades From All Angles,DRMZ,Fighter,13
Brutal Rebuke,MP,Fighter,13
Chains of Sorrow,PHB,Fighter,13
Crumpling Slam,MP,Fighter,13
Dance of Blades,MP,Fighter,13
Entrapping Shield,DRMZ,Fighter,13
Giant's Wake,PHB,Fighter,13
Hilt Smash,MP2,Fighter,13
Leaping Assault,DRMZ,Fighter,13
Menacing Surge,DSCS,Fighter,13
Salamander Lash,DRMZ,Fighter,13
Scattering Swing,MP,Fighter,13
Shield Bearer's Vendetta,DRMZ,Fighter,13
Silverstep,PHB,Fighter,13
Stranglehold,MP2,Fighter,13
Storm of Blows,PHB,Fighter,13
Talon of the Roc,PHB,Fighter,13
Battering Ram,MP2,Fighter,17
Bitter Harvest,DRMZ,Fighter,17
Boggling Smash,MP,Fighter,17
Buffeting Torque,MP,Fighter,17
Cruelest Chains,DSCS,Fighter,17
Driving Flurry,MP,Fighter,17
Exacting Strike,PHB,Fighter,17
Exorcism of Steel,PHB,Fighter,17
Harrying Assault,PHB,Fighter,17
Lunging Dervish,MP2,Fighter,17
Minotaur Charge,MP2,Fighter,17
Mountain Breaking Blow,PHB,Fighter,17
Punishing Shield Block,MP2,Fighter,17
Revel in Pain,DRMZ,Fighter,17
Shifting Blade,MP2,Fighter,17
Skirmisher Pounce,MP,Fighter,17
Tap and Counterstrike,MP,Fighter,17
Vicious Uppercut,MP2,Fighter,17
Vorpal Tornado,PHB,Fighter,17
Warrior's Challenge,PHB,Fighter,17
Weapon Master's Tactics,DRMZ,Fighter,17
Wild Strike,MP,Fighter,17
Battering Shield,DRMZ,Fighter,23
Behemoth Wrath,MP2,Fighter,23
Cage of Chains,PHB,Fighter,23
Colossal Strike,MP2,Fighter,23
Crippling Smash,MP,Fighter,23
Executioner's Gambit,DSCS,Fighter,23
Fangs of Steel,PHB,Fighter,23
Gut Punch,MP2,Fighter,23
Hack 'n' Slash,PHB,Fighter,23
Harrowing Hammer,MP,Fighter,23
Maneuvering Assault,DRMZ,Fighter,23
Maticulous Stab,MP,Fighter,23
Opportunist's Trap,MP2,Fighter,23
Paralyzing Strike,PHB,Fighter,23
Skullcrusher,PHB,Fighter,23
Slash and Kick,DRMZ,Fighter,23
Smashing Hammer,MP,Fighter,23
Trollclaw Grip,MP2,Fighter,23
Turnabout Riposte,MP,Fighter,23
Warrior's Urging,PHB,Fighter,23
Weaponmaster's Lure,MP,Fighter,23
Adamantine Strike,PHB,Fighter,27
Blinding Cut,MP2,Fighter,27
Blood Rush,MP,Fighter,27
Coward's Reward,MP,Fighter,27
Cruel Reaper,PHB,Fighter,27
Demolishing Surge,DSCS,Fighter,27
Desperate Strike,MP,Fighter,27
Diamond Shield Defense,PHB,Fighter,27
Dual-Weapon Supremacy,MP,Fighter,27
Gash and Goad,MP2,Fighter,27
Indomitable Battle Strike,PHB,Fighter,27
Invigorating Fury,MP2,Fighter,27
Spinning Death Strike,MP,Fighter,27
Stabbing Torrent,MP,Fighter,27
Wild Offensive,DRMZ,Fighter,27
Wrenching Assault,MP2,Fighter,27
Angelic Harrier,DRMZ,Invoker,1
Astral Terror,PHB2,Invoker,1
Blades of Astral Fire,PHB2,Invoker,1
Forceful Denunciation,DP,Invoker,1
Lightning's Revelation,DP,Invoker,1
Scourge of Heaven,DRMZ,Invoker,1
Spear of the Inquisitor,PHB2,Invoker,1
Summons of Justice,DP,Invoker,1
Thunder of Judgment,PHB2,Invoker,1
Whispers of Defeat,DP,Invoker,1
Chains of Carceri,PHB2,Invoker,3
Falling Leaves,DRMZ,Invoker,3
Fires of Judgment,DRMZ,Invoker,3
Glyph of Imprisonment,PHB2,Invoker,3
Knives of the Soul,DP,Invoker,3
Offering of Justice,PHB2,Invoker,3
